# frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	522.0	3.0	2.0	1.0	1.0	1.0	159.0	22.0	59.0	78.0
0	1	425.0	16.0	2.0	1.0	1.0	1.0	51.0	9.0	21.0	21.0
0	2	126.0	34.111111111111114	4.0	2.0	2.0	2.0	369.0	121.0	135.0	113.0
0	3	377.24844720496895	35.554865424430645	8.0	4.0	4.0	4.0	483.0	137.0	184.0	162.0
0	4	604.5848595848596	39.12271062271062	12.0	6.0	6.0	6.0	1638.0	378.0	512.0	748.0
0	5	403.0	41.0	2.0	1.0	1.0	1.0	82.0	35.0	34.0	13.0
0	6	598.0	68.0	2.0	1.0	1.0	1.0	96.0	28.0	32.0	36.0
0	7	177.3684210526316	70.57393483709274	8.0	4.0	4.0	2.0	399.0	154.0	183.0	62.0
0	8	329.0	89.0	2.0	1.0	1.0	1.0	68.0	24.0	21.0	23.0
0	9	287.9283819628647	97.96816976127322	10.0	5.0	5.0	4.0	377.0	103.0	132.0	142.0
0	10	139.41234567901233	98.15679012345679	6.0	3.0	3.0	3.0	810.0	237.0	249.0	324.0
0	11	451.2995594713656	104.57709251101322	10.0	5.0	5.0	5.0	681.0	185.0	219.0	277.0
0	12	383.1505288852726	112.17005695687551	16.0	8.0	8.0	8.0	2458.0	724.0	844.0	890.0
0	13	148.0	125.82101167315174	4.0	2.0	2.0	1.0	257.0	89.0	101.0	67.0
0	14	11.590254706533777	142.06755260243634	12.0	6.0	6.0	6.0	903.0	264.0	311.0	328.0
0	15	191.43529411764706	144.0	4.0	2.0	2.0	2.0	170.0	44.0	87.0	39.0
0	16	183.90191897654583	166.47174840085287	36.0	17.0	18.0	18.0	7504.0	2490.0	2316.0	2695.0
0	17	34.38124054462935	173.49470499243571	8.0	4.0	4.0	3.0	661.0	284.0	245.0	132.0
0	18	142.865625	193.3875	6.0	3.0	3.0	2.0	320.0	142.0	112.0	66.0
0	19	62.0	200.0	2.0	1.0	1.0	1.0	49.0	11.0	21.0	17.0
0	20	583.5415352260778	216.35015772870662	8.0	4.0	4.0	4.0	951.0	271.0	303.0	377.0
0	21	25.315900686740623	219.61859482303223	12.0	5.0	6.0	5.0	1893.0	596.0	665.0	628.0
0	22	424.5723014256619	221.27087576374745	10.0	5.0	5.0	5.0	491.0	185.0	182.0	124.0
0	23	40.126293995859214	239.70807453416148	8.0	4.0	4.0	4.0	483.0	132.0	185.0	166.0
0	24	479.0	258.0	2.0	1.0	1.0	1.0	60.0	18.0	27.0	15.0
0	25	270.70714285714286	261.0	4.0	2.0	2.0	1.0	140.0	64.0	56.0	20.0
0	26	105.84088397790055	268.6861878453039	10.0	3.0	5.0	5.0	905.0	155.0	347.0	403.0
0	27	137.28333333333333	272.46458333333334	8.0	3.0	4.0	4.0	480.0	105.0	202.0	173.0
0	28	284.79757698132255	299.5996971226653	14.0	6.0	7.0	6.0	1981.0	547.0	672.0	762.0
