# frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
21	0	170.0	8.0	2.0	1.0	1.0	1.0	36.0	5.0	22.0	9.0
22	0	170.0	8.0	2.0	1.0	1.0	1.0	36.0	5.0	22.0	9.0
67	0	159.0	0.0	2.0	1.0	1.0	1.0	34.0	16.0	13.0	5.0
68	0	159.0	0.0	2.0	1.0	1.0	1.0	34.0	16.0	13.0	5.0
69	0	159.0	0.0	2.0	1.0	1.0	1.0	34.0	16.0	13.0	5.0
76	0	98.0	116.0	2.0	1.0	1.0	1.0	91.0	28.0	36.0	27.0
77	0	98.0	116.0	2.0	1.0	1.0	1.0	91.0	28.0	36.0	27.0
78	0	98.0	116.0	2.0	1.0	1.0	1.0	91.0	28.0	36.0	27.0
104	0	411.0	110.0	2.0	1.0	1.0	1.0	37.0	14.0	14.0	9.0
105	0	411.0	110.0	2.0	1.0	1.0	1.0	37.0	14.0	14.0	9.0
