Brightness	Occurrences
16.0	2599
20.0	1523
36.0	1217
24.0	1136
48.0	1035
60.0	1035
44.0	1003
64.0	994
32.0	960
52.0	905
88.0	875
28.0	860
72.0	797
76.0	716
40.0	684
92.0	676
80.0	654
84.0	653
56.0	634
104.0	622
68.0	620
112.0	608
96.0	509
8.0	508
100.0	488
128.0	476
116.0	475
120.0	460
144.0	445
108.0	441
132.0	388
136.0	379
152.0	345
124.0	334
156.0	332
140.0	317
172.0	313
160.0	299
180.0	289
168.0	279
12.0	260
148.0	258
184.0	251
164.0	248
196.0	228
200.0	222
188.0	210
4.0	192
216.0	191
208.0	189
176.0	182
212.0	179
18.0	172
192.0	169
204.0	164
224.0	157
228.0	152
252.0	148
240.0	133
236.0	122
34.0	114
50.0	113
220.0	112
46.0	106
232.0	101
248.0	100
58.0	99
42.0	98
66.0	96
70.0	95
78.0	93
264.0	90
74.0	90
26.0	89
94.0	78
54.0	78
244.0	76
256.0	75
90.0	75
110.0	74
98.0	73
62.0	71
106.0	70
102.0	68
130.0	67
82.0	66
276.0	65
30.0	65
126.0	63
86.0	63
158.0	63
38.0	62
268.0	60
280.0	60
118.0	59
22.0	58
150.0	56
10.0	55
114.0	53
146.0	52
122.0	50
284.0	50
134.0	49
166.0	48
142.0	47
194.0	46
61.0	45
17.0	45
272.0	44
174.0	43
296.0	41
304.0	41
138.0	40
260.0	39
29.0	38
45.0	38
190.0	38
23.0	37
154.0	37
186.0	37
21.0	35
33.0	35
162.0	33
77.0	33
292.0	32
178.0	32
25.0	31
198.0	31
170.0	30
19.0	30
49.0	29
238.0	28
182.0	28
230.0	28
202.0	27
226.0	27
69.0	26
210.0	26
73.0	26
89.0	25
57.0	25
101.0	24
53.0	24
206.0	24
65.0	23
5.0	22
234.0	22
67.0	22
71.0	21
308.0	21
242.0	21
324.0	21
109.0	20
55.0	20
97.0	20
222.0	19
105.0	19
63.0	19
300.0	19
81.0	18
121.0	18
332.0	18
218.0	18
85.0	17
262.0	16
320.0	16
93.0	16
145.0	16
270.0	15
141.0	15
14.0	15
316.0	15
254.0	14
214.0	14
95.0	14
83.0	14
91.0	13
157.0	13
39.0	13
79.0	13
107.0	12
288.0	12
246.0	12
75.0	12
149.0	12
123.0	12
35.0	12
181.0	11
43.0	11
113.0	11
47.0	11
155.0	11
153.0	11
250.0	11
328.0	11
274.0	11
282.0	11
37.0	10
356.0	10
119.0	10
59.0	10
185.0	10
161.0	10
278.0	10
125.0	10
290.0	10
189.0	10
27.0	9
137.0	9
143.0	9
312.0	9
131.0	9
133.0	9
173.0	9
31.0	9
117.0	9
127.0	9
344.0	9
302.0	9
298.0	8
87.0	8
195.0	8
219.0	8
239.0	8
209.0	8
225.0	8
165.0	8
151.0	7
99.0	7
115.0	7
41.0	7
51.0	7
348.0	7
286.0	7
197.0	7
103.0	6
171.0	6
245.0	6
179.0	6
223.0	6
183.0	6
314.0	5
211.0	5
139.0	5
259.0	5
167.0	5
436.0	5
237.0	5
336.0	5
330.0	5
266.0	5
175.0	5
129.0	5
306.0	5
352.0	5
13.0	5
235.0	4
163.0	4
203.0	4
247.0	4
281.0	4
374.0	4
213.0	4
169.0	4
373.0	4
370.0	4
408.0	4
322.0	4
9.0	4
135.0	4
193.0	4
241.0	4
438.0	4
258.0	4
468.0	4
297.0	4
255.0	4
111.0	4
360.0	3
271.0	3
554.0	3
273.0	3
369.0	3
159.0	3
386.0	3
327.0	3
199.0	3
338.0	3
309.0	3
289.0	3
147.0	3
350.0	3
315.0	3
177.0	3
263.0	3
342.0	3
318.0	3
456.0	3
442.0	3
294.0	3
334.0	3
326.0	3
253.0	3
358.0	3
207.0	3
562.0	2
377.0	2
855.0	2
11.0	2
261.0	2
685.0	2
502.0	2
291.0	2
221.0	2
418.0	2
340.0	2
469.0	2
414.0	2
265.0	2
560.0	2
201.0	2
331.0	2
498.0	2
942.0	2
771.0	2
974.0	2
1376.0	2
638.0	2
346.0	2
187.0	2
305.0	2
890.0	2
731.0	2
389.0	2
453.0	2
428.0	2
454.0	2
506.0	2
267.0	2
486.0	2
635.0	2
606.0	2
299.0	2
459.0	2
495.0	2
433.0	2
368.0	2
349.0	2
257.0	2
345.0	2
215.0	2
353.0	2
313.0	2
364.0	2
227.0	2
657.0	2
559.0	2
448.0	2
319.0	2
382.0	2
372.0	2
355.0	2
279.0	2
998.0	2
394.0	2
231.0	2
283.0	2
472.0	2
233.0	2
295.0	2
380.0	2
365.0	2
479.0	2
951.0	2
597.0	2
404.0	2
722.0	2
952.0	2
217.0	2
602.0	2
249.0	2
1276.0	2
475.0	1
251.0	1
751.0	1
325.0	1
329.0	1
303.0	1
422.0	1
516.0	1
535.0	1
275.0	1
375.0	1
662.0	1
497.0	1
391.0	1
551.0	1
285.0	1
411.0	1
15.0	1
390.0	1
740.0	1
466.0	1
545.0	1
524.0	1
521.0	1
574.0	1
1234.0	1
704.0	1
988.0	1
881.0	1
476.0	1
432.0	1
520.0	1
361.0	1
478.0	1
406.0	1
376.0	1
473.0	1
354.0	1
383.0	1
388.0	1
1150.0	1
339.0	1
431.0	1
447.0	1
641.0	1
505.0	1
594.0	1
243.0	1
269.0	1
511.0	1
323.0	1
333.0	1
856.0	1
592.0	1
570.0	1
205.0	1
736.0	1
537.0	1
351.0	1
464.0	1
633.0	1
310.0	1
