Brightness	Occurrences
16.0	1729
20.0	693
36.0	515
24.0	467
48.0	458
8.0	452
32.0	415
44.0	405
60.0	375
28.0	361
52.0	348
64.0	334
88.0	315
72.0	303
76.0	265
40.0	253
56.0	250
68.0	230
92.0	225
12.0	221
80.0	212
84.0	210
104.0	206
100.0	166
96.0	164
120.0	160
4.0	156
116.0	152
112.0	151
128.0	147
108.0	137
132.0	124
168.0	105
144.0	102
160.0	102
136.0	97
18.0	96
124.0	94
156.0	88
140.0	79
172.0	79
152.0	74
164.0	67
184.0	63
188.0	60
34.0	59
148.0	58
74.0	53
180.0	52
176.0	51
200.0	50
192.0	49
58.0	48
66.0	46
212.0	45
102.0	41
70.0	40
196.0	40
224.0	39
228.0	38
46.0	38
86.0	34
130.0	33
78.0	33
42.0	33
98.0	33
240.0	32
26.0	32
216.0	32
204.0	31
208.0	30
38.0	30
252.0	30
82.0	28
50.0	28
10.0	27
17.0	27
236.0	26
22.0	25
62.0	25
33.0	24
248.0	24
118.0	23
25.0	23
54.0	22
90.0	21
94.0	21
110.0	21
150.0	20
142.0	20
106.0	20
114.0	19
220.0	19
73.0	18
30.0	18
170.0	18
65.0	17
146.0	17
154.0	17
57.0	16
232.0	16
244.0	16
264.0	15
126.0	15
29.0	15
21.0	15
162.0	14
122.0	14
23.0	14
45.0	14
280.0	13
49.0	13
81.0	13
158.0	13
53.0	13
292.0	12
214.0	12
210.0	11
182.0	11
77.0	11
134.0	11
109.0	11
284.0	11
69.0	11
105.0	10
206.0	10
276.0	10
61.0	10
324.0	10
71.0	10
143.0	10
268.0	10
145.0	10
178.0	10
153.0	10
260.0	10
186.0	9
91.0	9
272.0	9
234.0	9
41.0	9
198.0	9
55.0	9
190.0	9
138.0	9
75.0	8
59.0	8
107.0	8
256.0	8
298.0	8
117.0	8
250.0	8
174.0	7
89.0	7
37.0	7
316.0	7
173.0	7
238.0	7
97.0	7
312.0	7
175.0	7
222.0	7
99.0	7
35.0	7
202.0	7
281.0	6
218.0	6
67.0	6
169.0	6
296.0	6
5.0	6
133.0	6
194.0	6
258.0	6
187.0	6
85.0	6
137.0	6
166.0	6
47.0	6
262.0	6
149.0	5
288.0	5
270.0	5
320.0	5
242.0	5
51.0	5
304.0	5
19.0	5
9.0	5
129.0	5
282.0	4
266.0	4
79.0	4
195.0	4
165.0	4
125.0	4
157.0	4
101.0	4
211.0	4
139.0	4
243.0	4
193.0	4
93.0	4
31.0	4
14.0	4
300.0	4
355.0	4
163.0	4
226.0	3
290.0	3
113.0	3
245.0	3
308.0	3
197.0	3
103.0	3
285.0	3
322.0	3
422.0	3
246.0	3
333.0	3
63.0	3
115.0	3
121.0	3
171.0	3
119.0	3
278.0	3
267.0	3
127.0	3
225.0	3
254.0	3
306.0	3
111.0	3
215.0	2
815.0	2
399.0	2
344.0	2
185.0	2
231.0	2
351.0	2
541.0	2
364.0	2
456.0	2
151.0	2
183.0	2
179.0	2
147.0	2
87.0	2
598.0	2
741.0	2
550.0	2
269.0	2
863.0	2
191.0	2
394.0	2
354.0	2
83.0	2
27.0	2
346.0	2
330.0	2
217.0	2
760.0	2
348.0	2
159.0	2
209.0	2
95.0	2
500.0	2
181.0	2
326.0	2
161.0	2
253.0	2
141.0	2
336.0	2
374.0	2
177.0	2
274.0	2
237.0	2
376.0	2
360.0	2
340.0	2
673.0	2
639.0	2
345.0	1
363.0	1
436.0	1
15.0	1
402.0	1
358.0	1
201.0	1
352.0	1
380.0	1
207.0	1
239.0	1
442.0	1
230.0	1
155.0	1
135.0	1
701.0	1
370.0	1
392.0	1
213.0	1
794.0	1
43.0	1
167.0	1
519.0	1
257.0	1
432.0	1
314.0	1
388.0	1
233.0	1
644.0	1
419.0	1
219.0	1
356.0	1
386.0	1
615.0	1
205.0	1
570.0	1
263.0	1
372.0	1
535.0	1
199.0	1
938.0	1
310.0	1
235.0	1
259.0	1
342.0	1
685.0	1
294.0	1
383.0	1
123.0	1
339.0	1
