Brightness	Occurrences
16.0	2354
20.0	1245
36.0	1027
24.0	946
48.0	911
60.0	795
64.0	784
32.0	780
44.0	750
52.0	720
28.0	674
72.0	571
88.0	554
40.0	542
8.0	516
76.0	500
56.0	475
92.0	470
84.0	464
68.0	460
80.0	419
104.0	401
100.0	349
96.0	332
112.0	324
120.0	305
116.0	285
128.0	275
108.0	271
12.0	222
132.0	205
144.0	204
124.0	190
140.0	187
18.0	181
4.0	180
136.0	164
152.0	156
180.0	149
156.0	146
160.0	141
172.0	139
148.0	131
164.0	130
184.0	127
34.0	112
168.0	111
188.0	97
192.0	94
212.0	93
200.0	93
58.0	89
46.0	86
208.0	86
66.0	85
176.0	84
50.0	83
216.0	82
26.0	77
196.0	75
54.0	73
74.0	73
236.0	68
224.0	64
62.0	63
204.0	63
82.0	63
228.0	60
42.0	59
220.0	58
130.0	57
98.0	57
240.0	56
38.0	54
22.0	53
70.0	53
30.0	52
17.0	51
248.0	51
106.0	50
102.0	50
86.0	50
78.0	50
256.0	48
232.0	45
114.0	43
10.0	42
244.0	42
142.0	41
122.0	39
252.0	39
94.0	39
118.0	38
25.0	38
134.0	38
29.0	36
110.0	35
33.0	35
69.0	35
154.0	35
73.0	35
90.0	34
146.0	34
284.0	33
126.0	32
264.0	30
162.0	28
89.0	28
21.0	27
186.0	26
65.0	26
158.0	26
166.0	26
81.0	25
268.0	25
97.0	24
61.0	24
170.0	24
77.0	24
182.0	23
57.0	22
150.0	22
49.0	22
93.0	22
178.0	22
194.0	21
292.0	21
190.0	20
260.0	20
45.0	20
63.0	20
138.0	19
113.0	19
296.0	18
19.0	18
53.0	18
101.0	18
202.0	18
174.0	17
23.0	17
254.0	17
85.0	17
117.0	17
121.0	17
109.0	16
198.0	16
276.0	15
238.0	15
75.0	15
230.0	15
226.0	15
59.0	14
153.0	14
280.0	14
234.0	14
218.0	14
242.0	14
206.0	13
37.0	13
161.0	13
149.0	12
278.0	12
35.0	12
83.0	12
312.0	12
67.0	12
129.0	12
288.0	12
103.0	11
320.0	11
125.0	11
79.0	11
87.0	11
51.0	11
300.0	11
135.0	11
308.0	10
111.0	10
39.0	10
222.0	10
145.0	10
95.0	10
165.0	10
14.0	10
272.0	10
336.0	9
225.0	9
195.0	9
262.0	9
214.0	9
157.0	8
137.0	8
107.0	8
9.0	8
127.0	8
193.0	8
105.0	8
286.0	8
159.0	8
189.0	8
266.0	8
290.0	8
55.0	8
139.0	7
250.0	7
5.0	7
155.0	7
169.0	7
141.0	7
27.0	7
269.0	7
261.0	7
304.0	7
185.0	7
245.0	7
47.0	7
274.0	7
181.0	7
133.0	7
171.0	7
205.0	7
246.0	7
322.0	7
217.0	7
203.0	7
123.0	7
294.0	7
279.0	6
115.0	6
201.0	6
13.0	6
348.0	6
210.0	6
207.0	6
163.0	6
183.0	6
147.0	6
41.0	6
310.0	5
346.0	5
177.0	5
270.0	5
282.0	5
324.0	5
191.0	5
71.0	5
350.0	4
305.0	4
363.0	4
231.0	4
131.0	4
213.0	4
257.0	4
302.0	4
235.0	4
253.0	4
255.0	4
91.0	4
143.0	4
223.0	4
258.0	4
209.0	4
332.0	4
219.0	3
283.0	3
328.0	3
43.0	3
362.0	3
314.0	3
99.0	3
175.0	3
31.0	3
167.0	3
326.0	3
273.0	3
298.0	3
372.0	3
119.0	3
354.0	3
309.0	3
227.0	3
316.0	3
438.0	2
325.0	2
221.0	2
249.0	2
543.0	2
525.0	2
334.0	2
329.0	2
199.0	2
768.0	2
281.0	2
459.0	2
752.0	2
391.0	2
229.0	2
410.0	2
736.0	2
840.0	2
425.0	2
520.0	2
330.0	2
360.0	2
370.0	2
247.0	2
426.0	2
427.0	2
315.0	2
485.0	2
645.0	2
397.0	2
466.0	2
352.0	2
405.0	2
396.0	2
179.0	2
686.0	2
289.0	2
259.0	2
496.0	2
306.0	2
591.0	2
369.0	2
303.0	2
1180.0	2
338.0	2
748.0	2
187.0	2
151.0	2
333.0	2
390.0	1
452.0	1
271.0	1
265.0	1
1318.0	1
576.0	1
947.0	1
862.0	1
914.0	1
356.0	1
481.0	1
428.0	1
502.0	1
474.0	1
382.0	1
307.0	1
376.0	1
285.0	1
468.0	1
878.0	1
534.0	1
463.0	1
295.0	1
620.0	1
301.0	1
486.0	1
340.0	1
344.0	1
601.0	1
337.0	1
215.0	1
339.0	1
595.0	1
420.0	1
492.0	1
15.0	1
413.0	1
443.0	1
6.0	1
697.0	1
318.0	1
342.0	1
11.0	1
384.0	1
585.0	1
353.0	1
317.0	1
379.0	1
357.0	1
239.0	1
287.0	1
1036.0	1
211.0	1
380.0	1
444.0	1
663.0	1
879.0	1
409.0	1
432.0	1
623.0	1
368.0	1
570.0	1
173.0	1
572.0	1
293.0	1
608.0	1
388.0	1
729.0	1
824.0	1
398.0	1
514.0	1
416.0	1
