Brightness	Occurrences
16.0	7350
20.0	6465
36.0	5579
24.0	5135
64.0	5023
48.0	4850
60.0	4641
44.0	4455
32.0	4338
88.0	4328
52.0	4233
72.0	4063
28.0	3818
92.0	3670
76.0	3658
104.0	3602
84.0	3457
40.0	3324
112.0	3104
56.0	3065
80.0	3056
68.0	3054
128.0	2796
96.0	2694
120.0	2689
100.0	2620
144.0	2486
116.0	2480
108.0	2456
132.0	2083
152.0	1924
136.0	1887
140.0	1867
124.0	1805
160.0	1742
156.0	1638
172.0	1577
180.0	1514
168.0	1412
184.0	1412
164.0	1399
148.0	1382
188.0	1342
200.0	1240
196.0	1158
212.0	1113
8.0	1058
208.0	1056
192.0	1055
176.0	1008
216.0	960
224.0	901
228.0	877
204.0	816
18.0	768
240.0	742
236.0	691
34.0	663
248.0	624
220.0	595
264.0	571
232.0	568
46.0	538
252.0	531
66.0	530
244.0	487
42.0	474
74.0	474
4.0	470
58.0	462
12.0	462
256.0	454
50.0	439
26.0	429
62.0	413
70.0	408
54.0	402
102.0	384
78.0	373
98.0	360
90.0	357
268.0	354
86.0	351
22.0	348
106.0	347
130.0	342
276.0	330
38.0	326
126.0	325
82.0	316
284.0	315
10.0	315
110.0	310
114.0	309
280.0	306
30.0	306
118.0	294
142.0	291
158.0	284
260.0	279
94.0	271
150.0	258
134.0	258
154.0	243
166.0	231
122.0	230
146.0	229
174.0	215
292.0	215
162.0	207
17.0	206
170.0	203
138.0	200
296.0	194
272.0	186
182.0	182
21.0	179
33.0	176
194.0	171
304.0	163
25.0	161
178.0	157
202.0	154
186.0	149
45.0	148
61.0	143
308.0	142
206.0	139
214.0	136
210.0	136
29.0	133
288.0	133
57.0	130
190.0	128
23.0	128
69.0	122
53.0	121
89.0	120
218.0	118
77.0	118
49.0	116
97.0	113
198.0	111
81.0	108
65.0	107
85.0	106
300.0	103
320.0	103
234.0	101
230.0	99
222.0	99
93.0	97
238.0	94
73.0	92
226.0	90
109.0	88
316.0	87
19.0	84
312.0	84
105.0	82
324.0	80
258.0	78
246.0	77
101.0	74
242.0	72
67.0	71
107.0	70
125.0	70
117.0	69
262.0	68
153.0	67
121.0	67
35.0	65
332.0	64
113.0	62
278.0	62
250.0	61
71.0	60
161.0	58
274.0	58
119.0	57
79.0	57
63.0	57
129.0	57
270.0	56
9.0	55
141.0	55
254.0	54
266.0	54
145.0	53
344.0	52
340.0	49
51.0	49
14.0	49
91.0	48
47.0	48
55.0	48
133.0	48
149.0	48
328.0	48
59.0	47
27.0	47
290.0	47
165.0	47
115.0	46
87.0	45
157.0	45
83.0	43
282.0	43
286.0	43
95.0	42
111.0	42
37.0	41
173.0	41
177.0	40
137.0	40
43.0	40
39.0	40
41.0	40
139.0	40
135.0	39
294.0	39
103.0	39
336.0	39
99.0	38
298.0	38
318.0	37
5.0	37
75.0	34
155.0	33
310.0	33
181.0	33
127.0	33
131.0	32
191.0	32
147.0	31
326.0	31
209.0	30
123.0	30
143.0	30
31.0	30
233.0	30
372.0	30
302.0	29
151.0	28
219.0	28
163.0	27
171.0	26
167.0	25
197.0	25
376.0	25
352.0	24
221.0	24
179.0	24
205.0	24
169.0	24
189.0	23
175.0	23
348.0	23
187.0	22
306.0	22
185.0	21
223.0	21
231.0	21
211.0	21
159.0	20
269.0	20
193.0	20
203.0	20
322.0	19
217.0	19
314.0	19
360.0	18
253.0	18
15.0	18
213.0	17
199.0	17
249.0	17
183.0	17
330.0	17
338.0	17
241.0	16
245.0	16
334.0	16
263.0	16
215.0	16
229.0	16
364.0	15
354.0	15
309.0	15
207.0	14
301.0	14
259.0	14
225.0	14
13.0	14
342.0	14
265.0	14
237.0	13
195.0	13
275.0	13
285.0	13
239.0	13
366.0	13
227.0	13
368.0	13
201.0	13
279.0	12
267.0	12
283.0	12
261.0	12
291.0	12
380.0	12
251.0	12
358.0	12
396.0	12
277.0	11
271.0	11
257.0	11
356.0	11
424.0	10
384.0	10
410.0	10
374.0	10
307.0	10
392.0	10
458.0	10
404.0	10
299.0	9
440.0	9
331.0	9
417.0	9
243.0	9
317.0	9
255.0	9
289.0	8
293.0	8
367.0	8
412.0	8
303.0	8
297.0	8
281.0	8
408.0	8
11.0	8
295.0	7
346.0	7
235.0	7
420.0	7
430.0	7
400.0	7
335.0	7
343.0	6
433.0	6
414.0	6
490.0	6
388.0	6
498.0	6
506.0	6
422.0	6
247.0	6
432.0	6
438.0	6
439.0	6
416.0	6
468.0	6
305.0	6
273.0	6
350.0	6
370.0	6
390.0	5
313.0	5
347.0	5
362.0	5
480.0	5
454.0	5
386.0	5
470.0	5
321.0	5
447.0	5
543.0	5
596.0	5
572.0	5
339.0	5
375.0	5
512.0	5
361.0	5
444.0	5
413.0	5
406.0	5
508.0	5
514.0	5
383.0	5
482.0	5
402.0	5
381.0	5
333.0	5
587.0	4
538.0	4
385.0	4
558.0	4
319.0	4
561.0	4
359.0	4
560.0	4
353.0	4
557.0	4
511.0	4
327.0	4
517.0	4
491.0	4
377.0	4
477.0	4
403.0	4
464.0	4
435.0	4
311.0	4
341.0	4
355.0	4
520.0	4
426.0	4
419.0	4
442.0	4
391.0	4
315.0	4
394.0	4
345.0	3
351.0	3
638.0	3
510.0	3
585.0	3
476.0	3
546.0	3
445.0	3
564.0	3
513.0	3
405.0	3
393.0	3
475.0	3
378.0	3
469.0	3
484.0	3
452.0	3
519.0	3
448.0	3
481.0	3
535.0	3
653.0	3
325.0	3
418.0	3
373.0	3
379.0	3
460.0	3
525.0	3
578.0	3
616.0	3
337.0	3
467.0	3
580.0	3
349.0	3
398.0	3
590.0	3
516.0	3
540.0	3
647.0	3
425.0	2
849.0	2
521.0	2
395.0	2
853.0	2
483.0	2
799.0	2
369.0	2
890.0	2
542.0	2
938.0	2
728.0	2
574.0	2
1077.0	2
531.0	2
819.0	2
688.0	2
532.0	2
589.0	2
599.0	2
755.0	2
522.0	2
486.0	2
437.0	2
617.0	2
691.0	2
434.0	2
648.0	2
494.0	2
1209.0	2
568.0	2
630.0	2
407.0	2
658.0	2
757.0	2
556.0	2
771.0	2
446.0	2
553.0	2
727.0	2
443.0	2
287.0	2
631.0	2
566.0	2
698.0	2
581.0	2
643.0	2
389.0	2
492.0	2
657.0	2
493.0	2
329.0	2
459.0	2
711.0	2
357.0	2
528.0	2
548.0	2
488.0	2
504.0	2
601.0	2
472.0	2
625.0	2
501.0	2
478.0	2
675.0	2
898.0	2
539.0	2
463.0	2
397.0	2
761.0	1
796.0	1
363.0	1
415.0	1
710.0	1
575.0	1
783.0	1
618.0	1
471.0	1
615.0	1
760.0	1
633.0	1
462.0	1
1050.0	1
563.0	1
608.0	1
495.0	1
524.0	1
526.0	1
666.0	1
523.0	1
487.0	1
708.0	1
701.0	1
421.0	1
628.0	1
654.0	1
694.0	1
507.0	1
451.0	1
781.0	1
536.0	1
593.0	1
583.0	1
323.0	1
621.0	1
721.0	1
798.0	1
900.0	1
595.0	1
1039.0	1
591.0	1
718.0	1
828.0	1
751.0	1
668.0	1
928.0	1
1066.0	1
1004.0	1
702.0	1
864.0	1
1192.0	1
940.0	1
636.0	1
598.0	1
614.0	1
606.0	1
612.0	1
776.0	1
1334.0	1
401.0	1
453.0	1
732.0	1
545.0	1
1139.0	1
600.0	1
672.0	1
723.0	1
959.0	1
461.0	1
541.0	1
497.0	1
500.0	1
530.0	1
584.0	1
7.0	1
651.0	1
907.0	1
499.0	1
582.0	1
827.0	1
549.0	1
888.0	1
450.0	1
365.0	1
649.0	1
552.0	1
610.0	1
382.0	1
571.0	1
975.0	1
527.0	1
887.0	1
429.0	1
567.0	1
749.0	1
411.0	1
812.0	1
896.0	1
731.0	1
554.0	1
555.0	1
387.0	1
642.0	1
449.0	1
