Brightness	Occurrences
2.0	364
4.0	291
3.0	90
8.0	66
5.0	60
6.0	54
7.0	54
11.0	47
13.0	43
20.0	40
14.0	37
21.0	31
12.0	30
10.0	30
124.0	30
16.0	29
24.0	29
9.0	29
32.0	28
15.0	26
22.0	26
28.0	26
148.0	24
30.0	23
140.0	22
29.0	22
304.0	22
176.0	21
128.0	19
132.0	19
18.0	19
25.0	18
220.0	18
19.0	17
164.0	17
152.0	17
208.0	16
236.0	16
136.0	16
368.0	15
268.0	14
168.0	13
256.0	13
184.0	13
26.0	13
316.0	12
27.0	12
50.0	12
23.0	12
200.0	12
38.0	11
340.0	11
452.0	11
156.0	11
160.0	10
504.0	10
276.0	10
272.0	10
284.0	9
608.0	9
248.0	9
280.0	9
192.0	9
472.0	9
188.0	9
212.0	9
17.0	9
432.0	9
348.0	9
232.0	8
52.0	8
620.0	8
424.0	8
48.0	8
252.0	8
244.0	8
488.0	8
240.0	8
564.0	8
360.0	7
380.0	7
376.0	7
344.0	7
532.0	7
54.0	7
372.0	7
720.0	6
468.0	6
1020.0	6
404.0	6
320.0	6
592.0	6
788.0	6
748.0	6
34.0	6
336.0	6
716.0	6
508.0	6
364.0	6
540.0	6
172.0	6
46.0	6
500.0	6
440.0	6
216.0	6
300.0	6
224.0	6
428.0	5
692.0	5
492.0	5
656.0	5
384.0	5
324.0	5
568.0	5
836.0	5
660.0	5
126.0	5
436.0	5
604.0	5
87.0	5
332.0	5
228.0	5
480.0	5
392.0	5
800.0	5
42.0	5
180.0	5
396.0	5
90.0	5
308.0	5
672.0	4
832.0	4
596.0	4
196.0	4
356.0	4
520.0	4
420.0	4
704.0	4
400.0	4
414.0	4
350.0	4
712.0	4
552.0	4
728.0	4
652.0	4
288.0	4
312.0	4
760.0	4
536.0	4
636.0	4
352.0	4
920.0	3
204.0	3
744.0	3
736.0	3
860.0	3
292.0	3
848.0	3
448.0	3
710.0	3
616.0	3
584.0	3
426.0	3
664.0	3
640.0	3
696.0	3
676.0	3
314.0	3
260.0	3
580.0	3
460.0	3
146.0	3
796.0	3
408.0	3
544.0	3
684.0	3
648.0	3
496.0	3
892.0	3
812.0	3
388.0	3
464.0	3
740.0	3
398.0	3
494.0	3
416.0	3
512.0	3
780.0	3
450.0	3
816.0	3
700.0	2
382.0	2
872.0	2
968.0	2
896.0	2
286.0	2
680.0	2
522.0	2
484.0	2
296.0	2
76.0	2
764.0	2
342.0	2
458.0	2
558.0	2
442.0	2
70.0	2
386.0	2
732.0	2
524.0	2
632.0	2
40.0	2
878.0	2
854.0	2
600.0	2
410.0	2
876.0	2
960.0	2
166.0	2
588.0	2
776.0	2
422.0	2
412.0	2
210.0	2
628.0	2
444.0	2
924.0	2
824.0	2
772.0	2
820.0	2
78.0	2
470.0	2
668.0	2
884.0	2
138.0	2
434.0	2
840.0	2
516.0	2
144.0	2
546.0	2
56.0	2
808.0	2
828.0	2
44.0	1
578.0	1
810.0	1
844.0	1
306.0	1
476.0	1
218.0	1
722.0	1
574.0	1
634.0	1
310.0	1
226.0	1
804.0	1
179.0	1
142.0	1
528.0	1
378.0	1
916.0	1
354.0	1
936.0	1
626.0	1
81.0	1
614.0	1
534.0	1
912.0	1
792.0	1
328.0	1
478.0	1
624.0	1
784.0	1
102.0	1
586.0	1
60.0	1
282.0	1
566.0	1
318.0	1
456.0	1
334.0	1
612.0	1
572.0	1
