Brightness	Occurrences
0.0	2249
48.0	723
12.0	376
14.0	371
20.0	261
52.0	260
18.0	160
60.0	122
6.0	93
3.0	92
11.0	90
22.0	87
2.0	75
10.0	74
8.0	70
16.0	60
72.0	53
4.0	53
64.0	52
56.0	51
7.0	50
30.0	48
76.0	44
88.0	38
96.0	37
124.0	34
84.0	34
33.0	32
5.0	31
100.0	31
80.0	30
68.0	29
180.0	28
220.0	27
108.0	27
156.0	26
116.0	26
148.0	25
160.0	24
164.0	23
132.0	22
188.0	22
9.0	22
120.0	22
172.0	22
208.0	21
144.0	20
136.0	19
128.0	19
112.0	19
176.0	19
92.0	17
104.0	17
196.0	16
192.0	16
248.0	16
216.0	16
140.0	16
240.0	16
232.0	15
308.0	15
348.0	15
200.0	15
420.0	14
512.0	14
204.0	14
184.0	14
360.0	13
344.0	13
376.0	13
228.0	13
224.0	12
260.0	12
316.0	12
244.0	12
332.0	11
288.0	11
152.0	11
440.0	11
276.0	11
372.0	11
212.0	11
408.0	11
384.0	10
292.0	10
168.0	10
256.0	9
364.0	9
544.0	9
392.0	9
508.0	9
548.0	9
600.0	8
632.0	8
304.0	8
488.0	8
264.0	8
272.0	8
352.0	8
296.0	8
396.0	8
280.0	8
380.0	7
484.0	7
504.0	7
432.0	7
460.0	7
300.0	7
472.0	6
456.0	6
328.0	6
388.0	6
312.0	6
252.0	6
592.0	6
416.0	6
424.0	6
644.0	6
268.0	6
568.0	5
368.0	5
520.0	5
640.0	5
652.0	5
628.0	5
444.0	5
496.0	5
552.0	5
696.0	5
660.0	5
476.0	5
356.0	5
636.0	5
524.0	5
284.0	5
436.0	4
676.0	4
320.0	4
516.0	4
336.0	4
464.0	4
24.0	4
340.0	4
560.0	4
500.0	4
580.0	4
26.0	4
428.0	4
648.0	4
236.0	3
612.0	3
764.0	3
616.0	3
400.0	3
492.0	3
716.0	3
528.0	3
572.0	3
736.0	3
44.0	3
324.0	3
536.0	3
468.0	3
684.0	3
672.0	3
704.0	2
166.0	2
920.0	2
527.0	2
106.0	2
448.0	2
21.0	2
800.0	2
452.0	2
540.0	2
532.0	2
480.0	2
278.0	2
608.0	2
604.0	2
828.0	2
58.0	2
1020.0	2
776.0	2
712.0	2
708.0	2
664.0	2
314.0	2
584.0	2
820.0	2
965.0	2
620.0	2
134.0	2
556.0	2
780.0	2
796.0	2
67.0	1
740.0	1
688.0	1
54.0	1
588.0	1
752.0	1
170.0	1
502.0	1
174.0	1
748.0	1
87.0	1
727.0	1
876.0	1
15.0	1
282.0	1
38.0	1
115.0	1
75.0	1
182.0	1
856.0	1
564.0	1
412.0	1
744.0	1
720.0	1
692.0	1
105.0	1
404.0	1
756.0	1
884.0	1
175.0	1
138.0	1
868.0	1
234.0	1
596.0	1
1068.0	1
83.0	1
