# frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	937.5	35.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	1	2238.0	69.0	1.0	1.0	0.0	1.0	17.0	7.0	0.0	9.0
0	2	375.5	93.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	3	2125.5	159.0	2.0	2.0	2.0	0.0	30.0	22.0	8.0	0.0
0	4	2083.0	207.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
0	5	1443.6659242761693	217.66369710467706	7.0	4.0	0.0	5.0	898.0	748.0	0.0	150.0
0	6	1881.5	347.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	7	209.5	437.0	2.0	2.0	2.0	0.0	16.0	8.0	8.0	0.0
0	8	1105.5	457.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
0	9	1131.5	573.48	4.0	4.0	0.0	0.0	50.0	48.0	0.0	0.0
0	10	2446.0	629.0	3.0	3.0	3.0	0.0	39.0	27.0	12.0	0.0
0	11	512.5178571428571	674.5178571428571	4.0	1.0	1.0	4.0	280.0	8.0	2.0	268.0
0	12	1111.5	719.0	2.0	2.0	2.0	0.0	28.0	22.0	6.0	0.0
0	13	1417.48	727.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
0	14	1575.5	751.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
0	15	673.5	773.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
0	16	1919.5	847.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	17	596.6660746003553	864.6660746003553	7.0	4.0	5.0	4.0	563.0	84.0	19.0	460.0
0	18	1453.5	907.0	2.0	2.0	2.0	0.0	26.0	18.0	8.0	0.0
0	19	1627.5	937.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	20	1717.5	990.5	4.0	0.0	4.0	0.0	28.0	0.0	28.0	0.0
0	21	1363.5	995.5	4.0	4.0	0.0	0.0	64.0	64.0	0.0	0.0
0	22	2377.5	1009.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	23	662.5	1037.5	4.0	0.0	4.0	0.0	52.0	0.0	52.0	0.0
0	24	821.4909090909091	1065.509090909091	4.0	4.0	0.0	1.0	110.0	108.0	0.0	2.0
0	25	917.5128205128206	1087.5128205128206	4.0	4.0	0.0	1.0	312.0	304.0	0.0	8.0
0	26	211.5	1145.0	2.0	2.0	2.0	0.0	22.0	16.0	6.0	0.0
0	27	1495.5	1185.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	28	2140.5	1287.5	4.0	0.0	4.0	0.0	28.0	0.0	28.0	0.0
0	29	519.5	1345.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
0	30	419.5	1462.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	31	1885.5	1471.5	4.0	4.0	0.0	2.0	52.0	48.0	0.0	4.0
0	32	2252.5	1479.5	4.0	0.0	4.0	0.0	128.0	0.0	128.0	0.0
0	33	1860.5	1517.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	34	918.6750418760469	1760.6750418760469	7.0	4.0	5.0	4.0	597.0	92.0	25.0	480.0
0	35	2194.658436213992	1760.6584362139918	7.0	4.0	5.0	4.0	486.0	68.0	18.0	400.0
0	36	601.5	1785.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	37	135.5	1887.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	38	634.5	1935.5	4.0	0.0	4.0	0.0	76.0	0.0	76.0	0.0
