Brightness	Occurrences
6.0	764
8.0	511
24.0	274
4.0	113
10.0	57
28.0	34
40.0	19
64.0	18
3.0	18
2.0	17
104.0	17
18.0	16
7.0	14
96.0	13
76.0	12
132.0	11
36.0	11
56.0	11
68.0	11
48.0	11
12.0	10
72.0	10
116.0	9
60.0	9
88.0	9
92.0	8
32.0	8
52.0	7
140.0	7
128.0	7
240.0	7
44.0	7
25.0	7
30.0	7
136.0	6
19.0	6
200.0	6
100.0	6
108.0	6
13.0	5
292.0	5
84.0	5
113.0	5
9.0	5
184.0	5
208.0	5
188.0	5
160.0	5
120.0	5
172.0	5
280.0	4
49.0	4
124.0	4
176.0	4
216.0	4
196.0	4
5.0	3
232.0	3
336.0	3
144.0	3
112.0	3
224.0	3
152.0	3
121.0	3
65.0	3
168.0	3
220.0	3
89.0	2
360.0	2
236.0	2
93.0	2
212.0	2
384.0	2
253.0	2
134.0	2
125.0	2
296.0	2
180.0	2
252.0	2
368.0	2
320.0	2
74.0	2
69.0	2
14.0	2
260.0	2
324.0	2
129.0	2
204.0	2
80.0	2
156.0	2
177.0	2
91.0	2
16.0	2
137.0	2
98.0	2
248.0	2
31.0	2
148.0	1
57.0	1
256.0	1
106.0	1
300.0	1
119.0	1
26.0	1
244.0	1
58.0	1
332.0	1
243.0	1
412.0	1
77.0	1
621.0	1
73.0	1
284.0	1
268.0	1
