#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	767.5	12.666666666666666	4.0	2.0	4.0	0.0	36.0	12.0	24.0	0.0
0	1	423.5	71.0	2.0	2.0	2.0	0.0	24.0	18.0	6.0	0.0
0	2	1277.5	93.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	3	451.5	112.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	4	1615.5	237.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	5	91.48	249.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
0	6	1209.5	277.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	7	1075.5	437.0	2.0	2.0	2.0	0.0	26.0	20.0	6.0	0.0
0	8	2065.5	461.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
0	9	1850.6421568627452	476.6421568627451	7.0	4.0	5.0	4.0	408.0	52.0	12.0	344.0
0	10	279.0	517.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
0	11	2055.5	723.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	12	2080.514423076923	748.5048076923077	4.0	1.0	1.0	4.0	208.0	4.0	2.0	200.0
0	13	1297.5081967213114	841.5081967213115	4.0	4.0	0.0	0.0	61.0	60.0	0.0	0.0
0	14	111.5	849.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	15	1481.5	869.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	16	1181.5	885.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
0	17	2387.4814814814813	891.4814814814815	4.0	4.0	0.0	1.0	54.0	52.0	0.0	2.0
0	18	2053.52	957.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
0	19	853.52	961.48	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
0	20	2203.5	1081.48	4.0	4.0	0.0	0.0	50.0	48.0	0.0	0.0
0	21	208.50437317784255	1120.0495626822158	6.0	1.0	4.0	4.0	343.0	3.0	156.0	184.0
0	22	315.4848484848485	1133.4848484848485	4.0	4.0	2.0	1.0	66.0	60.0	4.0	2.0
0	23	873.5	1171.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
0	24	1107.5	1203.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
0	25	1567.5391304347827	1275.8217391304347	6.0	4.0	4.0	2.0	230.0	156.0	56.0	18.0
0	26	605.5	1310.5	4.0	0.0	4.0	0.0	156.0	0.0	156.0	0.0
0	27	849.5	1314.5	4.0	0.0	4.0	0.0	232.0	0.0	232.0	0.0
0	28	677.5	1327.4642857142858	4.0	4.0	2.0	0.0	56.0	52.0	4.0	0.0
0	29	2161.5	1327.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	30	1385.5	1480.5	4.0	0.0	4.0	0.0	144.0	0.0	144.0	0.0
0	31	857.5	1491.0	2.0	2.0	2.0	0.0	26.0	18.0	8.0	0.0
0	32	569.5	1533.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	33	1799.5	1654.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	34	503.5	1691.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
0	35	1156.504	1744.504	4.0	0.0	0.0	4.0	125.0	0.0	0.0	124.0
0	36	723.5	1802.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	37	723.48	1845.0	2.0	2.0	2.0	0.0	25.0	18.0	6.0	0.0
0	38	2199.5	1913.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	39	1568.5	1923.5	4.0	0.0	4.0	0.0	148.0	0.0	148.0	0.0
0	40	1637.5	1961.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	41	1841.5	1969.0	2.0	2.0	2.0	0.0	24.0	18.0	6.0	0.0
