Brightness	Occurrences
2.0	324
4.0	110
3.0	39
5.0	30
7.0	28
8.0	22
9.0	21
20.0	20
10.0	17
6.0	15
12.0	13
32.0	12
14.0	12
16.0	12
22.0	10
18.0	8
13.0	8
200.0	8
188.0	7
28.0	7
148.0	7
15.0	7
24.0	7
25.0	6
192.0	6
412.0	6
224.0	6
42.0	6
288.0	6
432.0	5
156.0	5
388.0	5
220.0	5
160.0	5
152.0	5
23.0	5
27.0	5
11.0	5
128.0	5
292.0	5
244.0	5
50.0	5
180.0	5
132.0	5
672.0	4
364.0	4
196.0	4
268.0	4
328.0	4
316.0	4
512.0	4
204.0	4
368.0	4
124.0	4
38.0	4
176.0	4
384.0	4
376.0	4
352.0	4
168.0	4
136.0	4
54.0	3
260.0	3
564.0	3
360.0	3
340.0	3
140.0	3
616.0	3
434.0	3
332.0	3
236.0	3
420.0	3
184.0	3
396.0	3
280.0	3
472.0	3
576.0	3
480.0	3
240.0	3
540.0	3
212.0	3
216.0	2
704.0	2
126.0	2
314.0	2
450.0	2
308.0	2
252.0	2
40.0	2
90.0	2
620.0	2
44.0	2
748.0	2
348.0	2
808.0	2
26.0	2
21.0	2
294.0	2
584.0	2
144.0	2
356.0	2
768.0	2
660.0	2
476.0	2
550.0	2
312.0	2
33.0	2
362.0	2
296.0	2
248.0	2
648.0	2
272.0	2
29.0	2
490.0	2
358.0	2
344.0	2
462.0	2
980.0	2
544.0	2
652.0	2
300.0	2
504.0	2
756.0	2
256.0	2
208.0	1
784.0	1
370.0	1
1012.0	1
470.0	1
816.0	1
804.0	1
30.0	1
290.0	1
448.0	1
276.0	1
436.0	1
334.0	1
404.0	1
440.0	1
792.0	1
452.0	1
560.0	1
426.0	1
520.0	1
378.0	1
600.0	1
34.0	1
596.0	1
142.0	1
688.0	1
324.0	1
380.0	1
17.0	1
52.0	1
744.0	1
608.0	1
172.0	1
60.0	1
972.0	1
320.0	1
1020.0	1
284.0	1
664.0	1
498.0	1
532.0	1
392.0	1
306.0	1
626.0	1
468.0	1
636.0	1
336.0	1
456.0	1
580.0	1
424.0	1
976.0	1
840.0	1
720.0	1
81.0	1
828.0	1
264.0	1
