Brightness	Occurrences
6.0	751
8.0	452
24.0	339
4.0	134
10.0	76
3.0	34
40.0	32
28.0	31
88.0	29
64.0	23
36.0	23
56.0	22
104.0	22
12.0	22
60.0	22
48.0	22
72.0	20
52.0	19
108.0	19
32.0	18
112.0	18
120.0	18
2.0	17
13.0	15
144.0	15
68.0	15
132.0	15
7.0	15
160.0	14
96.0	14
136.0	14
19.0	14
80.0	14
92.0	13
44.0	12
116.0	12
124.0	11
25.0	11
176.0	11
140.0	10
156.0	9
260.0	9
152.0	9
252.0	8
81.0	8
84.0	8
128.0	8
76.0	8
172.0	8
168.0	7
164.0	7
57.0	7
184.0	7
188.0	7
100.0	7
49.0	7
232.0	6
224.0	6
18.0	6
5.0	6
240.0	6
276.0	5
212.0	5
27.0	5
220.0	5
73.0	5
192.0	5
9.0	5
180.0	5
65.0	5
196.0	5
208.0	5
244.0	5
71.0	4
284.0	4
300.0	4
121.0	4
31.0	4
45.0	3
216.0	3
148.0	3
153.0	3
125.0	3
236.0	3
200.0	3
20.0	3
312.0	3
30.0	3
228.0	3
53.0	3
11.0	3
264.0	3
85.0	2
141.0	2
26.0	2
101.0	2
29.0	2
272.0	2
62.0	2
54.0	2
142.0	2
280.0	2
316.0	2
89.0	2
41.0	2
93.0	2
304.0	2
288.0	1
42.0	1
364.0	1
340.0	1
308.0	1
356.0	1
332.0	1
46.0	1
178.0	1
226.0	1
86.0	1
249.0	1
169.0	1
476.0	1
117.0	1
432.0	1
292.0	1
145.0	1
251.0	1
337.0	1
191.0	1
97.0	1
248.0	1
38.0	1
105.0	1
165.0	1
505.0	1
283.0	1
22.0	1
205.0	1
334.0	1
348.0	1
213.0	1
70.0	1
