Brightness	Occurrences
48.0	531
24.0	452
20.0	387
18.0	269
22.0	212
52.0	180
28.0	117
26.0	112
13.0	104
50.0	102
60.0	68
56.0	61
30.0	60
16.0	45
6.0	41
64.0	36
54.0	28
40.0	26
88.0	25
32.0	24
104.0	24
62.0	21
36.0	20
58.0	20
53.0	20
49.0	18
120.0	18
68.0	18
108.0	17
80.0	17
112.0	16
25.0	15
7.0	15
84.0	15
15.0	14
96.0	14
72.0	14
132.0	13
57.0	13
160.0	12
66.0	12
76.0	12
44.0	12
92.0	12
191.0	11
172.0	11
136.0	11
184.0	11
260.0	10
240.0	10
124.0	10
146.0	10
116.0	10
244.0	9
192.0	9
220.0	8
199.0	8
100.0	8
176.0	8
195.0	7
325.0	7
252.0	7
236.0	7
128.0	7
38.0	7
148.0	7
152.0	7
144.0	7
224.0	7
275.0	7
232.0	7
350.0	6
21.0	6
317.0	6
125.0	6
164.0	6
156.0	6
82.0	6
55.0	6
140.0	6
168.0	6
280.0	6
180.0	6
408.0	6
440.0	6
284.0	6
61.0	6
138.0	5
283.0	5
230.0	5
134.0	5
226.0	5
179.0	5
506.0	5
45.0	5
170.0	5
316.0	5
154.0	5
86.0	5
356.0	5
59.0	5
432.0	5
438.0	5
304.0	5
208.0	5
178.0	5
216.0	4
205.0	4
462.0	4
279.0	4
17.0	4
461.0	4
253.0	4
243.0	4
551.0	4
94.0	4
303.0	4
494.0	4
412.0	4
42.0	4
251.0	4
46.0	4
482.0	4
306.0	4
640.0	4
302.0	4
171.0	4
133.0	4
276.0	4
504.0	4
196.0	4
338.0	3
383.0	3
147.0	3
527.0	3
39.0	3
203.0	3
233.0	3
174.0	3
271.0	3
228.0	3
150.0	3
90.0	3
384.0	3
238.0	3
110.0	3
928.0	3
318.0	3
23.0	3
183.0	3
41.0	3
515.0	3
241.0	3
209.0	3
465.0	3
416.0	3
137.0	3
219.0	3
741.0	3
472.0	3
502.0	3
215.0	3
247.0	3
166.0	3
288.0	3
190.0	3
511.0	3
300.0	3
158.0	3
295.0	3
963.0	2
337.0	2
102.0	2
389.0	2
297.0	2
101.0	2
568.0	2
674.0	2
591.0	2
817.0	2
340.0	2
326.0	2
427.0	2
581.0	2
221.0	2
570.0	2
481.0	2
417.0	2
206.0	2
149.0	2
610.0	2
993.0	2
933.0	2
278.0	2
833.0	2
466.0	2
267.0	2
474.0	2
12.0	2
869.0	2
292.0	2
187.0	2
702.0	2
1073.0	2
892.0	2
597.0	2
888.0	2
8.0	2
313.0	2
803.0	2
852.0	2
525.0	2
248.0	2
660.0	2
714.0	2
351.0	2
207.0	2
211.0	2
245.0	2
85.0	2
1133.0	2
274.0	2
430.0	2
235.0	2
129.0	2
948.0	2
349.0	2
376.0	2
720.0	2
345.0	2
394.0	2
904.0	2
683.0	2
653.0	2
299.0	2
368.0	2
74.0	2
200.0	2
1019.0	2
642.0	2
294.0	2
420.0	2
641.0	2
553.0	2
434.0	2
43.0	2
333.0	2
262.0	2
34.0	2
210.0	2
753.0	2
37.0	2
623.0	2
281.0	2
264.0	2
531.0	2
588.0	2
1021.0	2
390.0	2
217.0	2
51.0	2
162.0	2
778.0	2
589.0	2
492.0	2
881.0	2
239.0	2
399.0	2
258.0	2
201.0	2
268.0	2
343.0	2
249.0	2
1333.0	2
428.0	2
856.0	2
173.0	2
648.0	2
14.0	2
212.0	2
346.0	2
805.0	2
308.0	2
424.0	2
259.0	1
332.0	1
873.0	1
400.0	1
388.0	1
1598.0	1
69.0	1
976.0	1
198.0	1
584.0	1
539.0	1
456.0	1
11.0	1
367.0	1
594.0	1
387.0	1
145.0	1
535.0	1
538.0	1
65.0	1
360.0	1
960.0	1
365.0	1
758.0	1
257.0	1
854.0	1
442.0	1
135.0	1
163.0	1
776.0	1
418.0	1
708.0	1
1077.0	1
828.0	1
532.0	1
545.0	1
1048.0	1
790.0	1
372.0	1
604.0	1
1380.0	1
256.0	1
542.0	1
547.0	1
578.0	1
1800.0	1
272.0	1
213.0	1
270.0	1
585.0	1
1060.0	1
9.0	1
554.0	1
550.0	1
382.0	1
540.0	1
615.0	1
106.0	1
336.0	1
559.0	1
1032.0	1
31.0	1
381.0	1
530.0	1
67.0	1
227.0	1
218.0	1
470.0	1
534.0	1
363.0	1
312.0	1
89.0	1
98.0	1
1137.0	1
560.0	1
1329.0	1
908.0	1
449.0	1
250.0	1
681.0	1
457.0	1
421.0	1
989.0	1
654.0	1
151.0	1
165.0	1
234.0	1
81.0	1
431.0	1
419.0	1
406.0	1
126.0	1
380.0	1
266.0	1
724.0	1
631.0	1
562.0	1
153.0	1
749.0	1
121.0	1
1113.0	1
188.0	1
204.0	1
403.0	1
127.0	1
756.0	1
793.0	1
520.0	1
426.0	1
117.0	1
586.0	1
130.0	1
1179.0	1
423.0	1
801.0	1
344.0	1
924.0	1
339.0	1
63.0	1
780.0	1
194.0	1
464.0	1
831.0	1
385.0	1
414.0	1
931.0	1
598.0	1
27.0	1
1009.0	1
705.0	1
671.0	1
186.0	1
413.0	1
679.0	1
175.0	1
70.0	1
824.0	1
348.0	1
197.0	1
301.0	1
1321.0	1
246.0	1
436.0	1
665.0	1
522.0	1
10.0	1
