# frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	71.0	2.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
0	1	1703.5	5.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	2	767.5	13.0	2.0	2.0	2.0	0.0	28.0	22.0	6.0	0.0
0	3	1499.5	95.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	4	315.5173913043478	109.51739130434783	4.0	4.0	0.0	2.0	460.0	440.0	0.0	20.0
0	5	895.5	173.0	2.0	2.0	2.0	0.0	28.0	20.0	8.0	0.0
0	6	1255.5	250.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	7	1509.5	281.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	8	2175.48	361.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
0	9	1841.5	405.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	10	417.5	455.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	11	1105.5	456.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	12	550.5	467.66129032258067	4.0	0.0	4.0	2.0	124.0	0.0	84.0	40.0
0	13	2343.5	608.5	4.0	0.0	4.0	0.0	116.0	0.0	116.0	0.0
0	14	1251.5	655.0	2.0	2.0	2.0	0.0	22.0	18.0	4.0	0.0
0	15	397.52180936995154	689.5218093699515	4.0	4.0	0.0	1.0	619.0	592.0	0.0	27.0
0	16	571.4782608695652	715.0	2.0	2.0	2.0	0.0	23.0	18.0	5.0	0.0
0	17	1417.5	727.4615384615385	4.0	4.0	2.0	0.0	52.0	48.0	4.0	0.0
0	18	2250.5	795.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
0	19	1192.5	839.5	4.0	0.0	4.0	0.0	112.0	0.0	112.0	0.0
0	20	691.5	861.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	21	2179.5	861.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	22	601.34375	870.5	4.0	0.0	4.0	2.0	64.0	0.0	44.0	20.0
0	23	9.5	929.0	2.0	2.0	2.0	0.0	22.0	18.0	4.0	0.0
0	24	1001.5	1012.5	4.0	0.0	4.0	0.0	100.0	0.0	100.0	0.0
0	25	1777.5	1037.0	2.0	2.0	2.0	0.0	26.0	20.0	6.0	0.0
0	26	503.5	1049.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	27	719.5	1071.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	28	2339.5	1077.4615384615386	4.0	4.0	2.0	0.0	52.0	48.0	4.0	0.0
0	29	1969.5	1096.5	4.0	0.0	4.0	0.0	144.0	0.0	144.0	0.0
0	30	2199.5	1267.4285714285713	4.0	4.0	2.0	0.0	56.0	48.0	8.0	0.0
