Brightness	Occurrences
6.0	780
8.0	523
24.0	363
4.0	173
10.0	87
3.0	80
40.0	59
28.0	58
2.0	57
72.0	54
32.0	47
36.0	44
52.0	43
48.0	42
19.0	39
88.0	39
68.0	39
112.0	38
80.0	38
60.0	36
104.0	35
18.0	35
108.0	34
156.0	34
30.0	33
92.0	33
120.0	32
64.0	32
56.0	30
236.0	29
132.0	29
116.0	29
160.0	28
128.0	27
200.0	27
76.0	27
96.0	26
144.0	26
212.0	25
12.0	25
136.0	25
13.0	25
84.0	25
168.0	24
44.0	24
176.0	23
188.0	22
148.0	22
204.0	22
124.0	22
152.0	21
224.0	21
240.0	21
100.0	21
57.0	20
140.0	20
81.0	19
184.0	19
164.0	17
180.0	17
192.0	17
25.0	17
49.0	16
73.0	16
264.0	15
256.0	15
172.0	14
260.0	14
220.0	14
228.0	14
252.0	14
232.0	13
208.0	13
97.0	13
196.0	13
248.0	13
268.0	12
7.0	12
65.0	11
300.0	11
216.0	9
276.0	8
332.0	8
31.0	8
288.0	8
9.0	8
344.0	7
105.0	7
272.0	7
308.0	7
280.0	7
165.0	6
33.0	6
296.0	6
89.0	6
284.0	6
340.0	5
244.0	5
113.0	5
348.0	4
14.0	4
161.0	4
292.0	4
320.0	4
5.0	3
392.0	3
356.0	3
324.0	3
129.0	3
304.0	3
388.0	3
277.0	3
154.0	3
58.0	3
37.0	3
82.0	3
312.0	3
121.0	3
117.0	3
289.0	2
384.0	2
55.0	2
460.0	2
45.0	2
158.0	2
330.0	2
316.0	2
122.0	2
94.0	2
77.0	2
27.0	2
181.0	2
106.0	2
61.0	2
26.0	2
305.0	2
360.0	2
74.0	2
135.0	2
428.0	2
59.0	2
210.0	2
352.0	2
214.0	2
336.0	2
103.0	2
343.0	2
119.0	2
90.0	2
250.0	2
38.0	2
145.0	2
633.0	1
193.0	1
123.0	1
79.0	1
217.0	1
21.0	1
137.0	1
107.0	1
169.0	1
186.0	1
342.0	1
127.0	1
211.0	1
133.0	1
404.0	1
17.0	1
368.0	1
109.0	1
23.0	1
130.0	1
51.0	1
226.0	1
146.0	1
35.0	1
41.0	1
438.0	1
281.0	1
328.0	1
147.0	1
189.0	1
53.0	1
54.0	1
297.0	1
87.0	1
95.0	1
450.0	1
535.0	1
102.0	1
