Brightness	Occurrences
48.0	596
24.0	427
20.0	379
18.0	322
22.0	219
52.0	202
26.0	173
28.0	158
50.0	103
60.0	98
56.0	87
13.0	85
30.0	68
68.0	50
32.0	49
64.0	44
72.0	43
6.0	43
54.0	40
160.0	37
104.0	34
58.0	34
88.0	33
76.0	33
124.0	33
96.0	32
112.0	31
236.0	31
80.0	31
108.0	30
128.0	30
40.0	30
16.0	29
44.0	28
116.0	28
84.0	26
156.0	25
49.0	25
36.0	25
148.0	24
200.0	24
144.0	24
212.0	24
172.0	24
188.0	24
53.0	23
284.0	23
136.0	23
132.0	22
92.0	21
260.0	21
120.0	20
252.0	20
196.0	19
228.0	19
184.0	19
232.0	19
176.0	18
224.0	18
264.0	18
168.0	17
100.0	17
158.0	17
208.0	16
240.0	16
204.0	16
129.0	15
268.0	15
162.0	15
150.0	15
164.0	15
152.0	15
288.0	14
15.0	14
137.0	13
780.0	13
140.0	13
220.0	12
154.0	12
192.0	12
457.0	12
270.0	12
141.0	11
62.0	11
180.0	11
308.0	11
304.0	11
279.0	11
316.0	10
332.0	10
38.0	10
387.0	10
211.0	10
248.0	9
486.0	9
479.0	9
31.0	9
78.0	9
415.0	9
251.0	9
267.0	9
133.0	9
350.0	9
134.0	9
325.0	9
440.0	9
334.0	9
46.0	9
275.0	9
23.0	9
298.0	9
360.0	8
383.0	8
61.0	8
7.0	8
397.0	8
187.0	8
296.0	8
312.0	8
125.0	8
179.0	8
191.0	8
138.0	8
244.0	8
436.0	8
216.0	8
356.0	7
241.0	7
598.0	7
364.0	7
226.0	7
406.0	7
280.0	7
249.0	7
263.0	7
458.0	7
262.0	7
650.0	7
292.0	7
142.0	7
118.0	7
245.0	7
619.0	7
348.0	7
283.0	7
195.0	7
239.0	7
65.0	7
272.0	7
213.0	7
324.0	7
234.0	7
14.0	7
483.0	7
243.0	6
588.0	6
266.0	6
276.0	6
423.0	6
66.0	6
989.0	6
256.0	6
662.0	6
287.0	6
300.0	6
205.0	6
539.0	6
408.0	6
580.0	6
666.0	6
255.0	6
294.0	6
341.0	6
344.0	6
98.0	6
363.0	6
258.0	6
166.0	6
519.0	6
466.0	6
114.0	6
402.0	6
207.0	6
972.0	6
584.0	6
338.0	6
510.0	6
634.0	6
597.0	5
299.0	5
560.0	5
274.0	5
498.0	5
517.0	5
500.0	5
217.0	5
35.0	5
339.0	5
504.0	5
844.0	5
543.0	5
131.0	5
359.0	5
198.0	5
219.0	5
555.0	5
376.0	5
395.0	5
230.0	5
333.0	5
285.0	5
183.0	5
295.0	5
253.0	5
494.0	5
444.0	5
340.0	5
346.0	5
924.0	5
451.0	5
388.0	5
37.0	5
55.0	5
601.0	5
278.0	5
992.0	5
277.0	5
658.0	5
712.0	4
506.0	4
201.0	4
492.0	4
370.0	4
302.0	4
329.0	4
303.0	4
306.0	4
342.0	4
355.0	4
171.0	4
309.0	4
351.0	4
904.0	4
645.0	4
289.0	4
322.0	4
782.0	4
573.0	4
1017.0	4
320.0	4
215.0	4
389.0	4
485.0	4
206.0	4
110.0	4
199.0	4
892.0	4
438.0	4
321.0	4
816.0	4
354.0	4
259.0	4
521.0	4
94.0	4
925.0	4
908.0	4
411.0	4
424.0	4
572.0	4
945.0	4
314.0	4
460.0	4
352.0	4
371.0	4
145.0	4
856.0	4
242.0	4
716.0	4
765.0	4
535.0	4
367.0	4
462.0	4
937.0	4
753.0	4
57.0	4
390.0	3
174.0	3
70.0	3
1104.0	3
801.0	3
657.0	3
530.0	3
193.0	3
381.0	3
12.0	3
151.0	3
327.0	3
374.0	3
686.0	3
335.0	3
980.0	3
455.0	3
873.0	3
74.0	3
574.0	3
9.0	3
541.0	3
178.0	3
542.0	3
772.0	3
190.0	3
740.0	3
209.0	3
291.0	3
475.0	3
163.0	3
480.0	3
146.0	3
608.0	3
540.0	3
611.0	3
385.0	3
459.0	3
247.0	3
319.0	3
626.0	3
271.0	3
468.0	3
561.0	3
793.0	3
161.0	3
654.0	3
820.0	3
336.0	3
558.0	3
19.0	3
814.0	3
660.0	3
607.0	3
625.0	3
577.0	3
547.0	3
768.0	3
106.0	3
432.0	3
968.0	3
391.0	3
671.0	3
1257.0	3
617.0	3
997.0	3
203.0	3
877.0	3
916.0	3
478.0	3
860.0	3
41.0	3
1240.0	3
684.0	3
345.0	3
587.0	2
223.0	2
463.0	2
526.0	2
139.0	2
1684.0	2
525.0	2
537.0	2
524.0	2
1253.0	2
1001.0	2
186.0	2
393.0	2
502.0	2
347.0	2
1233.0	2
273.0	2
1016.0	2
290.0	2
119.0	2
1292.0	2
578.0	2
1141.0	2
362.0	2
864.0	2
821.0	2
375.0	2
743.0	2
960.0	2
832.0	2
649.0	2
1092.0	2
461.0	2
442.0	2
643.0	2
531.0	2
