# frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	473.5	311.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	1	1359.5	507.0	2.0	2.0	2.0	0.0	30.0	22.0	8.0	0.0
0	2	713.5	809.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	3	740.5	859.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	4	1355.5	883.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	5	2337.5	915.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	6	2404.5	1033.0	2.0	0.0	2.0	2.0	46.0	0.0	4.0	42.0
0	7	929.4727272727273	1075.4727272727273	4.0	4.0	0.0	1.0	55.0	52.0	0.0	3.0
0	8	1015.5	1119.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	9	578.0	1155.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
0	10	235.5	1303.0	2.0	2.0	2.0	0.0	20.0	16.0	4.0	0.0
0	11	677.5	1327.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	12	5.0	1343.0	1.0	0.0	1.0	0.0	7.0	0.0	7.0	0.0
0	13	419.0	1462.0	1.0	0.0	1.0	1.0	8.0	0.0	6.0	2.0
0	14	279.5	1639.5	4.0	4.0	0.0	0.0	60.0	60.0	0.0	0.0
0	15	825.5	1713.0	2.0	2.0	2.0	0.0	22.0	12.0	10.0	0.0
0	16	1733.52	1753.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
0	17	1631.5	1785.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
0	18	987.5	1789.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	19	1333.5	1849.0	2.0	2.0	2.0	0.0	26.0	18.0	8.0	0.0
0	20	908.5083798882681	1862.508379888268	4.0	1.0	0.0	4.0	179.0	3.0	0.0	176.0
0	21	1169.48	1869.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
0	22	1455.5	1921.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	23	1891.5	2023.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	0	473.5	311.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	1	1359.5	507.0	2.0	2.0	2.0	0.0	30.0	22.0	8.0	0.0
1	2	713.5	809.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	3	740.5	859.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
1	4	1355.5	883.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
1	5	2337.5	915.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	6	2404.5	1033.0	2.0	0.0	2.0	2.0	46.0	0.0	4.0	42.0
1	7	929.4727272727273	1075.4727272727273	4.0	4.0	0.0	1.0	55.0	52.0	0.0	3.0
1	8	1015.5	1119.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	9	578.0	1155.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
1	10	235.5	1303.0	2.0	2.0	2.0	0.0	20.0	16.0	4.0	0.0
1	11	677.5	1327.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	12	5.0	1343.0	1.0	0.0	1.0	0.0	7.0	0.0	7.0	0.0
1	13	419.0	1462.0	1.0	0.0	1.0	1.0	8.0	0.0	6.0	2.0
1	14	279.5	1639.5	4.0	4.0	0.0	0.0	60.0	60.0	0.0	0.0
1	15	825.5	1713.0	2.0	2.0	2.0	0.0	22.0	12.0	10.0	0.0
1	16	1733.52	1753.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
1	17	1631.5	1785.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
1	18	987.5	1789.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
