Brightness	Occurrences
2.0	300
4.0	62
3.0	17
5.0	17
176.0	7
6.0	7
8.0	7
7.0	7
320.0	5
11.0	5
42.0	4
32.0	4
18.0	3
14.0	3
368.0	3
446.0	3
24.0	3
54.0	3
15.0	3
16.0	3
12.0	3
28.0	3
10.0	3
172.0	2
36.0	2
400.0	2
184.0	2
124.0	2
260.0	2
418.0	2
640.0	2
29.0	2
192.0	2
336.0	2
144.0	2
48.0	2
9.0	2
232.0	2
348.0	2
38.0	2
340.0	2
200.0	2
60.0	1
444.0	1
156.0	1
244.0	1
300.0	1
704.0	1
384.0	1
128.0	1
724.0	1
50.0	1
292.0	1
312.0	1
34.0	1
636.0	1
308.0	1
388.0	1
180.0	1
152.0	1
392.0	1
776.0	1
17.0	1
27.0	1
376.0	1
240.0	1
390.0	1
30.0	1
284.0	1
608.0	1
248.0	1
716.0	1
220.0	1
87.0	1
188.0	1
22.0	1
140.0	1
148.0	1
68.0	1
66.0	1
