Brightness	Occurrences
6.0	819
8.0	494
24.0	273
4.0	128
10.0	54
28.0	17
76.0	12
3.0	12
12.0	10
40.0	9
104.0	8
96.0	8
80.0	7
68.0	7
25.0	7
64.0	6
7.0	6
120.0	6
140.0	6
9.0	6
32.0	6
2.0	5
108.0	5
5.0	5
208.0	5
128.0	5
56.0	4
144.0	4
18.0	4
52.0	4
164.0	4
13.0	4
156.0	4
89.0	4
36.0	4
100.0	4
48.0	3
60.0	3
228.0	3
88.0	3
220.0	3
44.0	3
84.0	3
57.0	2
392.0	2
14.0	2
21.0	2
112.0	2
116.0	2
260.0	2
224.0	2
26.0	2
148.0	2
73.0	2
312.0	2
30.0	2
92.0	2
292.0	2
117.0	2
173.0	2
196.0	2
188.0	2
85.0	2
176.0	2
132.0	2
185.0	2
124.0	1
17.0	1
160.0	1
304.0	1
192.0	1
19.0	1
45.0	1
202.0	1
240.0	1
61.0	1
252.0	1
316.0	1
212.0	1
15.0	1
168.0	1
229.0	1
268.0	1
29.0	1
232.0	1
221.0	1
157.0	1
