Brightness	Occurrences
48.0	495
20.0	428
24.0	414
18.0	299
22.0	226
52.0	177
26.0	174
50.0	104
13.0	101
28.0	86
56.0	81
30.0	59
60.0	52
6.0	36
16.0	35
54.0	29
49.0	26
58.0	24
64.0	16
62.0	16
53.0	14
32.0	13
72.0	11
15.0	9
76.0	9
68.0	8
59.0	8
108.0	8
38.0	8
179.0	7
46.0	7
140.0	6
80.0	6
96.0	6
57.0	6
44.0	6
82.0	6
51.0	6
55.0	6
12.0	6
14.0	6
84.0	6
25.0	6
100.0	5
21.0	5
208.0	5
104.0	5
7.0	5
36.0	5
40.0	4
211.0	4
89.0	4
150.0	4
395.0	4
9.0	4
164.0	4
132.0	4
360.0	4
120.0	4
312.0	4
8.0	4
88.0	4
259.0	3
168.0	3
130.0	3
154.0	3
41.0	3
43.0	3
440.0	3
247.0	3
61.0	3
137.0	3
355.0	3
92.0	3
23.0	3
158.0	3
228.0	3
124.0	3
226.0	3
77.0	3
125.0	3
116.0	2
27.0	2
190.0	2
175.0	2
160.0	2
489.0	2
392.0	2
406.0	2
112.0	2
508.0	2
29.0	2
271.0	2
260.0	2
432.0	2
66.0	2
230.0	2
840.0	2
548.0	2
219.0	2
144.0	2
239.0	2
376.0	2
393.0	2
388.0	2
174.0	2
42.0	2
152.0	2
176.0	2
142.0	2
177.0	2
412.0	2
203.0	2
184.0	2
39.0	2
70.0	2
117.0	2
882.0	2
156.0	2
196.0	2
63.0	2
197.0	2
67.0	2
441.0	2
45.0	2
195.0	2
94.0	2
183.0	2
399.0	2
396.0	2
128.0	1
220.0	1
738.0	1
466.0	1
350.0	1
65.0	1
255.0	1
825.0	1
113.0	1
136.0	1
349.0	1
304.0	1
327.0	1
545.0	1
81.0	1
964.0	1
37.0	1
933.0	1
33.0	1
129.0	1
461.0	1
378.0	1
293.0	1
232.0	1
345.0	1
17.0	1
465.0	1
632.0	1
330.0	1
372.0	1
472.0	1
19.0	1
186.0	1
662.0	1
348.0	1
1036.0	1
467.0	1
280.0	1
240.0	1
188.0	1
264.0	1
449.0	1
707.0	1
325.0	1
224.0	1
268.0	1
401.0	1
78.0	1
141.0	1
793.0	1
411.0	1
252.0	1
363.0	1
322.0	1
191.0	1
316.0	1
11.0	1
212.0	1
201.0	1
335.0	1
444.0	1
194.0	1
229.0	1
945.0	1
337.0	1
