#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	1811.5	45.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	1	517.5	81.0	2.0	2.0	2.0	0.0	24.0	20.0	4.0	0.0
0	2	1999.5	133.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	3	1319.5	157.0	2.0	2.0	2.0	0.0	18.0	10.0	8.0	0.0
0	4	895.5	173.0	2.0	2.0	2.0	0.0	24.0	16.0	8.0	0.0
0	5	2409.5	397.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	6	765.5	423.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	7	1275.5	429.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	8	49.5	533.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	9	2435.48	547.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
0	10	761.5	573.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	11	1219.5	631.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	12	2146.5821727019497	636.5877437325905	6.0	3.0	2.0	4.0	359.0	33.0	6.0	316.0
0	13	457.5	669.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	14	1403.5	677.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	15	1877.5	733.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	16	740.5	859.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	17	1633.5	905.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	18	1578.508379888268	1040.508379888268	4.0	1.0	0.0	4.0	179.0	3.0	0.0	176.0
0	19	1125.5	1043.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
0	20	929.5	1074.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	21	2339.5	1081.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	22	2043.5	1115.0	2.0	2.0	2.0	0.0	26.0	18.0	8.0	0.0
0	23	315.5	1132.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	24	1687.5	1188.5	4.0	0.0	4.0	0.0	80.0	0.0	80.0	0.0
0	25	1683.5	1262.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	26	843.5	1341.8265306122448	6.0	4.0	4.0	0.0	392.0	264.0	128.0	0.0
0	27	421.45454545454544	1387.0	2.0	2.0	2.0	1.0	22.0	14.0	6.0	2.0
0	28	1001.512987012987	1465.512987012987	4.0	4.0	0.0	1.0	308.0	300.0	0.0	8.0
0	29	2333.5	1645.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	30	595.5	1667.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	31	359.5	1681.4193548387098	4.0	4.0	2.0	0.0	62.0	52.0	10.0	0.0
0	32	43.5	1682.5	4.0	0.0	4.0	0.0	252.0	0.0	252.0	0.0
0	33	626.5	1771.5	4.0	0.0	4.0	0.0	140.0	0.0	140.0	0.0
0	34	506.5	1805.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	35	2197.5	1909.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	36	1205.5	1953.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	37	1021.5	1983.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	38	1609.5	2043.0	2.0	2.0	2.0	0.0	16.0	8.0	8.0	0.0
1	0	1811.5	45.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	1	517.5	81.0	2.0	2.0	2.0	0.0	24.0	20.0	4.0	0.0
1	2	1999.5	133.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
1	3	1319.5	157.0	2.0	2.0	2.0	0.0	18.0	10.0	8.0	0.0
1	4	895.5	173.0	2.0	2.0	2.0	0.0	24.0	16.0	8.0	0.0
1	5	2409.5	397.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
1	6	765.5	423.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	7	1275.5	429.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
1	8	49.5	533.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	9	2435.48	547.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
1	10	761.5	573.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
1	11	1219.5	631.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
1	12	2146.5821727019497	636.5877437325905	6.0	3.0	2.0	4.0	359.0	33.0	6.0	316.0
1	13	457.5	669.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	14	1403.5	677.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	15	1877.5	733.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	16	740.5	859.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
1	17	1633.5	905.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	18	1578.508379888268	1040.508379888268	4.0	1.0	0.0	4.0	179.0	3.0	0.0	176.0
1	19	1125.5	1043.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
1	20	929.5	1074.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
1	21	2339.5	1081.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	22	2043.5	1115.0	2.0	2.0	2.0	0.0	26.0	18.0	8.0	0.0
1	23	315.5	1132.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
1	24	1687.5	1188.5	4.0	0.0	4.0	0.0	80.0	0.0	80.0	0.0
1	25	1683.5	1262.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
1	26	843.5	1341.8265306122448	6.0	4.0	4.0	0.0	392.0	264.0	128.0	0.0
1	27	421.45454545454544	1387.0	2.0	2.0	2.0	1.0	22.0	14.0	6.0	2.0
1	28	1001.512987012987	1465.512987012987	4.0	4.0	0.0	1.0	308.0	300.0	0.0	8.0
1	29	2333.5	1645.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
1	30	595.5	1667.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	31	359.5	1681.4193548387098	4.0	4.0	2.0	0.0	62.0	52.0	10.0	0.0
1	32	43.5	1682.5	4.0	0.0	4.0	0.0	252.0	0.0	252.0	0.0
1	33	626.5	1771.5	4.0	0.0	4.0	0.0	140.0	0.0	140.0	0.0
1	34	506.5	1805.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
1	35	2197.5	1909.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
1	36	1205.5	1953.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	37	1021.5	1983.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	38	1609.5	2043.0	2.0	2.0	2.0	0.0	16.0	8.0	8.0	0.0
2	0	451.5	113.5	4.0	4.0	0.0	0.0	60.0	60.0	0.0	0.0
2	1	627.5	141.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	2	25.5	299.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	3	1713.5	361.0	2.0	2.0	2.0	0.0	28.0	20.0	8.0	0.0
2	4	765.5	423.5	4.0	4.0	0.0	0.0	60.0	60.0	0.0	0.0
2	5	2009.5	428.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
2	6	803.5	483.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
2	7	1973.5	521.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	8	1265.5	559.0	2.0	2.0	2.0	0.0	22.0	16.0	6.0	0.0
2	9	1713.521850899743	575.5115681233933	4.0	4.0	0.0	2.0	389.0	372.0	0.0	17.0
2	10	487.5	599.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
2	11	1165.5	875.0	2.0	2.0	2.0	0.0	28.0	20.0	8.0	0.0
2	12	1399.5	899.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	13	2092.673765730881	928.3339787028074	13.0	7.0	7.0	8.0	1033.0	149.0	64.0	820.0
2	14	660.5	1197.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
2	15	360.1666666666667	1309.8333333333333	7.0	0.0	7.0	0.0	192.0	0.0	192.0	0.0
2	16	179.5	1463.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
