Brightness	Occurrences
2.0	320
4.0	74
3.0	34
5.0	19
8.0	19
7.0	15
14.0	13
11.0	10
16.0	8
160.0	8
30.0	8
6.0	8
19.0	8
15.0	8
10.0	7
13.0	6
248.0	6
20.0	6
232.0	6
21.0	6
52.0	5
156.0	5
148.0	5
140.0	5
304.0	5
316.0	5
9.0	5
124.0	5
27.0	4
12.0	4
272.0	4
40.0	4
220.0	4
368.0	4
29.0	4
17.0	4
28.0	4
18.0	4
208.0	4
348.0	3
228.0	3
176.0	3
128.0	3
676.0	3
284.0	3
25.0	3
288.0	3
132.0	3
476.0	3
224.0	3
460.0	3
22.0	3
396.0	3
556.0	3
168.0	3
24.0	3
188.0	3
430.0	2
26.0	2
292.0	2
36.0	2
780.0	2
648.0	2
664.0	2
504.0	2
152.0	2
172.0	2
384.0	2
54.0	2
309.0	2
34.0	2
792.0	2
684.0	2
23.0	2
296.0	2
324.0	2
340.0	2
136.0	2
332.0	2
948.0	2
408.0	2
412.0	1
180.0	1
740.0	1
35.0	1
244.0	1
454.0	1
184.0	1
440.0	1
256.0	1
532.0	1
800.0	1
432.0	1
734.0	1
500.0	1
57.0	1
342.0	1
42.0	1
356.0	1
820.0	1
624.0	1
764.0	1
512.0	1
536.0	1
240.0	1
612.0	1
482.0	1
200.0	1
370.0	1
286.0	1
424.0	1
804.0	1
808.0	1
192.0	1
652.0	1
400.0	1
484.0	1
352.0	1
588.0	1
300.0	1
195.0	1
196.0	1
50.0	1
444.0	1
236.0	1
744.0	1
468.0	1
126.0	1
87.0	1
688.0	1
336.0	1
868.0	1
31.0	1
282.0	1
600.0	1
760.0	1
816.0	1
144.0	1
212.0	1
376.0	1
552.0	1
164.0	1
308.0	1
312.0	1
522.0	1
528.0	1
260.0	1
644.0	1
