Brightness	Occurrences
6.0	777
8.0	469
24.0	276
4.0	143
10.0	72
3.0	29
56.0	24
28.0	19
40.0	18
120.0	18
140.0	14
88.0	14
68.0	13
52.0	13
96.0	12
128.0	12
108.0	11
92.0	11
44.0	11
48.0	11
124.0	11
2.0	11
84.0	10
7.0	10
32.0	10
156.0	9
60.0	9
12.0	9
76.0	9
36.0	9
72.0	8
112.0	8
64.0	7
18.0	7
19.0	7
100.0	7
152.0	7
80.0	7
116.0	6
276.0	6
144.0	6
164.0	6
132.0	6
196.0	6
136.0	5
148.0	5
172.0	5
188.0	5
212.0	5
252.0	5
25.0	5
264.0	5
13.0	4
192.0	4
168.0	4
324.0	4
184.0	4
30.0	4
104.0	4
304.0	3
81.0	3
29.0	3
208.0	3
160.0	3
176.0	3
27.0	2
308.0	2
240.0	2
368.0	2
224.0	2
220.0	2
89.0	2
183.0	2
180.0	2
280.0	2
232.0	2
185.0	2
348.0	2
73.0	2
45.0	2
93.0	2
268.0	2
113.0	2
57.0	2
170.0	2
127.0	2
260.0	2
296.0	2
316.0	1
228.0	1
109.0	1
292.0	1
356.0	1
74.0	1
272.0	1
328.0	1
49.0	1
26.0	1
244.0	1
300.0	1
69.0	1
205.0	1
265.0	1
5.0	1
86.0	1
242.0	1
332.0	1
9.0	1
336.0	1
372.0	1
23.0	1
256.0	1
97.0	1
236.0	1
11.0	1
