Brightness	Occurrences
48.0	723
12.0	389
14.0	337
20.0	205
18.0	204
52.0	194
11.0	111
22.0	89
16.0	83
60.0	73
8.0	48
10.0	43
56.0	37
6.0	28
33.0	22
64.0	21
3.0	20
2.0	16
4.0	14
7.0	14
148.0	14
9.0	12
30.0	12
80.0	12
76.0	11
176.0	11
5.0	9
72.0	9
248.0	8
84.0	8
140.0	7
100.0	7
184.0	6
96.0	6
180.0	6
156.0	6
164.0	6
88.0	6
172.0	5
396.0	5
228.0	5
120.0	5
364.0	4
112.0	4
192.0	4
280.0	4
368.0	4
300.0	4
356.0	4
480.0	4
288.0	4
68.0	3
432.0	3
352.0	3
408.0	3
124.0	3
268.0	3
108.0	3
324.0	3
152.0	3
144.0	3
196.0	3
308.0	3
272.0	3
484.0	3
200.0	3
128.0	3
24.0	3
496.0	3
136.0	3
372.0	3
264.0	3
216.0	3
232.0	2
412.0	2
224.0	2
292.0	2
340.0	2
78.0	2
260.0	2
588.0	2
668.0	2
328.0	2
132.0	2
548.0	2
428.0	2
90.0	2
188.0	2
440.0	2
236.0	2
592.0	2
500.0	2
528.0	2
456.0	2
468.0	2
596.0	2
444.0	2
220.0	2
348.0	2
628.0	1
696.0	1
150.0	1
54.0	1
600.0	1
436.0	1
400.0	1
332.0	1
149.0	1
552.0	1
204.0	1
256.0	1
404.0	1
680.0	1
208.0	1
476.0	1
351.0	1
27.0	1
21.0	1
724.0	1
304.0	1
104.0	1
376.0	1
252.0	1
760.0	1
316.0	1
160.0	1
488.0	1
116.0	1
652.0	1
92.0	1
424.0	1
648.0	1
656.0	1
168.0	1
115.0	1
