Brightness	Occurrences
2.0	276
4.0	95
3.0	31
8.0	28
5.0	25
10.0	20
6.0	19
7.0	15
18.0	11
24.0	10
13.0	10
124.0	10
14.0	9
128.0	9
15.0	8
176.0	8
148.0	7
132.0	7
188.0	7
11.0	7
9.0	6
29.0	6
164.0	6
304.0	6
364.0	6
256.0	6
200.0	6
27.0	6
168.0	6
28.0	6
236.0	5
12.0	5
160.0	5
528.0	5
172.0	5
16.0	5
340.0	5
22.0	5
224.0	5
21.0	5
252.0	5
32.0	4
628.0	4
336.0	4
20.0	4
584.0	4
276.0	4
284.0	4
292.0	4
36.0	4
416.0	4
140.0	4
280.0	4
208.0	4
19.0	4
152.0	3
432.0	3
212.0	3
308.0	3
360.0	3
480.0	3
26.0	3
50.0	3
136.0	3
516.0	3
332.0	3
192.0	3
42.0	3
216.0	3
636.0	2
860.0	2
468.0	2
156.0	2
144.0	2
48.0	2
348.0	2
388.0	2
78.0	2
314.0	2
372.0	2
346.0	2
260.0	2
472.0	2
471.0	2
90.0	2
504.0	2
560.0	2
804.0	2
240.0	2
632.0	2
244.0	2
588.0	2
344.0	2
248.0	2
380.0	2
512.0	2
25.0	2
257.0	2
184.0	2
272.0	2
154.0	2
1033.0	2
384.0	2
386.0	2
412.0	2
342.0	2
146.0	1
1030.0	1
456.0	1
294.0	1
268.0	1
710.0	1
463.0	1
350.0	1
322.0	1
772.0	1
542.0	1
736.0	1
460.0	1
23.0	1
302.0	1
672.0	1
232.0	1
572.0	1
178.0	1
312.0	1
536.0	1
290.0	1
38.0	1
780.0	1
368.0	1
66.0	1
45.0	1
328.0	1
652.0	1
424.0	1
46.0	1
87.0	1
54.0	1
228.0	1
296.0	1
880.0	1
532.0	1
408.0	1
196.0	1
404.0	1
306.0	1
484.0	1
608.0	1
330.0	1
44.0	1
428.0	1
410.0	1
470.0	1
