Brightness	Occurrences
6.0	793
8.0	448
24.0	287
4.0	130
10.0	66
3.0	40
28.0	30
44.0	24
36.0	23
2.0	22
32.0	21
92.0	21
40.0	20
68.0	19
108.0	17
48.0	17
84.0	17
88.0	16
96.0	15
12.0	15
124.0	15
52.0	14
57.0	14
100.0	14
72.0	14
25.0	13
56.0	13
18.0	12
64.0	12
112.0	12
80.0	12
76.0	11
148.0	11
128.0	10
152.0	10
7.0	10
164.0	10
156.0	9
176.0	9
140.0	9
60.0	8
30.0	8
136.0	8
184.0	7
228.0	7
116.0	7
200.0	7
9.0	6
188.0	6
172.0	6
65.0	5
308.0	5
13.0	5
260.0	5
248.0	5
45.0	5
19.0	5
31.0	5
120.0	5
104.0	4
180.0	4
49.0	4
168.0	4
276.0	4
220.0	3
224.0	3
132.0	3
169.0	3
69.0	3
268.0	3
16.0	3
232.0	2
243.0	2
181.0	2
265.0	2
5.0	2
153.0	2
216.0	2
252.0	2
240.0	2
412.0	2
101.0	2
35.0	2
212.0	2
14.0	2
51.0	2
356.0	2
312.0	2
39.0	2
89.0	2
196.0	2
129.0	2
144.0	2
98.0	2
73.0	1
20.0	1
409.0	1
444.0	1
284.0	1
192.0	1
160.0	1
352.0	1
81.0	1
424.0	1
207.0	1
236.0	1
163.0	1
38.0	1
110.0	1
119.0	1
63.0	1
208.0	1
94.0	1
85.0	1
93.0	1
204.0	1
210.0	1
304.0	1
135.0	1
117.0	1
107.0	1
141.0	1
217.0	1
105.0	1
37.0	1
221.0	1
17.0	1
324.0	1
332.0	1
348.0	1
364.0	1
157.0	1
