Brightness	Occurrences
0.0	806
48.0	747
12.0	375
14.0	354
52.0	240
18.0	219
20.0	213
22.0	84
16.0	81
11.0	77
60.0	72
8.0	50
10.0	41
6.0	37
56.0	36
3.0	33
64.0	28
7.0	24
30.0	22
72.0	21
4.0	20
2.0	20
9.0	12
5.0	11
132.0	10
33.0	10
136.0	10
68.0	10
112.0	10
88.0	9
104.0	9
144.0	8
240.0	7
128.0	7
176.0	7
188.0	7
108.0	7
236.0	6
100.0	6
336.0	6
180.0	6
76.0	6
316.0	5
296.0	5
196.0	5
116.0	5
96.0	5
80.0	5
148.0	5
120.0	5
152.0	4
156.0	4
364.0	4
192.0	4
84.0	4
348.0	4
140.0	4
248.0	4
268.0	4
92.0	4
24.0	4
332.0	4
172.0	4
208.0	3
420.0	3
124.0	3
620.0	3
516.0	3
380.0	3
544.0	3
280.0	3
584.0	3
412.0	3
452.0	3
324.0	3
228.0	3
232.0	3
224.0	2
164.0	2
392.0	2
256.0	2
504.0	2
656.0	2
472.0	2
764.0	2
168.0	2
500.0	2
308.0	2
352.0	2
436.0	2
636.0	2
548.0	2
204.0	2
672.0	2
480.0	2
404.0	2
216.0	2
320.0	2
139.0	2
691.0	2
568.0	2
668.0	2
272.0	2
376.0	2
796.0	2
264.0	2
1308.0	2
852.0	2
200.0	2
408.0	1
484.0	1
844.0	1
756.0	1
456.0	1
340.0	1
848.0	1
512.0	1
720.0	1
244.0	1
372.0	1
300.0	1
178.0	1
440.0	1
260.0	1
448.0	1
75.0	1
464.0	1
696.0	1
328.0	1
804.0	1
252.0	1
184.0	1
588.0	1
21.0	1
160.0	1
444.0	1
182.0	1
716.0	1
640.0	1
212.0	1
492.0	1
592.0	1
460.0	1
728.0	1
276.0	1
428.0	1
