#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	8	1877.5	326.0566037735849	6.0	4.0	4.0	0.0	424.0	188.0	236.0	0.0
0	9	76.70095693779905	336.70095693779905	9.0	4.0	7.0	4.0	836.0	136.0	64.0	636.0
0	12	0.5	621.6727272727272	4.0	0.0	4.0	2.0	110.0	0.0	72.0	38.0
0	22	1037.5180722891566	923.5180722891566	4.0	4.0	0.0	1.0	415.0	400.0	0.0	15.0
0	29	565.5072463768116	1221.5072463768115	4.0	4.0	0.0	1.0	207.0	204.0	0.0	3.0
0	31	2318.671232876712	1324.6712328767123	7.0	4.0	5.0	4.0	584.0	88.0	24.0	472.0
0	33	537.5	1336.5	4.0	0.0	4.0	0.0	272.0	0.0	272.0	0.0
0	34	903.5216637781627	1371.521663778163	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
0	35	1703.5114503816794	1457.5114503816794	4.0	4.0	0.0	1.0	262.0	256.0	0.0	6.0
0	42	1794.5128205128206	1538.5128205128206	4.0	1.0	0.0	4.0	234.0	5.0	0.0	228.0
0	48	2392.5117370892017	1830.511737089202	4.0	1.0	0.0	4.0	213.0	4.0	0.0	208.0
0	65	1043.5	2030.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
1	8	1877.5	326.0566037735849	6.0	4.0	4.0	0.0	424.0	188.0	236.0	0.0
1	9	76.70095693779905	336.70095693779905	9.0	4.0	7.0	4.0	836.0	136.0	64.0	636.0
1	12	0.5	621.6727272727272	4.0	0.0	4.0	2.0	110.0	0.0	72.0	38.0
1	22	1037.5180722891566	923.5180722891566	4.0	4.0	0.0	1.0	415.0	400.0	0.0	15.0
1	29	565.5072463768116	1221.5072463768115	4.0	4.0	0.0	1.0	207.0	204.0	0.0	3.0
1	31	2318.671232876712	1324.6712328767123	7.0	4.0	5.0	4.0	584.0	88.0	24.0	472.0
1	33	537.5	1336.5	4.0	0.0	4.0	0.0	272.0	0.0	272.0	0.0
1	34	903.5216637781627	1371.521663778163	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
