#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	31	2318.671232876712	1324.6712328767123	7.0	4.0	5.0	4.0	584.0	88.0	24.0	472.0
0	34	903.5216637781627	1371.521663778163	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
0	39	644.5178571428571	1496.517857142857	4.0	1.0	1.0	4.0	280.0	8.0	2.0	268.0
0	42	1794.5128205128206	1538.5128205128206	4.0	1.0	0.0	4.0	234.0	5.0	0.0	228.0
0	48	2392.5117370892017	1830.511737089202	4.0	1.0	0.0	4.0	213.0	4.0	0.0	208.0
1	31	2318.671232876712	1324.6712328767123	7.0	4.0	5.0	4.0	584.0	88.0	24.0	472.0
1	34	903.5216637781627	1371.521663778163	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
1	39	644.5178571428571	1496.517857142857	4.0	1.0	1.0	4.0	280.0	8.0	2.0	268.0
1	42	1794.5128205128206	1538.5128205128206	4.0	1.0	0.0	4.0	234.0	5.0	0.0	228.0
1	48	2392.5117370892017	1830.511737089202	4.0	1.0	0.0	4.0	213.0	4.0	0.0	208.0
2	16	1922.505703422053	652.1254752851711	6.0	1.0	4.0	4.0	263.0	3.0	100.0	160.0
2	27	1495.5	895.5228426395939	4.0	4.0	0.0	3.0	394.0	368.0	0.0	26.0
2	30	1662.7153465346537	944.7120462046204	9.0	4.0	8.0	4.0	1212.0	208.0	112.0	892.0
2	37	1798.7057613168724	1000.7057613168724	9.0	4.0	7.0	4.0	972.0	160.0	80.0	732.0
2	39	1644.5617021276596	1030.2702127659577	8.0	3.0	5.0	4.0	470.0	30.0	141.0	296.0
2	50	2076.668	1244.668	7.0	4.0	5.0	5.0	500.0	72.0	18.0	410.0
2	52	1288.708947885939	1300.708947885939	9.0	4.0	7.0	4.0	1017.0	172.0	81.0	764.0
2	73	1106.67387687188	1828.67387687188	7.0	4.0	5.0	4.0	601.0	92.0	25.0	484.0
2	85	720.5092024539878	1992.509202453988	4.0	1.0	0.0	4.0	163.0	3.0	0.0	160.0
2	89	1576.615671641791	2032.4141791044776	9.0	4.0	8.0	4.0	536.0	56.0	120.0	360.0
3	5	1266.706611570248	118.70661157024792	9.0	4.0	7.0	4.0	968.0	160.0	80.0	728.0
3	15	634.6929238985314	660.6929238985314	9.0	4.0	7.0	4.0	749.0	120.0	49.0	580.0
3	23	1622.682857142857	980.5571428571428	11.0	4.0	10.0	4.0	1400.0	208.0	296.0	896.0
3	26	38.70912547528517	1092.7091254752852	9.0	4.0	7.0	4.0	1052.0	176.0	88.0	788.0
3	33	266.699535962877	1230.6983758700696	9.0	4.0	7.0	4.0	862.0	140.0	65.0	656.0
3	34	284.5176056338028	1240.5176056338028	4.0	1.0	1.0	4.0	284.0	8.0	2.0	272.0
3	35	80.7018779342723	1250.7018779342725	9.0	4.0	7.0	4.0	852.0	140.0	64.0	648.0
3	37	322.5168539325843	1272.5168539325844	4.0	1.0	1.0	4.0	267.0	7.0	2.0	256.0
3	39	1616.7039055404175	1294.6712079927338	11.0	4.0	10.0	4.0	1101.0	180.0	125.0	796.0
3	51	1738.6684210526316	1436.6666666666667	7.0	4.0	5.0	4.0	570.0	84.0	25.0	460.0
3	57	2008.694409937888	1544.6944099378882	9.0	4.0	7.0	4.0	805.0	128.0	57.0	620.0
3	60	2271.88	1605.88	7.0	5.0	0.0	4.0	450.0	282.0	0.0	168.0
3	65	1112.7006134969324	1720.7006134969324	9.0	4.0	7.0	5.0	815.0	132.0	57.0	626.0
3	69	1454.6849925705794	1802.6879643387813	7.0	4.0	5.0	5.0	673.0	108.0	31.0	534.0
3	71	174.55008787346222	1862.1493848857644	8.0	3.0	5.0	4.0	569.0	30.0	232.0	304.0
3	72	1950.705357142857	1874.705357142857	9.0	4.0	7.0	4.0	896.0	148.0	72.0	676.0
3	73	1578.513888888889	1894.5046296296296	4.0	1.0	1.0	4.0	216.0	4.0	2.0	208.0
3	77	1449.512880562061	1937.512880562061	4.0	4.0	0.0	2.0	427.0	408.0	0.0	19.0
3	83	338.5752427184466	2038.4393203883492	8.0	3.0	5.0	4.0	412.0	33.0	60.0	316.0
4	18	809.5198329853862	501.51983298538624	4.0	4.0	0.0	1.0	479.0	460.0	0.0	19.0
4	20	426.6918990703852	604.6918990703851	9.0	4.0	7.0	4.0	753.0	120.0	49.0	584.0
4	26	1258.668549905838	740.6685499058381	7.0	4.0	5.0	4.0	531.0	80.0	19.0	432.0
4	28	2369.5216637781627	763.5216637781629	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
4	31	272.3758573388203	844.4670781893004	14.0	8.0	12.0	6.0	1458.0	340.0	390.0	728.0
4	40	587.5168831168832	1129.516883116883	4.0	4.0	0.0	1.0	385.0	372.0	0.0	13.0
4	43	200.51351351351352	1168.5135135135135	4.0	1.0	0.0	4.0	222.0	5.0	0.0	216.0
4	48	2200.692729766804	1320.692729766804	9.0	4.0	7.0	4.0	729.0	116.0	49.0	564.0
4	68	1552.682962962963	1832.682962962963	7.0	4.0	5.0	4.0	675.0	108.0	31.0	536.0
4	69	1126.6597510373444	1868.6597510373444	7.0	4.0	5.0	4.0	482.0	68.0	18.0	396.0
4	72	334.6672897196262	1890.667289719626	7.0	4.0	5.0	4.0	535.0	80.0	19.0	436.0
4	80	1498.7082002129926	2010.7082002129928	9.0	4.0	7.0	5.0	939.0	156.0	73.0	710.0
5	18	809.5198329853862	501.51983298538624	4.0	4.0	0.0	1.0	479.0	460.0	0.0	19.0
5	20	426.6918990703852	604.6918990703851	9.0	4.0	7.0	4.0	753.0	120.0	49.0	584.0
5	26	1258.668549905838	740.6685499058381	7.0	4.0	5.0	4.0	531.0	80.0	19.0	432.0
5	28	2369.5216637781627	763.5216637781629	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
5	31	272.3758573388203	844.4670781893004	14.0	8.0	12.0	6.0	1458.0	340.0	390.0	728.0
5	40	587.5168831168832	1129.516883116883	4.0	4.0	0.0	1.0	385.0	372.0	0.0	13.0
5	43	200.51351351351352	1168.5135135135135	4.0	1.0	0.0	4.0	222.0	5.0	0.0	216.0
5	48	2200.692729766804	1320.692729766804	9.0	4.0	7.0	4.0	729.0	116.0	49.0	564.0
5	68	1552.682962962963	1832.682962962963	7.0	4.0	5.0	4.0	675.0	108.0	31.0	536.0
5	69	1126.6597510373444	1868.6597510373444	7.0	4.0	5.0	4.0	482.0	68.0	18.0	396.0
5	72	334.6672897196262	1890.667289719626	7.0	4.0	5.0	4.0	535.0	80.0	19.0	436.0
5	80	1498.7082002129926	2010.7082002129928	9.0	4.0	7.0	5.0	939.0	156.0	73.0	710.0
6	10	78.71079812206573	670.7107981220657	9.0	4.0	7.0	4.0	1065.0	180.0	89.0	796.0
6	22	1650.7031070195628	1044.7031070195628	9.0	4.0	7.0	4.0	869.0	144.0	65.0	660.0
6	30	1452.692729766804	1210.692729766804	9.0	4.0	7.0	4.0	729.0	116.0	49.0	564.0
