Brightness	Occurrences
19.0	55
3.0	51
2.0	46
30.0	25
12.0	24
18.0	23
49.0	22
24.0	20
64.0	18
25.0	17
97.0	17
31.0	17
72.0	16
13.0	15
96.0	15
89.0	15
81.0	14
57.0	14
48.0	13
104.0	13
56.0	12
88.0	12
73.0	11
65.0	10
80.0	9
112.0	8
105.0	7
20.0	6
52.0	6
100.0	6
10.0	6
51.0	5
36.0	5
144.0	4
172.0	4
94.0	4
129.0	4
84.0	4
87.0	4
8.0	4
90.0	4
5.0	3
109.0	3
58.0	3
7.0	3
60.0	3
128.0	3
33.0	3
120.0	3
134.0	2
130.0	2
103.0	2
74.0	2
264.0	2
32.0	2
98.0	2
37.0	2
92.0	2
55.0	2
95.0	2
212.0	2
223.0	2
35.0	2
239.0	2
181.0	2
452.0	2
287.0	2
93.0	2
15.0	2
390.0	2
40.0	2
50.0	2
136.0	2
699.0	2
154.0	2
6.0	2
460.0	2
117.0	2
26.0	2
165.0	1
438.0	1
180.0	1
246.0	1
22.0	1
465.0	1
44.0	1
232.0	1
215.0	1
125.0	1
152.0	1
114.0	1
164.0	1
296.0	1
188.0	1
82.0	1
332.0	1
141.0	1
124.0	1
174.0	1
121.0	1
184.0	1
210.0	1
59.0	1
29.0	1
108.0	1
196.0	1
256.0	1
146.0	1
67.0	1
68.0	1
168.0	1
191.0	1
133.0	1
135.0	1
238.0	1
149.0	1
298.0	1
27.0	1
252.0	1
204.0	1
284.0	1
113.0	1
157.0	1
