Brightness	Occurrences
341.0	14
213.0	12
243.0	12
555.0	11
504.0	11
389.0	11
385.0	9
267.0	9
521.0	9
288.0	8
167.0	8
397.0	8
284.0	8
573.0	7
585.0	7
527.0	7
356.0	7
605.0	7
393.0	7
217.0	7
457.0	7
479.0	7
263.0	7
294.0	6
509.0	6
519.0	6
1052.0	6
483.0	6
279.0	6
580.0	6
517.0	6
613.0	6
529.0	6
134.0	6
436.0	5
138.0	5
584.0	5
784.0	5
577.0	5
230.0	5
1069.0	5
403.0	5
523.0	5
525.0	5
539.0	5
116.0	5
551.0	5
500.0	5
280.0	5
475.0	5
482.0	5
222.0	5
832.0	4
856.0	4
862.0	4
1393.0	4
873.0	4
808.0	4
638.0	4
515.0	4
428.0	4
776.0	4
163.0	4
671.0	4
1125.0	4
234.0	4
1117.0	4
860.0	4
271.0	4
729.0	4
675.0	4
535.0	4
626.0	4
547.0	4
997.0	4
652.0	4
512.0	3
912.0	3
292.0	3
492.0	3
724.0	3
408.0	3
1092.0	3
494.0	3
506.0	3
387.0	3
1096.0	3
801.0	3
904.0	3
498.0	3
761.0	3
976.0	3
218.0	3
414.0	3
962.0	3
211.0	3
642.0	3
683.0	3
679.0	3
398.0	3
1160.0	3
772.0	3
989.0	3
496.0	3
424.0	3
463.0	3
634.0	3
650.0	3
476.0	3
513.0	3
869.0	3
753.0	3
816.0	3
733.0	3
896.0	3
805.0	3
588.0	3
416.0	3
939.0	3
852.0	3
302.0	3
731.0	3
980.0	2
351.0	2
1308.0	2
369.0	2
88.0	2
888.0	2
541.0	2
765.0	2
921.0	2
1144.0	2
828.0	2
401.0	2
223.0	2
455.0	2
677.0	2
685.0	2
568.0	2
434.0	2
357.0	2
557.0	2
940.0	2
1458.0	2
1205.0	2
531.0	2
139.0	2
988.0	2
597.0	2
719.0	2
1141.0	2
355.0	2
349.0	2
700.0	2
941.0	2
711.0	2
192.0	2
452.0	2
558.0	2
667.0	2
1326.0	2
1176.0	2
36.0	2
774.0	2
686.0	2
169.0	2
1013.0	2
444.0	2
682.0	2
964.0	2
925.0	2
572.0	2
916.0	2
310.0	2
900.0	2
887.0	2
215.0	2
1046.0	2
417.0	2
508.0	2
972.0	2
562.0	2
466.0	2
183.0	2
574.0	2
749.0	2
810.0	2
561.0	2
1147.0	2
720.0	2
1182.0	2
231.0	2
51.0	2
601.0	2
1848.0	2
658.0	2
631.0	2
804.0	2
656.0	2
718.0	2
481.0	2
462.0	2
490.0	2
773.0	2
454.0	2
1108.0	2
1129.0	2
1811.0	2
877.0	2
453.0	2
58.0	2
331.0	2
448.0	2
487.0	2
209.0	2
553.0	2
368.0	2
502.0	2
1104.0	2
164.0	2
960.0	2
949.0	2
460.0	2
594.0	2
203.0	2
148.0	2
985.0	2
1418.0	2
315.0	2
834.0	2
1081.0	2
129.0	2
1009.0	2
646.0	2
864.0	2
809.0	2
343.0	2
246.0	2
1195.0	2
1596.0	2
712.0	2
380.0	2
171.0	2
1186.0	2
666.0	2
361.0	2
283.0	1
662.0	1
1252.0	1
536.0	1
162.0	1
823.0	1
615.0	1
470.0	1
595.0	1
478.0	1
344.0	1
598.0	1
1017.0	1
596.0	1
607.0	1
1032.0	1
198.0	1
659.0	1
766.0	1
542.0	1
250.0	1
899.0	1
390.0	1
480.0	1
186.0	1
743.0	1
56.0	1
1066.0	1
1212.0	1
232.0	1
739.0	1
728.0	1
668.0	1
1027.0	1
566.0	1
1079.0	1
352.0	1
367.0	1
1185.0	1
438.0	1
737.0	1
1093.0	1
1040.0	1
824.0	1
50.0	1
706.0	1
565.0	1
377.0	1
207.0	1
241.0	1
1209.0	1
593.0	1
1007.0	1
464.0	1
1803.0	1
714.0	1
394.0	1
156.0	1
286.0	1
716.0	1
219.0	1
1073.0	1
1234.0	1
643.0	1
968.0	1
592.0	1
427.0	1
72.0	1
755.0	1
582.0	1
1137.0	1
30.0	1
817.0	1
216.0	1
350.0	1
791.0	1
1229.0	1
1456.0	1
1240.0	1
538.0	1
201.0	1
569.0	1
673.0	1
295.0	1
889.0	1
28.0	1
1269.0	1
1113.0	1
770.0	1
661.0	1
1115.0	1
1061.0	1
142.0	1
1065.0	1
842.0	1
797.0	1
694.0	1
412.0	1
678.0	1
115.0	1
467.0	1
786.0	1
220.0	1
304.0	1
1048.0	1
382.0	1
422.0	1
815.0	1
391.0	1
1112.0	1
881.0	1
1101.0	1
277.0	1
174.0	1
922.0	1
421.0	1
1400.0	1
630.0	1
176.0	1
471.0	1
226.0	1
212.0	1
177.0	1
332.0	1
306.0	1
1133.0	1
381.0	1
1550.0	1
233.0	1
173.0	1
497.0	1
570.0	1
589.0	1
376.0	1
327.0	1
1191.0	1
984.0	1
450.0	1
93.0	1
560.0	1
1236.0	1
451.0	1
272.0	1
819.0	1
489.0	1
1248.0	1
854.0	1
546.0	1
253.0	1
493.0	1
333.0	1
