Brightness	Occurrences
3.0	35
30.0	31
4.0	31
7.0	31
76.0	29
8.0	28
84.0	25
108.0	22
88.0	21
2.0	18
100.0	18
52.0	17
80.0	16
6.0	16
72.0	16
5.0	16
116.0	16
124.0	16
92.0	15
96.0	15
64.0	14
60.0	14
140.0	14
33.0	12
144.0	12
56.0	12
148.0	11
376.0	11
180.0	11
188.0	11
9.0	10
384.0	10
372.0	9
156.0	9
132.0	9
196.0	9
176.0	9
120.0	9
160.0	9
68.0	8
184.0	8
548.0	8
112.0	8
192.0	8
164.0	8
488.0	8
380.0	7
504.0	7
172.0	7
48.0	7
460.0	7
128.0	7
244.0	6
168.0	6
152.0	6
508.0	6
484.0	6
524.0	5
476.0	5
552.0	5
568.0	5
208.0	5
496.0	5
696.0	5
472.0	4
560.0	4
204.0	4
104.0	4
676.0	4
464.0	4
228.0	4
200.0	4
500.0	4
436.0	4
216.0	4
456.0	3
716.0	3
492.0	3
368.0	3
18.0	3
528.0	3
684.0	3
468.0	3
340.0	2
344.0	2
480.0	2
166.0	2
44.0	2
532.0	2
212.0	2
106.0	2
820.0	2
780.0	2
364.0	2
764.0	2
672.0	2
440.0	2
796.0	2
527.0	2
536.0	2
348.0	2
296.0	2
648.0	2
965.0	2
800.0	2
1068.0	1
828.0	1
516.0	1
115.0	1
640.0	1
416.0	1
15.0	1
540.0	1
444.0	1
87.0	1
644.0	1
16.0	1
712.0	1
83.0	1
424.0	1
408.0	1
572.0	1
388.0	1
138.0	1
282.0	1
105.0	1
692.0	1
660.0	1
632.0	1
234.0	1
175.0	1
220.0	1
75.0	1
564.0	1
688.0	1
