Brightness	Occurrences
3.0	60
19.0	58
2.0	43
172.0	33
148.0	29
24.0	28
18.0	26
30.0	24
13.0	24
200.0	23
72.0	22
244.0	22
49.0	22
236.0	21
96.0	21
12.0	20
204.0	20
64.0	18
180.0	18
31.0	18
25.0	17
97.0	17
88.0	17
284.0	17
80.0	17
57.0	16
248.0	16
192.0	16
272.0	16
56.0	16
112.0	15
288.0	15
89.0	15
81.0	14
104.0	13
276.0	13
73.0	12
100.0	12
256.0	12
120.0	12
84.0	12
48.0	12
216.0	12
300.0	11
332.0	11
240.0	11
296.0	10
65.0	10
308.0	10
8.0	9
44.0	9
52.0	9
105.0	9
68.0	9
124.0	8
292.0	8
320.0	8
6.0	8
280.0	8
60.0	8
336.0	7
184.0	6
344.0	6
144.0	6
328.0	6
28.0	5
156.0	5
128.0	5
58.0	5
196.0	5
40.0	5
168.0	5
32.0	5
33.0	5
132.0	5
20.0	4
90.0	4
264.0	4
94.0	4
312.0	4
10.0	4
4.0	4
130.0	4
87.0	4
36.0	4
51.0	4
364.0	4
181.0	4
129.0	4
108.0	4
368.0	4
92.0	4
152.0	4
340.0	4
208.0	4
301.0	4
260.0	3
109.0	3
140.0	3
289.0	3
54.0	3
15.0	3
228.0	3
45.0	3
76.0	3
352.0	3
160.0	3
232.0	3
212.0	3
252.0	3
188.0	3
154.0	2
37.0	2
126.0	2
35.0	2
136.0	2
390.0	2
429.0	2
287.0	2
460.0	2
53.0	2
113.0	2
98.0	2
165.0	2
169.0	2
85.0	2
103.0	2
164.0	2
134.0	2
452.0	2
7.0	2
110.0	2
74.0	2
239.0	2
225.0	2
209.0	2
324.0	2
77.0	2
304.0	2
29.0	2
93.0	2
348.0	2
176.0	2
55.0	2
117.0	2
26.0	2
699.0	2
223.0	2
329.0	2
50.0	2
316.0	2
69.0	1
438.0	1
384.0	1
106.0	1
135.0	1
157.0	1
220.0	1
11.0	1
59.0	1
141.0	1
82.0	1
133.0	1
9.0	1
185.0	1
210.0	1
221.0	1
114.0	1
253.0	1
246.0	1
5.0	1
149.0	1
146.0	1
67.0	1
215.0	1
121.0	1
191.0	1
218.0	1
95.0	1
161.0	1
167.0	1
298.0	1
125.0	1
27.0	1
174.0	1
465.0	1
238.0	1
412.0	1
380.0	1
22.0	1
224.0	1
321.0	1
273.0	1
