Brightness	Occurrences
172.0	32
288.0	29
236.0	29
148.0	28
272.0	27
180.0	24
244.0	23
284.0	21
204.0	21
200.0	21
192.0	18
436.0	17
253.0	15
248.0	15
256.0	15
344.0	15
308.0	14
279.0	14
300.0	14
341.0	14
216.0	13
138.0	13
276.0	13
213.0	13
292.0	13
359.0	12
245.0	12
423.0	12
243.0	12
295.0	11
568.0	11
555.0	11
356.0	11
504.0	11
389.0	11
534.0	10
98.0	10
267.0	10
776.0	10
457.0	10
31.0	9
90.0	9
332.0	9
133.0	9
102.0	9
385.0	9
215.0	9
266.0	9
299.0	9
145.0	9
521.0	9
320.0	9
162.0	9
424.0	8
170.0	8
74.0	8
34.0	8
207.0	8
205.0	8
328.0	8
262.0	8
134.0	8
397.0	8
167.0	8
258.0	8
209.0	8
126.0	8
585.0	7
294.0	7
527.0	7
242.0	7
605.0	7
263.0	7
283.0	7
234.0	7
238.0	7
342.0	7
336.0	7
584.0	7
166.0	7
106.0	7
217.0	7
352.0	7
479.0	7
509.0	7
573.0	7
613.0	6
218.0	6
127.0	6
331.0	6
278.0	6
334.0	6
301.0	6
517.0	6
483.0	6
340.0	6
788.0	6
458.0	6
529.0	6
222.0	6
310.0	6
246.0	6
181.0	6
270.0	6
368.0	6
580.0	6
302.0	6
519.0	6
1052.0	6
296.0	6
338.0	5
832.0	5
414.0	5
525.0	5
324.0	5
523.0	5
380.0	5
1069.0	5
577.0	5
638.0	5
403.0	5
784.0	5
666.0	5
275.0	5
539.0	5
768.0	5
500.0	5
146.0	5
434.0	5
634.0	5
298.0	5
542.0	5
306.0	5
169.0	5
287.0	5
475.0	5
482.0	5
551.0	5
367.0	5
346.0	5
462.0	5
289.0	5
249.0	4
1117.0	4
110.0	4
626.0	4
206.0	4
506.0	4
515.0	4
547.0	4
896.0	4
398.0	4
321.0	4
121.0	4
772.0	4
187.0	4
303.0	4
404.0	4
453.0	4
619.0	4
364.0	4
862.0	4
904.0	4
646.0	4
535.0	4
675.0	4
326.0	4
400.0	4
729.0	4
852.0	4
408.0	4
860.0	4
652.0	4
997.0	4
384.0	4
69.0	4
856.0	4
428.0	4
1393.0	4
118.0	4
163.0	4
765.0	4
536.0	4
657.0	4
1125.0	4
873.0	4
671.0	4
119.0	4
