Brightness	Occurrences
6.0	40
3.0	37
7.0	35
4.0	35
76.0	32
72.0	31
2.0	30
30.0	30
8.0	28
84.0	27
88.0	27
100.0	25
108.0	25
64.0	23
96.0	22
80.0	22
116.0	21
124.0	21
52.0	21
144.0	20
132.0	20
9.0	20
164.0	18
120.0	18
160.0	18
148.0	17
92.0	16
240.0	16
196.0	16
60.0	16
232.0	15
176.0	15
68.0	15
33.0	14
184.0	14
348.0	14
248.0	14
512.0	14
188.0	14
204.0	14
420.0	14
140.0	14
376.0	13
112.0	13
5.0	13
180.0	12
56.0	12
276.0	11
14.0	11
372.0	11
332.0	11
288.0	11
440.0	11
408.0	11
244.0	11
48.0	11
260.0	11
384.0	10
168.0	10
212.0	10
172.0	10
292.0	10
128.0	10
156.0	10
548.0	9
308.0	9
544.0	9
508.0	9
264.0	8
344.0	8
272.0	8
136.0	8
208.0	8
192.0	8
228.0	7
460.0	7
280.0	7
504.0	7
300.0	7
152.0	7
484.0	7
296.0	6
312.0	6
644.0	6
472.0	6
488.0	6
456.0	6
256.0	6
388.0	6
592.0	6
356.0	5
524.0	5
476.0	5
368.0	5
200.0	5
444.0	5
552.0	5
568.0	5
364.0	5
496.0	5
652.0	5
660.0	5
220.0	5
520.0	5
636.0	5
640.0	5
696.0	5
628.0	5
320.0	4
328.0	4
464.0	4
10.0	4
560.0	4
104.0	4
676.0	4
580.0	4
416.0	4
516.0	4
252.0	4
436.0	4
600.0	4
18.0	4
500.0	4
648.0	4
216.0	4
268.0	4
716.0	3
528.0	3
764.0	3
612.0	3
736.0	3
536.0	3
492.0	3
616.0	3
672.0	3
572.0	3
684.0	3
340.0	3
400.0	3
166.0	2
21.0	2
780.0	2
532.0	2
828.0	2
452.0	2
540.0	2
704.0	2
820.0	2
236.0	2
776.0	2
480.0	2
58.0	2
527.0	2
920.0	2
608.0	2
278.0	2
106.0	2
336.0	2
796.0	2
134.0	2
712.0	2
664.0	2
632.0	2
708.0	2
1020.0	2
284.0	2
314.0	2
584.0	2
965.0	2
620.0	2
556.0	2
324.0	2
468.0	2
175.0	1
740.0	1
174.0	1
182.0	1
396.0	1
115.0	1
404.0	1
502.0	1
105.0	1
432.0	1
87.0	1
876.0	1
15.0	1
412.0	1
748.0	1
67.0	1
360.0	1
688.0	1
1068.0	1
596.0	1
868.0	1
234.0	1
392.0	1
75.0	1
856.0	1
564.0	1
224.0	1
744.0	1
720.0	1
692.0	1
756.0	1
83.0	1
727.0	1
16.0	1
138.0	1
752.0	1
588.0	1
282.0	1
424.0	1
44.0	1
884.0	1
