#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	8	1877.5	326.0566037735849	6.0	4.0	4.0	0.0	424.0	188.0	236.0	0.0
0	12	0.5	621.6727272727272	4.0	0.0	4.0	2.0	110.0	0.0	72.0	38.0
0	33	537.5	1336.5	4.0	0.0	4.0	0.0	272.0	0.0	272.0	0.0
0	51	409.5	1850.5	4.0	0.0	4.0	0.0	184.0	0.0	184.0	0.0
0	65	1043.5	2030.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
1	8	1877.5	326.0566037735849	6.0	4.0	4.0	0.0	424.0	188.0	236.0	0.0
1	12	0.5	621.6727272727272	4.0	0.0	4.0	2.0	110.0	0.0	72.0	38.0
1	33	537.5	1336.5	4.0	0.0	4.0	0.0	272.0	0.0	272.0	0.0
1	51	409.5	1850.5	4.0	0.0	4.0	0.0	184.0	0.0	184.0	0.0
1	65	1043.5	2030.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
2	15	2311.5	598.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
2	18	2230.5	693.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
2	23	759.5	778.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
2	39	1644.5617021276596	1030.2702127659577	8.0	3.0	5.0	4.0	470.0	30.0	141.0	296.0
2	40	159.5	1036.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
2	45	1055.4927536231885	1082.5072463768115	4.0	0.0	4.0	0.0	69.0	0.0	69.0	0.0
2	52	1288.708947885939	1300.708947885939	9.0	4.0	7.0	4.0	1017.0	172.0	81.0	764.0
2	61	1527.5	1630.5	4.0	0.0	4.0	0.0	184.0	0.0	184.0	0.0
2	62	827.5	1670.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
2	66	335.5	1726.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
2	77	2388.5	1871.522222222222	4.0	0.0	4.0	2.0	180.0	0.0	172.0	8.0
3	11	1815.5	500.5	4.0	0.0	4.0	0.0	272.0	0.0	272.0	0.0
3	15	634.6929238985314	660.6929238985314	9.0	4.0	7.0	4.0	749.0	120.0	49.0	580.0
3	16	678.506072874494	710.2145748987854	6.0	1.0	4.0	4.0	247.0	3.0	72.0	172.0
3	21	2266.5	939.4857142857144	4.0	0.0	4.0	2.0	140.0	0.0	136.0	4.0
3	23	1622.682857142857	980.5571428571428	11.0	4.0	10.0	4.0	1400.0	208.0	296.0	896.0
3	24	682.5	1003.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
3	25	14.5	1041.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
3	33	266.699535962877	1230.6983758700696	9.0	4.0	7.0	4.0	862.0	140.0	65.0	656.0
3	39	1616.7039055404175	1294.6712079927338	11.0	4.0	10.0	4.0	1101.0	180.0	125.0	796.0
3	49	729.5	1410.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
3	58	979.5079365079364	1561.6507936507935	6.0	4.0	4.0	2.0	252.0	212.0	33.0	6.0
3	63	351.5	1640.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
3	67	220.5	1743.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
3	69	1454.6849925705794	1802.6879643387813	7.0	4.0	5.0	5.0	673.0	108.0	31.0	534.0
3	72	1950.705357142857	1874.705357142857	9.0	4.0	7.0	4.0	896.0	148.0	72.0	676.0
3	78	207.5	1938.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
4	10	1842.5	413.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
4	14	892.5	481.5058139534884	4.0	0.0	4.0	2.0	344.0	0.0	340.0	4.0
4	20	426.6918990703852	604.6918990703851	9.0	4.0	7.0	4.0	753.0	120.0	49.0	584.0
4	31	272.3758573388203	844.4670781893004	14.0	8.0	12.0	6.0	1458.0	340.0	390.0	728.0
4	46	318.5	1255.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
4	48	2200.692729766804	1320.692729766804	9.0	4.0	7.0	4.0	729.0	116.0	49.0	564.0
4	66	1307.4886363636365	1812.5	4.0	0.0	4.0	2.0	176.0	0.0	172.0	4.0
4	68	1552.682962962963	1832.682962962963	7.0	4.0	5.0	4.0	675.0	108.0	31.0	536.0
4	77	2141.5	1960.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
5	10	1842.5	413.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
5	14	892.5	481.5058139534884	4.0	0.0	4.0	2.0	344.0	0.0	340.0	4.0
5	20	426.6918990703852	604.6918990703851	9.0	4.0	7.0	4.0	753.0	120.0	49.0	584.0
5	31	272.3758573388203	844.4670781893004	14.0	8.0	12.0	6.0	1458.0	340.0	390.0	728.0
5	46	318.5	1255.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
5	48	2200.692729766804	1320.692729766804	9.0	4.0	7.0	4.0	729.0	116.0	49.0	564.0
5	66	1307.4886363636365	1812.5	4.0	0.0	4.0	2.0	176.0	0.0	172.0	4.0
5	68	1552.682962962963	1832.682962962963	7.0	4.0	5.0	4.0	675.0	108.0	31.0	536.0
5	77	2141.5	1960.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
6	17	2121.5	842.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
6	22	1650.7031070195628	1044.7031070195628	9.0	4.0	7.0	4.0	869.0	144.0	65.0	660.0
6	29	1742.5	1209.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
6	30	1452.692729766804	1210.692729766804	9.0	4.0	7.0	4.0	729.0	116.0	49.0	564.0
6	36	1157.9910313901346	1341.4717488789238	7.0	4.0	6.0	5.0	1115.0	548.0	465.0	102.0
6	39	119.51724137931036	1415.7689655172414	6.0	4.0	4.0	2.0	580.0	424.0	136.0	20.0
6	66	1730.5	1849.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
6	77	156.5	2039.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
7	26	1090.5	979.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
7	34	226.5	1327.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
7	51	2052.5	1673.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
7	56	2263.129559748428	1754.3069182389936	8.0	6.0	6.0	4.0	795.0	174.0	336.0	284.0
7	63	144.5	1925.5	4.0	0.0	4.0	0.0	272.0	0.0	272.0	0.0
8	2	1897.5	32.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
8	16	2186.6704260651627	644.452380952381	11.0	4.0	10.0	4.0	1596.0	216.0	460.0	920.0
8	24	2285.5	830.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
8	40	761.5	1186.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
8	60	908.5	1645.5808383233532	4.0	0.0	4.0	2.0	334.0	0.0	280.0	54.0
8	68	1282.5	1849.5	4.0	0.0	4.0	0.0	288.0	0.0	288.0	0.0
8	72	748.5	1925.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
8	77	1822.5	2045.957446808511	6.0	0.0	6.0	2.0	94.0	0.0	90.0	4.0
9	2	1897.5	32.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
9	16	2186.6704260651627	644.452380952381	11.0	4.0	10.0	4.0	1596.0	216.0	460.0	920.0
9	24	2285.5	830.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
9	40	761.5	1186.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
9	60	908.5	1645.5808383233532	4.0	0.0	4.0	2.0	334.0	0.0	280.0	54.0
9	68	1282.5	1849.5	4.0	0.0	4.0	0.0	288.0	0.0	288.0	0.0
9	72	748.5	1925.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
9	77	1822.5	2045.957446808511	6.0	0.0	6.0	2.0	94.0	0.0	90.0	4.0
10	14	1860.6963064295485	664.6963064295486	9.0	4.0	7.0	5.0	731.0	116.0	49.0	566.0
10	19	1642.5	851.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
10	35	2443.5061728395062	1236.5061728395062	4.0	0.0	4.0	0.0	81.0	0.0	81.0	0.0
10	56	1830.5	1979.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
11	4	808.6385068762279	234.5599214145383	9.0	4.0	8.0	4.0	509.0	64.0	53.0	392.0
11	15	1120.598820058997	836.2551622418879	9.0	4.0	8.0	4.0	678.0	60.0	246.0	372.0
11	22	869.5	1008.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
11	24	2410.509394572025	1044.0668058455117	6.0	1.0	5.0	4.0	479.0	7.0	215.0	256.0
11	29	613.5	1218.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
11	33	2032.5	1283.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
11	41	890.6838487972509	1462.610538373425	11.0	4.0	10.0	4.0	873.0	132.0	121.0	620.0
11	49	100.66156462585036	1596.608843537415	9.0	5.0	8.0	5.0	588.0	87.0	51.0	450.0
11	58	1954.721464465183	1756.721464465183	9.0	4.0	7.0	4.0	1393.0	244.0	129.0	1020.0
11	65	1901.5061728395065	1828.5061728395065	4.0	0.0	4.0	0.0	81.0	0.0	81.0	0.0
11	67	1490.5064935064936	1879.4935064935064	4.0	0.0	4.0	0.0	77.0	0.0	77.0	0.0
12	6	805.5	310.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
12	33	457.5	1042.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
12	40	2423.5	1128.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
12	50	689.1824104234528	1376.8045602605864	7.0	0.0	7.0	3.0	307.0	0.0	301.0	6.0
12	64	313.5	1710.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
12	68	2320.5	1851.4901960784316	4.0	0.0	4.0	2.0	204.0	0.0	200.0	4.0
12	70	1780.5	1933.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
13	6	805.5	310.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
13	33	457.5	1042.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
13	40	2423.5	1128.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
13	50	689.1824104234528	1376.8045602605864	7.0	0.0	7.0	3.0	307.0	0.0	301.0	6.0
13	64	313.5	1710.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
13	68	2320.5	1851.4901960784316	4.0	0.0	4.0	2.0	204.0	0.0	200.0	4.0
13	70	1780.5	1933.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
14	10	1420.5	303.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
14	25	1414.5	766.8396226415094	6.0	0.0	4.0	4.0	212.0	0.0	72.0	140.0
14	47	1241.5	1256.0573770491803	6.0	4.0	4.0	0.0	244.0	108.0	136.0	0.0
14	51	174.6529284164859	1298.4479392624728	11.0	4.0	10.0	4.0	922.0	116.0	238.0	568.0
14	53	1715.5	1322.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
14	55	1433.5	1328.3673469387754	6.0	4.0	4.0	0.0	392.0	52.0	340.0	0.0
14	56	2252.691678035471	1370.6916780354709	9.0	4.0	7.0	4.0	733.0	116.0	49.0	568.0
14	59	2334.7091273821466	1438.7091273821463	9.0	4.0	7.0	4.0	997.0	168.0	81.0	748.0
14	72	857.5	1728.4928229665072	4.0	2.0	4.0	0.0	418.0	6.0	412.0	0.0
14	89	458.5	2021.5	4.0	0.0	4.0	0.0	216.0	0.0	216.0	0.0
15	11	470.6562986003111	422.696734059098	8.0	4.0	6.0	4.0	643.0	88.0	51.0	504.0
15	15	496.5	451.5	4.0	0.0	4.0	0.0	288.0	0.0	288.0	0.0
15	37	518.7012542759408	1130.7012542759408	9.0	4.0	7.0	4.0	877.0	144.0	65.0	668.0
15	57	1428.4985835694051	1655.5467422096317	4.0	0.0	4.0	2.0	353.0	0.0	321.0	32.0
15	60	1114.5	1737.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
15	61	885.5	1781.8622047244094	6.0	4.0	4.0	0.0	508.0	324.0	184.0	0.0
15	66	2142.0062761506274	1880.278242677824	8.0	5.0	5.0	5.0	478.0	116.0	135.0	226.0
15	70	30.5	1937.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
15	71	2306.7076142131978	1960.707614213198	9.0	4.0	7.0	4.0	985.0	164.0	81.0	740.0
16	19	408.3619047619048	746.5142857142857	6.0	1.0	5.0	4.0	315.0	7.0	51.0	256.0
16	29	1169.5	1134.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
16	33	1198.5	1173.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
16	46	2113.501661129568	1428.4983388704318	4.0	0.0	4.0	0.0	301.0	0.0	301.0	0.0
17	19	408.3619047619048	746.5142857142857	6.0	1.0	5.0	4.0	315.0	7.0	51.0	256.0
17	29	1169.5	1134.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
17	33	1198.5	1173.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
17	46	2113.501661129568	1428.4983388704318	4.0	0.0	4.0	0.0	301.0	0.0	301.0	0.0
18	14	700.7066402378592	576.7066402378592	9.0	4.0	7.0	4.0	1009.0	168.0	81.0	760.0
18	27	590.5	923.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
18	28	152.5	993.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
18	54	315.5	1564.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
18	56	857.5	1602.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
18	64	302.5	1727.5	4.0	0.0	4.0	0.0	216.0	0.0	216.0	0.0
18	66	48.5672268907563	1776.2920168067226	8.0	3.0	5.0	5.0	476.0	30.0	133.0	310.0
18	78	409.5	2000.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
18	79	1041.5	2004.0806451612905	6.0	4.0	4.0	0.0	372.0	156.0	216.0	0.0
19	11	712.5	561.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
19	38	1262.5	1267.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
19	43	2089.5	1386.486111111111	4.0	2.0	4.0	0.0	288.0	8.0	280.0	0.0
19	47	1806.7066402378596	1562.7125867195243	9.0	4.0	7.0	6.0	1009.0	168.0	81.0	760.0
19	61	776.5	1783.490909090909	4.0	0.0	4.0	2.0	220.0	0.0	216.0	4.0
20	0	95.5	0.5	4.0	0.0	4.0	0.0	352.0	0.0	352.0	0.0
20	9	2112.7130203720108	298.71302037201065	9.0	4.0	7.0	4.0	1129.0	192.0	97.0	840.0
20	11	1263.5	494.5	4.0	0.0	4.0	0.0	364.0	0.0	364.0	0.0
20	17	1984.69220246238	572.6908344733242	9.0	4.0	7.0	4.0	731.0	116.0	50.0	564.0
20	21	945.5	952.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
20	24	1127.590281612369	1032.4030922142465	18.0	12.0	17.0	8.0	1811.0	364.0	699.0	748.0
20	34	2268.513586956521	1314.2853260869565	6.0	1.0	5.0	4.0	368.0	8.0	87.0	272.0
20	36	1685.5	1322.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
20	38	701.2644178454842	1358.1240478781283	9.0	6.0	7.0	4.0	919.0	314.0	429.0	176.0
20	41	1507.5	1380.235294117647	6.0	4.0	4.0	0.0	272.0	72.0	200.0	0.0
20	53	461.5	1628.5	4.0	0.0	4.0	0.0	336.0	0.0	336.0	0.0
20	54	399.4935064935065	1686.5064935064936	4.0	0.0	4.0	0.0	77.0	0.0	77.0	0.0
20	55	2081.5	1700.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
20	56	1710.7179125528914	1704.700282087447	11.0	4.0	10.0	4.0	1418.0	244.0	154.0	1020.0
20	57	496.5	1731.5142857142855	4.0	0.0	4.0	2.0	140.0	0.0	136.0	4.0
20	58	1819.5	1732.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
21	0	95.5	0.5	4.0	0.0	4.0	0.0	352.0	0.0	352.0	0.0
21	9	2112.7130203720108	298.71302037201065	9.0	4.0	7.0	4.0	1129.0	192.0	97.0	840.0
21	11	1263.5	494.5	4.0	0.0	4.0	0.0	364.0	0.0	364.0	0.0
21	17	1984.69220246238	572.6908344733242	9.0	4.0	7.0	4.0	731.0	116.0	50.0	564.0
21	21	945.5	952.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
21	24	1127.590281612369	1032.4030922142465	18.0	12.0	17.0	8.0	1811.0	364.0	699.0	748.0
21	34	2268.513586956521	1314.2853260869565	6.0	1.0	5.0	4.0	368.0	8.0	87.0	272.0
21	36	1685.5	1322.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
21	38	701.2644178454842	1358.1240478781283	9.0	6.0	7.0	4.0	919.0	314.0	429.0	176.0
21	41	1507.5	1380.235294117647	6.0	4.0	4.0	0.0	272.0	72.0	200.0	0.0
21	53	461.5	1628.5	4.0	0.0	4.0	0.0	336.0	0.0	336.0	0.0
21	54	399.4935064935065	1686.5064935064936	4.0	0.0	4.0	0.0	77.0	0.0	77.0	0.0
21	55	2081.5	1700.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
21	56	1710.7179125528914	1704.700282087447	11.0	4.0	10.0	4.0	1418.0	244.0	154.0	1020.0
21	57	496.5	1731.5142857142855	4.0	0.0	4.0	2.0	140.0	0.0	136.0	4.0
21	58	1819.5	1732.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
22	7	1024.5	421.5212765957447	4.0	0.0	4.0	2.0	188.0	0.0	180.0	8.0
22	24	170.7031070195627	980.7031070195628	9.0	4.0	7.0	4.0	869.0	144.0	65.0	660.0
22	35	1138.5	1267.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
22	41	1026.502564102564	1395.8461538461538	6.0	1.0	4.0	4.0	390.0	2.0	256.0	132.0
22	42	1296.5159705159706	1402.2678132678134	6.0	1.0	5.0	4.0	407.0	9.0	105.0	292.0
22	47	1339.5	1478.5	4.0	0.0	4.0	0.0	336.0	0.0	336.0	0.0
22	73	1078.5	1829.5	4.0	0.0	4.0	0.0	300.0	0.0	300.0	0.0
22	78	1884.7091273821463	1906.7091273821463	9.0	4.0	7.0	4.0	997.0	168.0	81.0	748.0
23	4	1904.5	361.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
23	22	1573.4938271604938	980.5	4.0	0.0	4.0	2.0	324.0	0.0	320.0	4.0
23	27	2360.514534883721	1140.3517441860463	6.0	1.0	5.0	4.0	344.0	8.0	59.0	276.0
23	29	1793.5	1230.5	4.0	0.0	4.0	0.0	328.0	0.0	328.0	0.0
23	41	962.5	1685.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
23	43	638.6920583468395	1698.6053484602917	11.0	4.0	10.0	6.0	1234.0	188.0	210.0	836.0
23	50	1056.71226831421	1836.71226831421	9.0	4.0	7.0	4.0	1133.0	192.0	97.0	844.0
24	15	1953.5	742.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
24	19	1841.5	844.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
24	38	39.5	1336.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
24	53	440.569536423841	1680.373068432671	8.0	3.0	5.0	4.0	453.0	33.0	93.0	324.0
24	54	63.5	1700.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
24	57	872.5	1753.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
24	58	2100.5	1753.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
24	68	556.5	1865.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
24	69	1284.6951379763468	1870.6951379763468	9.0	4.0	7.0	4.0	761.0	124.0	49.0	588.0
24	72	867.5	1916.5095541401276	4.0	2.0	4.0	0.0	314.0	6.0	308.0	0.0
25	15	1953.5	742.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
25	19	1841.5	844.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
25	38	39.5	1336.5	4.0	0.0	4.0	0.0	204.0	0.0	204.0	0.0
25	53	440.569536423841	1680.373068432671	8.0	3.0	5.0	4.0	453.0	33.0	93.0	324.0
25	54	63.5	1700.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
25	57	872.5	1753.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
25	58	2100.5	1753.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
25	68	556.5	1865.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
25	69	1284.6951379763468	1870.6951379763468	9.0	4.0	7.0	4.0	761.0	124.0	49.0	588.0
25	72	867.5	1916.5095541401276	4.0	2.0	4.0	0.0	314.0	6.0	308.0	0.0
26	7	95.76506024096386	426.3192771084337	9.0	4.0	7.0	0.0	332.0	148.0	184.0	0.0
26	20	1058.4878048780488	859.5121951219512	4.0	0.0	4.0	0.0	41.0	0.0	41.0	0.0
26	38	2230.700340522134	1322.7071509648126	9.0	4.0	7.0	6.0	881.0	144.0	65.0	672.0
26	39	157.4972375690608	1358.5027624309391	4.0	0.0	4.0	0.0	181.0	0.0	181.0	0.0
26	42	2296.5	1381.5646258503402	4.0	0.0	4.0	2.0	294.0	0.0	256.0	38.0
26	76	1638.6984126984128	2008.6996336996335	9.0	4.0	7.0	4.0	819.0	132.0	58.0	628.0
27	5	8.492307692307692	439.5076923076923	4.0	0.0	4.0	0.0	65.0	0.0	65.0	0.0
27	9	1399.5	680.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
27	19	66.5	1011.5514705882352	4.0	0.0	4.0	2.0	272.0	0.0	244.0	28.0
27	32	1831.5	1298.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
27	40	532.6335697399527	1516.5697399527187	9.0	4.0	5.0	4.0	423.0	52.0	31.0	336.0
27	48	2318.5	1711.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
27	64	2216.5	2009.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
27	67	84.70677451971689	2016.7067745197169	9.0	4.0	7.0	4.0	989.0	164.0	81.0	744.0
28	18	2157.5	486.5	4.0	0.0	4.0	0.0	296.0	0.0	296.0	0.0
28	24	1652.5	687.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
28	53	2197.4882352941177	1354.5	4.0	0.0	4.0	2.0	340.0	0.0	332.0	8.0
28	58	2075.494318181818	1486.5	4.0	0.0	4.0	2.0	352.0	0.0	348.0	4.0
28	80	689.5	1818.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
28	81	1012.5135951661632	1836.356495468278	6.0	1.0	5.0	4.0	331.0	7.0	55.0	268.0
29	18	2157.5	486.5	4.0	0.0	4.0	0.0	296.0	0.0	296.0	0.0
29	24	1652.5	687.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
29	53	2197.4882352941177	1354.5	4.0	0.0	4.0	2.0	340.0	0.0	332.0	8.0
29	58	2075.494318181818	1486.5	4.0	0.0	4.0	2.0	352.0	0.0	348.0	4.0
29	80	689.5	1818.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
29	81	1012.5135951661632	1836.356495468278	6.0	1.0	5.0	4.0	331.0	7.0	55.0	268.0
30	4	1023.5	306.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
30	13	1510.5106382978724	654.1229314420804	6.0	1.0	5.0	4.0	423.0	7.0	167.0	248.0
30	14	1576.5	687.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
30	17	1458.5	757.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
30	18	170.7012542759407	760.7012542759408	9.0	4.0	7.0	4.0	877.0	144.0	65.0	668.0
30	19	116.5	773.5034965034965	4.0	0.0	4.0	0.0	286.0	0.0	284.0	0.0
30	21	1614.7115215479332	842.716798592788	9.0	4.0	7.0	6.0	1137.0	192.0	97.0	848.0
30	22	104.6953642384106	880.6953642384105	9.0	4.0	7.0	5.0	755.0	120.0	49.0	586.0
30	27	78.57591623036649	1040.4685863874345	8.0	3.0	5.0	6.0	382.0	30.0	33.0	316.0
30	29	348.68188512518407	1046.6818851251842	7.0	4.0	5.0	4.0	679.0	108.0	31.0	540.0
30	33	1699.5	1136.5	4.0	0.0	4.0	0.0	328.0	0.0	328.0	0.0
30	35	422.5	1141.5	4.0	0.0	4.0	0.0	328.0	0.0	328.0	0.0
30	42	2268.706774519717	1270.7067745197169	9.0	4.0	7.0	4.0	989.0	164.0	81.0	744.0
30	53	46.5	1485.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
30	54	576.5	1489.532894736842	4.0	0.0	4.0	2.0	304.0	0.0	284.0	20.0
30	66	445.5	1744.5	4.0	0.0	4.0	0.0	288.0	0.0	288.0	0.0
30	74	711.5	1856.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
30	79	1138.5	1975.5	4.0	0.0	4.0	0.0	332.0	0.0	332.0	0.0
31	12	820.5	729.5	4.0	0.0	4.0	0.0	284.0	0.0	284.0	0.0
31	20	2204.721464465183	868.7214644651831	9.0	4.0	7.0	4.0	1393.0	244.0	129.0	1020.0
31	23	474.5	897.5059523809524	4.0	0.0	4.0	2.0	336.0	0.0	332.0	4.0
31	24	751.5121107266436	901.787197231834	6.0	4.0	4.0	2.0	578.0	412.0	152.0	14.0
31	42	1003.5	1376.5	4.0	0.0	4.0	0.0	332.0	0.0	332.0	0.0
31	52	684.6840536512668	1636.6840536512668	7.0	4.0	5.0	4.0	671.0	108.0	31.0	532.0
31	63	2074.713777777778	1886.7137777777775	9.0	4.0	7.0	4.0	1125.0	192.0	97.0	836.0
31	68	561.5	1940.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
31	69	1119.5	1940.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
31	72	2324.5770171149143	1956.4572127139363	8.0	3.0	5.0	4.0	409.0	33.0	53.0	320.0
