Brightness	Occurrences
4.0	63
8.0	9
6.0	8
564.0	6
748.0	6
540.0	6
532.0	6
1020.0	6
20.0	5
692.0	5
504.0	5
836.0	5
268.0	4
24.0	4
568.0	4
536.0	4
832.0	4
760.0	4
324.0	4
248.0	4
672.0	4
592.0	3
664.0	3
744.0	3
2.0	3
252.0	3
848.0	3
544.0	3
684.0	3
188.0	3
38.0	3
660.0	3
620.0	3
584.0	3
676.0	3
256.0	3
580.0	3
372.0	3
432.0	2
388.0	2
884.0	2
508.0	2
340.0	2
452.0	2
892.0	2
896.0	2
140.0	2
546.0	2
854.0	2
876.0	2
308.0	2
70.0	2
712.0	2
680.0	2
48.0	2
332.0	2
244.0	2
520.0	2
728.0	2
494.0	2
588.0	2
668.0	2
500.0	2
382.0	2
740.0	2
76.0	2
840.0	2
272.0	2
176.0	2
132.0	2
276.0	2
720.0	2
632.0	2
28.0	2
968.0	2
920.0	2
54.0	2
424.0	2
496.0	2
46.0	2
578.0	1
696.0	1
288.0	1
574.0	1
772.0	1
350.0	1
40.0	1
200.0	1
552.0	1
512.0	1
480.0	1
184.0	1
320.0	1
232.0	1
566.0	1
292.0	1
310.0	1
226.0	1
32.0	1
450.0	1
392.0	1
284.0	1
614.0	1
102.0	1
534.0	1
796.0	1
656.0	1
172.0	1
764.0	1
844.0	1
628.0	1
336.0	1
586.0	1
316.0	1
14.0	1
296.0	1
128.0	1
384.0	1
828.0	1
260.0	1
81.0	1
924.0	1
624.0	1
90.0	1
408.0	1
936.0	1
572.0	1
