Brightness	Occurrences
72.0	57
136.0	44
172.0	37
152.0	25
236.0	24
200.0	24
280.0	23
244.0	22
204.0	22
49.0	22
180.0	21
184.0	19
284.0	18
31.0	18
97.0	17
248.0	17
276.0	17
272.0	16
264.0	16
81.0	16
288.0	15
256.0	15
216.0	14
308.0	12
300.0	11
332.0	11
65.0	11
296.0	10
105.0	9
33.0	8
344.0	8
320.0	8
336.0	7
328.0	6
90.0	6
58.0	6
20.0	6
340.0	5
51.0	5
77.0	5
364.0	4
130.0	4
181.0	4
113.0	4
348.0	4
94.0	4
301.0	4
129.0	4
368.0	4
87.0	4
289.0	3
109.0	3
54.0	3
352.0	3
154.0	2
223.0	2
225.0	2
390.0	2
177.0	2
324.0	2
452.0	2
209.0	2
69.0	2
287.0	2
134.0	2
35.0	2
126.0	2
37.0	2
98.0	2
103.0	2
169.0	2
429.0	2
329.0	2
460.0	2
41.0	2
699.0	2
50.0	2
110.0	2
93.0	2
95.0	2
165.0	2
74.0	2
55.0	2
239.0	2
53.0	2
114.0	1
253.0	1
82.0	1
384.0	1
438.0	1
360.0	1
22.0	1
372.0	1
11.0	1
106.0	1
210.0	1
380.0	1
174.0	1
141.0	1
125.0	1
465.0	1
246.0	1
215.0	1
121.0	1
238.0	1
412.0	1
321.0	1
135.0	1
133.0	1
59.0	1
167.0	1
161.0	1
146.0	1
67.0	1
191.0	1
218.0	1
149.0	1
298.0	1
27.0	1
273.0	1
