Brightness	Occurrences
136.0	28
172.0	25
72.0	23
272.0	22
152.0	20
204.0	19
288.0	19
244.0	19
236.0	18
280.0	18
180.0	18
200.0	17
248.0	15
276.0	13
284.0	13
300.0	13
216.0	12
264.0	11
184.0	11
256.0	10
344.0	10
140.0	9
332.0	8
308.0	8
336.0	7
368.0	6
352.0	6
296.0	6
328.0	6
324.0	5
320.0	5
424.0	5
675.0	4
873.0	4
1125.0	4
671.0	4
1117.0	4
348.0	4
340.0	4
278.0	4
453.0	4
997.0	4
240.0	4
77.0	4
1393.0	4
364.0	4
729.0	4
683.0	3
989.0	3
218.0	3
192.0	3
896.0	3
260.0	3
326.0	3
904.0	3
679.0	3
176.0	3
912.0	3
869.0	3
733.0	3
318.0	3
228.0	3
761.0	3
731.0	3
374.0	3
380.0	3
753.0	3
334.0	3
711.0	2
887.0	2
126.0	2
700.0	2
197.0	2
466.0	2
685.0	2
338.0	2
225.0	2
360.0	2
186.0	2
677.0	2
719.0	2
78.0	2
96.0	2
434.0	2
667.0	2
582.0	2
1205.0	2
209.0	2
1141.0	2
888.0	2
900.0	2
33.0	2
306.0	2
1848.0	2
310.0	2
462.0	2
521.0	2
720.0	2
1326.0	2
1147.0	2
329.0	2
613.0	2
810.0	2
76.0	2
102.0	2
556.0	2
916.0	2
400.0	2
369.0	2
686.0	2
117.0	2
80.0	2
1013.0	2
765.0	2
682.0	2
414.0	2
1144.0	2
177.0	2
976.0	2
312.0	2
557.0	2
467.0	2
110.0	2
423.0	2
314.0	2
188.0	2
1418.0	2
919.0	2
1811.0	2
1129.0	2
372.0	2
1009.0	2
301.0	2
315.0	2
985.0	2
877.0	2
307.0	2
81.0	2
94.0	2
1596.0	2
1458.0	2
252.0	2
749.0	2
181.0	2
144.0	2
1195.0	2
483.0	2
286.0	2
331.0	2
161.0	1
440.0	1
289.0	1
1113.0	1
1115.0	1
580.0	1
795.0	1
254.0	1
343.0	1
65.0	1
232.0	1
363.0	1
267.0	1
743.0	1
509.0	1
678.0	1
479.0	1
588.0	1
115.0	1
212.0	1
922.0	1
253.0	1
673.0	1
1209.0	1
418.0	1
273.0	1
737.0	1
1185.0	1
470.0	1
69.0	1
1017.0	1
842.0	1
247.0	1
58.0	1
1027.0	1
1400.0	1
862.0	1
1101.0	1
739.0	1
706.0	1
714.0	1
105.0	1
666.0	1
302.0	1
392.0	1
643.0	1
819.0	1
426.0	1
889.0	1
832.0	1
1191.0	1
327.0	1
390.0	1
416.0	1
1269.0	1
650.0	1
295.0	1
407.0	1
409.0	1
1234.0	1
1133.0	1
828.0	1
1456.0	1
1229.0	1
41.0	1
881.0	1
355.0	1
294.0	1
370.0	1
520.0	1
493.0	1
791.0	1
353.0	1
508.0	1
478.0	1
346.0	1
384.0	1
1803.0	1
578.0	1
1550.0	1
142.0	1
304.0	1
502.0	1
382.0	1
359.0	1
463.0	1
755.0	1
476.0	1
1137.0	1
220.0	1
354.0	1
292.0	1
