Brightness	Occurrences
108.0	23
116.0	17
148.0	12
144.0	12
7.0	12
6.0	9
120.0	9
192.0	8
188.0	8
124.0	7
208.0	6
196.0	6
8.0	6
48.0	6
168.0	6
64.0	6
244.0	6
30.0	5
240.0	5
164.0	5
52.0	5
3.0	5
100.0	5
132.0	4
96.0	4
172.0	4
204.0	4
2.0	4
72.0	4
92.0	3
33.0	3
14.0	3
156.0	3
88.0	3
60.0	3
80.0	2
296.0	2
764.0	2
21.0	2
228.0	2
76.0	2
160.0	2
260.0	2
166.0	2
152.0	2
58.0	2
106.0	2
308.0	2
9.0	2
216.0	2
84.0	2
340.0	2
314.0	2
364.0	2
234.0	1
140.0	1
180.0	1
170.0	1
212.0	1
224.0	1
548.0	1
424.0	1
174.0	1
324.0	1
87.0	1
175.0	1
176.0	1
1068.0	1
416.0	1
4.0	1
412.0	1
472.0	1
220.0	1
68.0	1
248.0	1
