#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	22	1037.5180722891566	923.5180722891566	4.0	4.0	0.0	1.0	415.0	400.0	0.0	15.0
0	29	565.5072463768116	1221.5072463768115	4.0	4.0	0.0	1.0	207.0	204.0	0.0	3.0
0	34	903.5216637781627	1371.521663778163	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
0	35	1703.5114503816794	1457.5114503816794	4.0	4.0	0.0	1.0	262.0	256.0	0.0	6.0
0	62	21.51304347826087	1995.513043478261	4.0	4.0	0.0	1.0	345.0	336.0	0.0	9.0
1	22	1037.5180722891566	923.5180722891566	4.0	4.0	0.0	1.0	415.0	400.0	0.0	15.0
1	29	565.5072463768116	1221.5072463768115	4.0	4.0	0.0	1.0	207.0	204.0	0.0	3.0
1	34	903.5216637781627	1371.521663778163	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
1	35	1703.5114503816794	1457.5114503816794	4.0	4.0	0.0	1.0	262.0	256.0	0.0	6.0
1	62	21.51304347826087	1995.513043478261	4.0	4.0	0.0	1.0	345.0	336.0	0.0	9.0
2	27	1495.5	895.5228426395939	4.0	4.0	0.0	3.0	394.0	368.0	0.0	26.0
2	28	897.508547008547	897.5042735042736	4.0	4.0	0.0	1.0	234.0	228.0	0.0	4.0
2	29	2215.508896797153	927.508896797153	4.0	4.0	0.0	1.0	281.0	276.0	0.0	5.0
2	58	0.0	1537.5	2.0	2.0	0.0	0.0	38.0	38.0	0.0	0.0
2	60	1723.5	1603.9528301886792	6.0	4.0	4.0	0.0	424.0	232.0	192.0	0.0
2	64	527.5125448028674	1719.5125448028673	4.0	4.0	0.0	1.0	279.0	272.0	0.0	7.0
2	72	685.5183486238532	1807.5183486238527	4.0	4.0	0.0	1.0	436.0	420.0	0.0	16.0
3	15	634.6929238985314	660.6929238985314	9.0	4.0	7.0	4.0	749.0	120.0	49.0	580.0
3	41	349.5	1301.8902439024391	6.0	4.0	4.0	0.0	328.0	200.0	128.0	0.0
3	58	979.5079365079364	1561.6507936507935	6.0	4.0	4.0	2.0	252.0	212.0	33.0	6.0
3	60	2271.88	1605.88	7.0	5.0	0.0	4.0	450.0	282.0	0.0	168.0
3	64	397.50892857142856	1679.508928571429	4.0	4.0	0.0	1.0	224.0	220.0	0.0	4.0
3	70	541.5119617224881	1833.5023923444976	4.0	4.0	0.0	2.0	209.0	204.0	0.0	5.0
3	77	1449.512880562061	1937.512880562061	4.0	4.0	0.0	2.0	427.0	408.0	0.0	19.0
3	80	1719.6704936854192	2003.6704936854192	7.0	5.0	0.0	4.0	871.0	727.0	0.0	144.0
3	84	2279.5185995623638	2043.5185995623635	4.0	4.0	0.0	1.0	457.0	440.0	0.0	17.0
4	6	1853.508650519031	255.5155709342561	4.0	4.0	0.0	2.0	289.0	280.0	0.0	9.0
4	18	809.5198329853862	501.51983298538624	4.0	4.0	0.0	1.0	479.0	460.0	0.0	19.0
4	20	426.6918990703852	604.6918990703851	9.0	4.0	7.0	4.0	753.0	120.0	49.0	584.0
4	28	2369.5216637781627	763.5216637781629	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
4	40	587.5168831168832	1129.516883116883	4.0	4.0	0.0	1.0	385.0	372.0	0.0	13.0
4	48	2200.692729766804	1320.692729766804	9.0	4.0	7.0	4.0	729.0	116.0	49.0	564.0
4	65	1569.5207547169812	1811.5207547169807	4.0	4.0	0.0	1.0	530.0	508.0	0.0	22.0
5	6	1853.508650519031	255.5155709342561	4.0	4.0	0.0	2.0	289.0	280.0	0.0	9.0
5	18	809.5198329853862	501.51983298538624	4.0	4.0	0.0	1.0	479.0	460.0	0.0	19.0
5	20	426.6918990703852	604.6918990703851	9.0	4.0	7.0	4.0	753.0	120.0	49.0	584.0
5	28	2369.5216637781627	763.5216637781629	4.0	4.0	0.0	1.0	577.0	552.0	0.0	25.0
5	40	587.5168831168832	1129.516883116883	4.0	4.0	0.0	1.0	385.0	372.0	0.0	13.0
5	48	2200.692729766804	1320.692729766804	9.0	4.0	7.0	4.0	729.0	116.0	49.0	564.0
5	65	1569.5207547169812	1811.5207547169807	4.0	4.0	0.0	1.0	530.0	508.0	0.0	22.0
6	9	1367.522222222222	575.5185185185185	4.0	4.0	0.0	2.0	540.0	516.0	0.0	24.0
6	22	1650.7031070195628	1044.7031070195628	9.0	4.0	7.0	4.0	869.0	144.0	65.0	660.0
