Brightness	Occurrences
7.0	50
4.0	45
6.0	41
13.0	34
21.0	30
3.0	27
20.0	25
22.0	24
5.0	24
11.0	22
16.0	20
10.0	19
2.0	18
15.0	18
25.0	18
19.0	17
124.0	16
8.0	15
24.0	13
18.0	13
23.0	12
29.0	12
26.0	11
9.0	10
132.0	9
504.0	9
28.0	9
17.0	9
30.0	8
14.0	8
564.0	8
128.0	7
148.0	6
508.0	6
32.0	6
1020.0	6
27.0	6
12.0	6
136.0	5
126.0	5
568.0	5
140.0	5
492.0	5
552.0	4
748.0	4
672.0	4
500.0	4
146.0	3
660.0	3
580.0	3
152.0	3
584.0	3
816.0	3
156.0	3
176.0	3
168.0	3
664.0	3
812.0	3
512.0	3
960.0	2
522.0	2
160.0	2
164.0	2
496.0	2
192.0	2
876.0	2
46.0	2
184.0	2
712.0	2
968.0	2
76.0	2
600.0	2
558.0	2
632.0	2
878.0	2
872.0	2
54.0	2
138.0	2
520.0	2
516.0	2
884.0	2
808.0	2
668.0	2
608.0	2
210.0	2
760.0	2
144.0	2
220.0	2
166.0	2
566.0	1
574.0	1
50.0	1
102.0	1
44.0	1
284.0	1
776.0	1
384.0	1
179.0	1
494.0	1
572.0	1
226.0	1
218.0	1
34.0	1
736.0	1
142.0	1
448.0	1
586.0	1
924.0	1
916.0	1
180.0	1
624.0	1
936.0	1
578.0	1
404.0	1
614.0	1
912.0	1
172.0	1
592.0	1
436.0	1
450.0	1
