Brightness	Occurrences
30.0	21
49.0	18
65.0	9
48.0	9
52.0	8
8.0	7
96.0	7
104.0	6
72.0	6
81.0	6
25.0	5
129.0	4
105.0	4
120.0	4
90.0	4
6.0	4
80.0	4
4.0	3
148.0	3
240.0	3
60.0	3
94.0	3
68.0	3
128.0	3
452.0	2
280.0	2
45.0	2
248.0	2
289.0	2
130.0	2
98.0	2
112.0	2
172.0	2
74.0	2
10.0	2
92.0	2
208.0	2
188.0	2
40.0	2
57.0	2
89.0	2
154.0	2
56.0	2
50.0	2
429.0	2
32.0	1
228.0	1
84.0	1
238.0	1
51.0	1
264.0	1
336.0	1
260.0	1
114.0	1
184.0	1
164.0	1
136.0	1
465.0	1
132.0	1
13.0	1
33.0	1
304.0	1
76.0	1
144.0	1
298.0	1
212.0	1
29.0	1
146.0	1
236.0	1
191.0	1
124.0	1
149.0	1
27.0	1
36.0	1
113.0	1
18.0	1
19.0	1
160.0	1
135.0	1
152.0	1
180.0	1
192.0	1
