Brightness	Occurrences
224.0	19
253.0	13
436.0	12
96.0	11
236.0	10
389.0	10
295.0	10
423.0	10
203.0	10
359.0	10
534.0	10
385.0	9
145.0	9
397.0	8
312.0	8
279.0	8
299.0	7
573.0	7
215.0	7
266.0	7
342.0	7
568.0	7
100.0	6
449.0	6
270.0	6
458.0	6
504.0	6
479.0	6
509.0	6
776.0	6
283.0	6
262.0	6
529.0	6
232.0	6
525.0	5
344.0	5
542.0	5
98.0	5
634.0	5
287.0	5
112.0	5
577.0	5
768.0	5
207.0	5
585.0	5
338.0	5
638.0	5
170.0	4
119.0	4
1393.0	4
657.0	4
808.0	4
483.0	4
997.0	4
646.0	4
632.0	4
517.0	4
613.0	4
121.0	4
321.0	4
238.0	4
508.0	4
521.0	4
303.0	4
249.0	4
258.0	4
367.0	4
331.0	4
788.0	4
462.0	4
156.0	4
547.0	4
626.0	4
729.0	4
187.0	4
440.0	4
404.0	4
102.0	3
645.0	3
474.0	3
492.0	3
272.0	3
384.0	3
940.0	3
888.0	3
862.0	3
873.0	3
306.0	3
666.0	3
117.0	3
1096.0	3
400.0	3
275.0	3
398.0	3
334.0	3
496.0	3
415.0	3
628.0	3
772.0	3
209.0	3
536.0	3
731.0	3
753.0	3
530.0	3
869.0	3
551.0	3
832.0	3
457.0	3
816.0	3
234.0	3
884.0	3
733.0	3
513.0	3
264.0	3
538.0	3
1092.0	3
609.0	2
383.0	2
1176.0	2
774.0	2
1326.0	2
346.0	2
640.0	2
464.0	2
686.0	2
988.0	2
682.0	2
964.0	2
555.0	2
184.0	2
227.0	2
652.0	2
126.0	2
1195.0	2
818.0	2
962.0	2
301.0	2
518.0	2
118.0	2
310.0	2
455.0	2
844.0	2
330.0	2
574.0	2
391.0	2
600.0	2
498.0	2
1182.0	2
976.0	2
500.0	2
1308.0	2
828.0	2
642.0	2
1848.0	2
622.0	2
631.0	2
700.0	2
724.0	2
435.0	2
607.0	2
527.0	2
1112.0	2
804.0	2
466.0	2
718.0	2
562.0	2
123.0	2
361.0	2
594.0	2
1081.0	2
611.0	2
192.0	2
1418.0	2
460.0	2
919.0	2
544.0	2
834.0	2
712.0	2
1009.0	2
441.0	2
323.0	2
615.0	2
877.0	2
630.0	2
1248.0	2
304.0	2
278.0	2
792.0	2
848.0	2
765.0	2
226.0	2
285.0	2
255.0	2
402.0	2
289.0	2
450.0	2
749.0	2
345.0	2
799.0	2
260.0	2
650.0	2
487.0	2
649.0	2
476.0	2
764.0	2
584.0	2
1186.0	2
1115.0	1
223.0	1
580.0	1
659.0	1
488.0	1
97.0	1
755.0	1
654.0	1
593.0	1
1007.0	1
540.0	1
125.0	1
427.0	1
302.0	1
506.0	1
770.0	1
795.0	1
766.0	1
1068.0	1
899.0	1
596.0	1
743.0	1
908.0	1
316.0	1
519.0	1
871.0	1
716.0	1
468.0	1
560.0	1
578.0	1
824.0	1
737.0	1
800.0	1
1185.0	1
164.0	1
394.0	1
281.0	1
38.0	1
896.0	1
326.0	1
566.0	1
668.0	1
810.0	1
424.0	1
419.0	1
328.0	1
252.0	1
728.0	1
739.0	1
665.0	1
706.0	1
608.0	1
201.0	1
1060.0	1
565.0	1
714.0	1
852.0	1
588.0	1
150.0	1
352.0	1
904.0	1
240.0	1
589.0	1
378.0	1
1032.0	1
497.0	1
147.0	1
1269.0	1
392.0	1
251.0	1
268.0	1
1048.0	1
1240.0	1
1456.0	1
1229.0	1
358.0	1
370.0	1
475.0	1
354.0	1
595.0	1
791.0	1
598.0	1
512.0	1
256.0	1
932.0	1
114.0	1
480.0	1
1191.0	1
892.0	1
889.0	1
920.0	1
113.0	1
854.0	1
1803.0	1
489.0	1
510.0	1
120.0	1
624.0	1
381.0	1
922.0	1
761.0	1
421.0	1
636.0	1
172.0	1
881.0	1
1262.0	1
463.0	1
297.0	1
1000.0	1
564.0	1
667.0	1
842.0	1
242.0	1
478.0	1
575.0	1
300.0	1
864.0	1
1236.0	1
786.0	1
