Brightness	Occurrences
96.0	37
100.0	31
220.0	27
116.0	26
120.0	22
144.0	20
112.0	19
248.0	16
348.0	15
232.0	15
200.0	15
184.0	14
204.0	14
420.0	14
512.0	14
376.0	13
228.0	13
260.0	12
244.0	12
372.0	11
332.0	11
440.0	11
408.0	11
212.0	11
288.0	11
276.0	11
384.0	10
292.0	10
168.0	10
544.0	9
508.0	9
548.0	9
256.0	9
272.0	8
280.0	8
304.0	8
488.0	8
296.0	8
600.0	8
264.0	8
460.0	7
484.0	7
504.0	7
432.0	7
456.0	6
312.0	6
328.0	6
252.0	6
644.0	6
268.0	6
472.0	6
388.0	6
424.0	6
356.0	5
476.0	5
652.0	5
552.0	5
368.0	5
660.0	5
524.0	5
496.0	5
628.0	5
636.0	5
520.0	5
696.0	5
640.0	5
568.0	5
444.0	5
464.0	4
676.0	4
320.0	4
648.0	4
580.0	4
436.0	4
500.0	4
516.0	4
560.0	4
336.0	4
612.0	3
764.0	3
616.0	3
716.0	3
492.0	3
236.0	3
736.0	3
672.0	3
400.0	3
572.0	3
528.0	3
684.0	3
536.0	3
468.0	3
324.0	3
556.0	2
712.0	2
106.0	2
21.0	2
166.0	2
664.0	2
452.0	2
820.0	2
708.0	2
58.0	2
480.0	2
278.0	2
704.0	2
540.0	2
828.0	2
776.0	2
920.0	2
527.0	2
800.0	2
620.0	2
965.0	2
532.0	2
134.0	2
584.0	2
796.0	2
314.0	2
780.0	2
1020.0	2
608.0	2
115.0	1
38.0	1
170.0	1
876.0	1
502.0	1
15.0	1
1068.0	1
748.0	1
596.0	1
67.0	1
688.0	1
740.0	1
727.0	1
282.0	1
756.0	1
174.0	1
87.0	1
404.0	1
138.0	1
105.0	1
412.0	1
83.0	1
182.0	1
884.0	1
752.0	1
54.0	1
692.0	1
588.0	1
234.0	1
868.0	1
175.0	1
75.0	1
564.0	1
744.0	1
720.0	1
856.0	1
