#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	5	1443.665924276169	217.66369710467703	7.0	4.0	0.0	5.0	898.0	748.0	0.0	150.0
0	17	596.6660746003553	864.6660746003553	7.0	4.0	5.0	4.0	563.0	84.0	19.0	460.0
0	24	821.4909090909091	1065.509090909091	4.0	4.0	0.0	1.0	110.0	108.0	0.0	2.0
0	34	918.6750418760467	1760.6750418760469	7.0	4.0	5.0	4.0	597.0	92.0	25.0	480.0
0	35	2194.658436213992	1760.6584362139918	7.0	4.0	5.0	4.0	486.0	68.0	18.0	400.0
1	5	1443.665924276169	217.66369710467703	7.0	4.0	0.0	5.0	898.0	748.0	0.0	150.0
1	17	596.6660746003553	864.6660746003553	7.0	4.0	5.0	4.0	563.0	84.0	19.0	460.0
1	24	821.4909090909091	1065.509090909091	4.0	4.0	0.0	1.0	110.0	108.0	0.0	2.0
1	34	918.6750418760467	1760.6750418760469	7.0	4.0	5.0	4.0	597.0	92.0	25.0	480.0
1	35	2194.658436213992	1760.6584362139918	7.0	4.0	5.0	4.0	486.0	68.0	18.0	400.0
2	9	1741.1888809693514	529.8218104062722	9.0	4.0	7.0	6.0	1403.0	636.0	621.0	144.0
2	12	1678.502325581395	674.2	6.0	1.0	4.0	4.0	215.0	2.0	65.0	148.0
2	32	2303.509578544061	1663.5095785440612	4.0	4.0	0.0	1.0	261.0	256.0	0.0	5.0
2	42	1528.6026490066224	2012.2980132450327	9.0	4.0	8.0	4.0	604.0	56.0	196.0	352.0
2	45	437.4961832061069	2037.496183206107	4.0	4.0	0.0	1.0	131.0	128.0	0.0	2.0
3	20	673.5178997613365	839.5178997613365	4.0	4.0	0.0	1.0	419.0	404.0	0.0	15.0
3	30	1038.5	1447.5593220338983	4.0	0.0	4.0	2.0	118.0	0.0	104.0	14.0
3	31	1326.5	1603.5675675675675	4.0	0.0	4.0	2.0	148.0	0.0	128.0	20.0
3	37	1705.502994011976	1797.508982035928	4.0	4.0	0.0	1.0	167.0	164.0	0.0	2.0
4	21	1500.6330749354006	956.6330749354004	7.0	4.0	1.0	4.0	387.0	48.0	3.0	332.0
4	25	200.51636363636365	1166.5163636363636	4.0	1.0	1.0	4.0	275.0	7.0	2.0	264.0
4	39	2109.5	1888.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
4	43	911.5	1952.5	4.0	0.0	4.0	0.0	216.0	0.0	216.0	0.0
5	21	1500.6330749354006	956.6330749354004	7.0	4.0	1.0	4.0	387.0	48.0	3.0	332.0
5	25	200.51636363636365	1166.5163636363636	4.0	1.0	1.0	4.0	275.0	7.0	2.0	264.0
5	39	2109.5	1888.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
5	43	911.5	1952.5	4.0	0.0	4.0	0.0	216.0	0.0	216.0	0.0
6	16	994.7122752150116	1254.7240031274432	9.0	6.0	7.0	6.0	1279.0	230.0	113.0	936.0
6	26	1208.661354581673	1716.661354581673	7.0	4.0	5.0	4.0	502.0	72.0	18.0	412.0
6	31	2239.520309477756	1863.520309477756	4.0	4.0	0.0	1.0	517.0	496.0	0.0	21.0
7	4	2223.505882352941	473.5058823529412	4.0	4.0	0.0	1.0	170.0	168.0	0.0	2.0
