#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	5	1443.665924276169	217.66369710467703	7.0	4.0	0.0	5.0	898.0	748.0	0.0	150.0
0	11	512.5178571428571	674.5178571428571	4.0	1.0	1.0	4.0	280.0	8.0	2.0	268.0
0	17	596.6660746003553	864.6660746003553	7.0	4.0	5.0	4.0	563.0	84.0	19.0	460.0
0	34	918.6750418760467	1760.6750418760469	7.0	4.0	5.0	4.0	597.0	92.0	25.0	480.0
1	5	1443.665924276169	217.66369710467703	7.0	4.0	0.0	5.0	898.0	748.0	0.0	150.0
1	11	512.5178571428571	674.5178571428571	4.0	1.0	1.0	4.0	280.0	8.0	2.0	268.0
1	17	596.6660746003553	864.6660746003553	7.0	4.0	5.0	4.0	563.0	84.0	19.0	460.0
1	34	918.6750418760467	1760.6750418760469	7.0	4.0	5.0	4.0	597.0	92.0	25.0	480.0
2	42	1528.6026490066224	2012.2980132450327	9.0	4.0	8.0	4.0	604.0	56.0	196.0	352.0
3	31	1326.5	1603.5675675675675	4.0	0.0	4.0	2.0	148.0	0.0	128.0	20.0
4	21	1500.6330749354006	956.6330749354004	7.0	4.0	1.0	4.0	387.0	48.0	3.0	332.0
4	25	200.51636363636365	1166.5163636363636	4.0	1.0	1.0	4.0	275.0	7.0	2.0	264.0
5	21	1500.6330749354006	956.6330749354004	7.0	4.0	1.0	4.0	387.0	48.0	3.0	332.0
5	25	200.51636363636365	1166.5163636363636	4.0	1.0	1.0	4.0	275.0	7.0	2.0	264.0
6	16	994.7122752150116	1254.7240031274432	9.0	6.0	7.0	6.0	1279.0	230.0	113.0	936.0
6	26	1208.661354581673	1716.661354581673	7.0	4.0	5.0	4.0	502.0	72.0	18.0	412.0
6	31	2239.520309477756	1863.520309477756	4.0	4.0	0.0	1.0	517.0	496.0	0.0	21.0
7	27	2439.6620046620046	1789.6643356643356	7.0	4.0	0.0	5.0	858.0	716.0	0.0	142.0
8	27	1984.2435897435896	1526.9038461538462	10.0	1.0	8.0	6.0	312.0	3.0	113.0	196.0
9	27	1984.2435897435896	1526.9038461538462	10.0	1.0	8.0	6.0	312.0	3.0	113.0	196.0
10	13	1002.6727879799666	528.6744574290484	7.0	4.0	5.0	4.0	599.0	92.0	26.0	480.0
10	42	2380.663967611336	1566.663967611336	7.0	4.0	5.0	4.0	494.0	72.0	18.0	404.0
10	44	2266.6639344262294	1638.6639344262296	7.0	4.0	5.0	5.0	488.0	68.0	18.0	402.0
10	48	1172.5171102661598	1768.5171102661598	4.0	1.0	1.0	4.0	263.0	7.0	2.0	252.0
11	28	1894.683823529412	1768.6823529411763	7.0	4.0	5.0	4.0	680.0	108.0	31.0	540.0
12	12	102.50898203592814	952.5089820359282	4.0	1.0	0.0	4.0	167.0	3.0	0.0	164.0
12	30	1696.7269180754226	1600.6879063719116	9.0	4.0	7.0	6.0	769.0	120.0	49.0	600.0
13	12	102.50898203592814	952.5089820359282	4.0	1.0	0.0	4.0	167.0	3.0	0.0	164.0
13	30	1696.7269180754226	1600.6879063719116	9.0	4.0	7.0	6.0	769.0	120.0	49.0	600.0
14	16	462.6666666666667	1182.6666666666667	7.0	4.0	5.0	4.0	576.0	84.0	24.0	468.0
14	20	477.52062868369353	1673.5206286836935	4.0	4.0	0.0	1.0	509.0	488.0	0.0	21.0
15	10	1846.6724137931035	286.67241379310343	7.0	4.0	5.0	4.0	580.0	88.0	24.0	468.0
16	14	306.6373056994819	1176.6295336787564	7.0	5.0	1.0	4.0	386.0	51.0	3.0	328.0
16	19	1897.516883116883	1293.516883116883	4.0	4.0	0.0	1.0	385.0	372.0	0.0	13.0
16	24	802.6780185758514	1500.6780185758514	7.0	4.0	5.0	4.0	646.0	100.0	30.0	516.0
16	30	1187.5207207207206	1725.5207207207206	4.0	4.0	0.0	1.0	555.0	532.0	0.0	23.0
16	32	1358.5135135135135	1792.5135135135135	4.0	1.0	0.0	4.0	222.0	5.0	0.0	216.0
17	14	306.6373056994819	1176.6295336787564	7.0	5.0	1.0	4.0	386.0	51.0	3.0	328.0
17	19	1897.516883116883	1293.516883116883	4.0	4.0	0.0	1.0	385.0	372.0	0.0	13.0
17	24	802.6780185758514	1500.6780185758514	7.0	4.0	5.0	4.0	646.0	100.0	30.0	516.0
17	30	1187.5207207207206	1725.5207207207206	4.0	4.0	0.0	1.0	555.0	532.0	0.0	23.0
17	32	1358.5135135135135	1792.5135135135135	4.0	1.0	0.0	4.0	222.0	5.0	0.0	216.0
20	30	2342.7187733732235	1638.7187733732237	9.0	4.0	7.0	4.0	1337.0	232.0	121.0	984.0
20	38	826.6802507836991	2026.680250783699	7.0	4.0	5.0	4.0	638.0	100.0	30.0	508.0
21	30	2342.7187733732235	1638.7187733732237	9.0	4.0	7.0	4.0	1337.0	232.0	121.0	984.0
21	38	826.6802507836991	2026.680250783699	7.0	4.0	5.0	4.0	638.0	100.0	30.0	508.0
22	35	583.519348268839	2003.5193482688392	4.0	4.0	0.0	1.0	491.0	472.0	0.0	19.0
