Brightness	Occurrences
555.0	4
646.0	4
280.0	4
776.0	3
447.0	3
134.0	3
358.0	3
898.0	2
569.0	2
650.0	2
68.0	2
675.0	2
283.0	2
1197.0	2
372.0	2
440.0	2
704.0	2
219.0	2
491.0	2
1398.0	2
504.0	2
475.0	2
261.0	2
510.0	2
492.0	2
336.0	2
381.0	2
201.0	2
584.0	2
1385.0	2
638.0	2
769.0	2
563.0	2
597.0	2
387.0	2
275.0	2
502.0	2
312.0	2
488.0	2
612.0	2
167.0	2
243.0	2
1337.0	2
222.0	2
385.0	2
386.0	2
636.0	1
230.0	1
116.0	1
784.0	1
593.0	1
642.0	1
96.0	1
171.0	1
671.0	1
172.0	1
743.0	1
341.0	1
445.0	1
1238.0	1
438.0	1
306.0	1
561.0	1
344.0	1
582.0	1
166.0	1
531.0	1
209.0	1
588.0	1
741.0	1
660.0	1
856.0	1
217.0	1
234.0	1
408.0	1
706.0	1
580.0	1
509.0	1
576.0	1
680.0	1
263.0	1
494.0	1
599.0	1
858.0	1
517.0	1
1279.0	1
148.0	1
604.0	1
333.0	1
431.0	1
269.0	1
693.0	1
720.0	1
813.0	1
515.0	1
394.0	1
316.0	1
808.0	1
310.0	1
887.0	1
506.0	1
513.0	1
389.0	1
383.0	1
104.0	1
457.0	1
416.0	1
