Brightness	Occurrences
5.0	16
7.0	11
3.0	10
2.0	10
4.0	10
10.0	8
6.0	7
480.0	6
13.0	6
21.0	5
8.0	5
15.0	5
328.0	5
14.0	5
28.0	4
24.0	4
132.0	4
19.0	4
304.0	4
400.0	4
596.0	3
20.0	3
372.0	3
22.0	3
296.0	3
264.0	3
316.0	3
244.0	3
520.0	2
1016.0	2
832.0	2
452.0	2
236.0	2
308.0	2
460.0	2
348.0	2
30.0	2
272.0	2
506.0	2
724.0	2
1020.0	2
11.0	2
414.0	2
472.0	2
150.0	2
16.0	2
23.0	2
252.0	2
464.0	2
164.0	2
300.0	2
412.0	2
600.0	2
124.0	2
516.0	2
468.0	2
332.0	2
216.0	2
240.0	2
984.0	2
352.0	2
148.0	2
508.0	2
144.0	2
270.0	1
356.0	1
168.0	1
912.0	1
364.0	1
56.0	1
224.0	1
18.0	1
578.0	1
470.0	1
576.0	1
432.0	1
608.0	1
204.0	1
476.0	1
44.0	1
388.0	1
374.0	1
458.0	1
604.0	1
25.0	1
360.0	1
192.0	1
380.0	1
936.0	1
142.0	1
404.0	1
402.0	1
540.0	1
248.0	1
504.0	1
344.0	1
136.0	1
9.0	1
29.0	1
615.0	1
140.0	1
17.0	1
262.0	1
526.0	1
416.0	1
286.0	1
564.0	1
280.0	1
624.0	1
560.0	1
212.0	1
652.0	1
532.0	1
156.0	1
184.0	1
