Brightness	Occurrences
3.0	13
18.0	11
24.0	9
56.0	8
30.0	7
40.0	6
2.0	6
19.0	6
292.0	5
172.0	5
13.0	4
6.0	4
104.0	4
49.0	4
121.0	3
84.0	3
12.0	3
188.0	3
96.0	3
65.0	3
5.0	3
336.0	3
200.0	3
113.0	3
64.0	3
184.0	2
14.0	2
93.0	2
60.0	2
124.0	2
368.0	2
74.0	2
253.0	2
76.0	2
112.0	2
320.0	2
134.0	2
240.0	2
160.0	2
296.0	2
252.0	2
69.0	2
98.0	2
280.0	2
129.0	2
196.0	2
128.0	2
216.0	2
248.0	2
132.0	2
31.0	2
152.0	2
236.0	2
137.0	2
100.0	2
25.0	2
116.0	2
68.0	2
177.0	2
9.0	1
136.0	1
621.0	1
10.0	1
300.0	1
32.0	1
180.0	1
92.0	1
140.0	1
26.0	1
57.0	1
48.0	1
244.0	1
58.0	1
332.0	1
119.0	1
243.0	1
284.0	1
28.0	1
148.0	1
256.0	1
106.0	1
268.0	1
