Brightness	Occurrences
172.0	6
245.0	5
283.0	5
308.0	5
336.0	5
133.0	4
148.0	4
646.0	4
555.0	4
334.0	4
314.0	4
187.0	4
200.0	4
486.0	4
110.0	4
162.0	4
320.0	4
419.0	4
358.0	3
292.0	3
447.0	3
275.0	3
134.0	3
69.0	3
291.0	3
10.0	3
776.0	3
256.0	3
167.0	3
253.0	3
236.0	3
261.0	3
241.0	3
166.0	3
204.0	3
563.0	2
506.0	2
704.0	2
250.0	2
572.0	2
510.0	2
294.0	2
898.0	2
492.0	2
493.0	2
368.0	2
214.0	2
612.0	2
675.0	2
666.0	2
192.0	2
560.0	2
543.0	2
569.0	2
1398.0	2
438.0	2
504.0	2
475.0	2
381.0	2
102.0	2
1385.0	2
243.0	2
525.0	2
394.0	2
1197.0	2
996.0	2
273.0	2
386.0	2
384.0	2
131.0	2
118.0	2
216.0	2
222.0	2
385.0	2
257.0	2
1337.0	2
199.0	2
502.0	2
170.0	2
769.0	2
270.0	2
488.0	2
213.0	2
387.0	2
650.0	2
584.0	2
436.0	2
638.0	2
597.0	2
491.0	2
215.0	1
642.0	1
517.0	1
244.0	1
795.0	1
332.0	1
227.0	1
251.0	1
145.0	1
151.0	1
1279.0	1
427.0	1
296.0	1
858.0	1
741.0	1
306.0	1
599.0	1
1238.0	1
272.0	1
494.0	1
884.0	1
171.0	1
743.0	1
209.0	1
534.0	1
341.0	1
636.0	1
531.0	1
542.0	1
604.0	1
582.0	1
180.0	1
561.0	1
301.0	1
344.0	1
445.0	1
375.0	1
370.0	1
528.0	1
263.0	1
1403.0	1
282.0	1
588.0	1
119.0	1
356.0	1
568.0	1
248.0	1
221.0	1
641.0	1
513.0	1
389.0	1
383.0	1
207.0	1
868.0	1
339.0	1
288.0	1
457.0	1
346.0	1
887.0	1
269.0	1
431.0	1
558.0	1
157.0	1
149.0	1
98.0	1
706.0	1
305.0	1
86.0	1
266.0	1
295.0	1
333.0	1
596.0	1
234.0	1
660.0	1
287.0	1
146.0	1
671.0	1
185.0	1
593.0	1
205.0	1
784.0	1
408.0	1
284.0	1
279.0	1
680.0	1
181.0	1
455.0	1
920.0	1
856.0	1
310.0	1
217.0	1
720.0	1
576.0	1
813.0	1
515.0	1
299.0	1
509.0	1
580.0	1
808.0	1
693.0	1
318.0	1
416.0	1
