Brightness	Occurrences
7.0	11
6.0	9
84.0	8
100.0	8
240.0	7
2.0	7
60.0	6
72.0	6
30.0	6
92.0	6
88.0	5
160.0	5
48.0	5
124.0	5
132.0	5
68.0	5
248.0	4
52.0	4
108.0	4
244.0	4
472.0	4
184.0	4
33.0	4
300.0	4
404.0	4
324.0	4
236.0	4
164.0	4
3.0	4
104.0	3
116.0	3
232.0	3
188.0	3
204.0	3
80.0	3
296.0	3
5.0	3
636.0	3
120.0	3
14.0	3
420.0	3
536.0	2
172.0	2
4.0	2
456.0	2
368.0	2
272.0	2
216.0	2
112.0	2
134.0	2
508.0	2
748.0	2
51.0	2
532.0	2
264.0	2
9.0	2
196.0	2
128.0	2
56.0	2
372.0	2
304.0	2
568.0	2
208.0	2
276.0	2
444.0	1
148.0	1
544.0	1
284.0	1
168.0	1
212.0	1
496.0	1
230.0	1
412.0	1
484.0	1
366.0	1
524.0	1
144.0	1
252.0	1
716.0	1
512.0	1
8.0	1
256.0	1
268.0	1
364.0	1
520.0	1
260.0	1
764.0	1
200.0	1
728.0	1
96.0	1
548.0	1
392.0	1
59.0	1
612.0	1
308.0	1
20.0	1
336.0	1
64.0	1
492.0	1
83.0	1
280.0	1
18.0	1
488.0	1
292.0	1
180.0	1
192.0	1
140.0	1
288.0	1
432.0	1
736.0	1
