#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
2	9	1741.1888809693514	529.8218104062722	9.0	4.0	7.0	6.0	1403.0	636.0	621.0	144.0
2	12	1678.502325581395	674.2	6.0	1.0	4.0	4.0	215.0	2.0	65.0	148.0
3	43	2244.5	1951.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
4	39	2109.5	1888.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
4	42	1070.5	1949.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
4	43	911.5	1952.5	4.0	0.0	4.0	0.0	216.0	0.0	216.0	0.0
5	39	2109.5	1888.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
5	42	1070.5	1949.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
5	43	911.5	1952.5	4.0	0.0	4.0	0.0	216.0	0.0	216.0	0.0
6	16	994.7122752150116	1254.7240031274432	9.0	6.0	7.0	6.0	1279.0	230.0	113.0	936.0
7	6	1202.5	599.5	4.0	0.0	4.0	0.0	360.0	0.0	360.0	0.0
7	26	2417.4938271604938	1760.530864197531	4.0	2.0	4.0	0.0	81.0	4.0	77.0	0.0
8	27	1984.2435897435896	1526.9038461538462	10.0	1.0	8.0	6.0	312.0	3.0	113.0	196.0
9	27	1984.2435897435896	1526.9038461538462	10.0	1.0	8.0	6.0	312.0	3.0	113.0	196.0
11	21	668.5	1577.5	4.0	0.0	4.0	4.0	256.0	0.0	248.0	8.0
11	28	1894.683823529412	1768.6823529411763	7.0	4.0	5.0	4.0	680.0	108.0	31.0	540.0
12	22	1505.5	1382.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
12	30	1696.7269180754226	1600.6879063719116	9.0	4.0	7.0	6.0	769.0	120.0	49.0	600.0
12	32	1911.463768115942	1608.5072463768115	4.0	0.0	4.0	2.0	69.0	0.0	65.0	4.0
12	33	2286.5	1635.4354838709678	4.0	0.0	4.0	2.0	372.0	0.0	324.0	48.0
13	22	1505.5	1382.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
13	30	1696.7269180754226	1600.6879063719116	9.0	4.0	7.0	6.0	769.0	120.0	49.0	600.0
13	32	1911.463768115942	1608.5072463768115	4.0	0.0	4.0	2.0	69.0	0.0	65.0	4.0
13	33	2286.5	1635.4354838709678	4.0	0.0	4.0	2.0	372.0	0.0	324.0	48.0
18	19	1904.5	1501.5	4.0	0.0	4.0	0.0	360.0	0.0	360.0	0.0
19	7	371.5125448028674	347.7974910394265	6.0	4.0	4.0	2.0	558.0	392.0	152.0	14.0
20	9	586.5104166666666	316.1536458333333	6.0	1.0	4.0	4.0	384.0	6.0	137.0	240.0
20	13	106.5	589.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
20	30	2342.7187733732235	1638.7187733732237	9.0	4.0	7.0	4.0	1337.0	232.0	121.0	984.0
21	9	586.5104166666666	316.1536458333333	6.0	1.0	4.0	4.0	384.0	6.0	137.0	240.0
21	13	106.5	589.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
21	30	2342.7187733732235	1638.7187733732237	9.0	4.0	7.0	4.0	1337.0	232.0	121.0	984.0
23	25	1382.5	1093.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
23	31	1310.56940509915	1324.6543909348443	9.0	4.0	8.0	5.0	706.0	96.0	106.0	504.0
23	41	1015.5142857142856	1894.5	4.0	0.0	4.0	2.0	140.0	0.0	136.0	4.0
24	48	1326.719855595668	2016.719855595668	9.0	4.0	7.0	4.0	1385.0	240.0	129.0	1016.0
24	49	590.5	2035.5096153846157	4.0	0.0	4.0	2.0	208.0	0.0	204.0	4.0
25	48	1326.719855595668	2016.719855595668	9.0	4.0	7.0	4.0	1385.0	240.0	129.0	1016.0
25	49	590.5	2035.5096153846157	4.0	0.0	4.0	2.0	208.0	0.0	204.0	4.0
28	6	742.6975772765246	738.6307435254804	11.0	4.0	10.0	4.0	1197.0	188.0	177.0	832.0
28	11	2425.010752688172	860.2688172043011	8.0	1.0	5.0	6.0	372.0	7.0	91.0	272.0
29	6	742.6975772765246	738.6307435254804	11.0	4.0	10.0	4.0	1197.0	188.0	177.0	832.0
29	11	2425.010752688172	860.2688172043011	8.0	1.0	5.0	6.0	372.0	7.0	91.0	272.0
32	16	362.65	1210.6454545454546	7.0	4.0	6.0	4.0	440.0	60.0	16.0	364.0
32	35	2203.5	2016.5	4.0	0.0	4.0	0.0	336.0	0.0	336.0	0.0
33	16	362.65	1210.6454545454546	7.0	4.0	6.0	4.0	440.0	60.0	16.0	364.0
33	35	2203.5	2016.5	4.0	0.0	4.0	0.0	336.0	0.0	336.0	0.0
35	22	1001.5	1418.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
35	29	352.5	1811.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
36	18	1648.6676136363635	1182.5710227272727	9.0	4.0	8.0	5.0	704.0	100.0	98.0	506.0
37	18	1648.6676136363635	1182.5710227272727	9.0	4.0	8.0	5.0	704.0	100.0	98.0	506.0
