Brightness	Occurrences
72.0	6
172.0	5
184.0	4
372.0	4
136.0	4
336.0	3
200.0	3
125.0	2
525.0	2
675.0	2
132.0	2
1385.0	2
510.0	2
368.0	2
294.0	2
396.0	2
220.0	2
704.0	2
253.0	2
440.0	2
1197.0	2
493.0	2
208.0	2
256.0	2
769.0	2
216.0	2
360.0	2
224.0	2
312.0	2
646.0	2
280.0	2
1398.0	2
69.0	2
320.0	2
384.0	2
236.0	2
1337.0	2
308.0	1
76.0	1
322.0	1
180.0	1
296.0	1
244.0	1
795.0	1
332.0	1
152.0	1
743.0	1
1403.0	1
741.0	1
693.0	1
1279.0	1
81.0	1
680.0	1
558.0	1
706.0	1
140.0	1
389.0	1
215.0	1
412.0	1
394.0	1
515.0	1
671.0	1
284.0	1
248.0	1
80.0	1
1238.0	1
166.0	1
