Brightness	Occurrences
334.0	4
419.0	4
283.0	3
261.0	3
241.0	3
187.0	3
898.0	2
650.0	2
273.0	2
666.0	2
572.0	2
191.0	2
560.0	2
543.0	2
704.0	2
491.0	2
569.0	2
1398.0	2
312.0	2
510.0	2
492.0	2
475.0	2
436.0	2
399.0	2
381.0	2
646.0	2
638.0	2
270.0	2
769.0	2
386.0	2
100.0	2
385.0	2
555.0	2
1337.0	2
314.0	2
1238.0	1
236.0	1
642.0	1
394.0	1
741.0	1
257.0	1
427.0	1
568.0	1
322.0	1
743.0	1
542.0	1
506.0	1
438.0	1
145.0	1
253.0	1
534.0	1
119.0	1
282.0	1
370.0	1
301.0	1
593.0	1
636.0	1
116.0	1
287.0	1
205.0	1
207.0	1
305.0	1
266.0	1
295.0	1
275.0	1
596.0	1
706.0	1
509.0	1
96.0	1
449.0	1
858.0	1
170.0	1
517.0	1
1279.0	1
1403.0	1
431.0	1
641.0	1
346.0	1
288.0	1
339.0	1
868.0	1
513.0	1
112.0	1
131.0	1
808.0	1
316.0	1
299.0	1
720.0	1
920.0	1
455.0	1
279.0	1
406.0	1
884.0	1
