Brightness	Occurrences
100.0	10
184.0	6
324.0	4
248.0	4
472.0	4
120.0	4
304.0	4
244.0	4
236.0	4
116.0	4
404.0	4
112.0	3
296.0	3
204.0	3
232.0	3
636.0	3
420.0	3
134.0	2
276.0	2
508.0	2
536.0	2
384.0	2
456.0	2
568.0	2
748.0	2
368.0	2
51.0	2
168.0	2
96.0	2
432.0	2
264.0	2
272.0	2
372.0	2
532.0	2
520.0	1
512.0	1
268.0	1
484.0	1
524.0	1
412.0	1
444.0	1
252.0	1
212.0	1
366.0	1
544.0	1
144.0	1
336.0	1
200.0	1
548.0	1
256.0	1
230.0	1
496.0	1
716.0	1
488.0	1
288.0	1
260.0	1
59.0	1
388.0	1
612.0	1
728.0	1
492.0	1
280.0	1
292.0	1
764.0	1
83.0	1
736.0	1
