#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	9	1850.6421568627447	476.6421568627451	7.0	4.0	5.0	4.0	408.0	52.0	12.0	344.0
0	21	208.50437317784252	1120.0495626822158	6.0	1.0	4.0	4.0	343.0	3.0	156.0	184.0
0	39	1568.5	1923.5	4.0	0.0	4.0	0.0	148.0	0.0	148.0	0.0
1	9	1850.6421568627447	476.6421568627451	7.0	4.0	5.0	4.0	408.0	52.0	12.0	344.0
1	21	208.50437317784252	1120.0495626822158	6.0	1.0	4.0	4.0	343.0	3.0	156.0	184.0
1	39	1568.5	1923.5	4.0	0.0	4.0	0.0	148.0	0.0	148.0	0.0
2	14	1192.7083333333333	704.7083333333334	9.0	4.0	7.0	4.0	960.0	160.0	80.0	720.0
2	15	50.70217640320733	766.7021764032073	9.0	4.0	7.0	4.0	873.0	144.0	65.0	664.0
2	23	1961.5170603674544	1077.5170603674542	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
2	24	977.514450867052	1161.514450867052	4.0	4.0	0.0	1.0	346.0	336.0	0.0	10.0
2	25	400.5	1279.4921875	4.0	0.0	4.0	2.0	256.0	0.0	252.0	4.0
2	35	1779.503448275862	1995.503448275862	4.0	4.0	0.0	0.0	145.0	144.0	0.0	0.0
3	16	1238.639423076923	954.6394230769232	7.0	4.0	5.0	4.0	416.0	52.0	12.0	352.0
3	23	2053.5	1266.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
3	27	1796.6958762886595	1318.7036082474226	9.0	4.0	7.0	6.0	776.0	124.0	56.0	596.0
3	30	1058.5	1343.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
3	37	505.5135135135135	1633.1891891891892	6.0	4.0	4.0	1.0	74.0	48.0	24.0	2.0
3	41	1937.6627634660424	1701.6651053864168	7.0	4.0	0.0	5.0	854.0	712.0	0.0	142.0
3	43	1088.5858310626702	1860.5858310626704	6.0	3.0	2.0	4.0	367.0	33.0	5.0	324.0
4	19	1476.7183513248283	1256.6977428851817	9.0	6.0	7.0	4.0	1019.0	182.0	81.0	756.0
4	20	367.5	1344.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
4	27	1940.5	1579.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
4	33	375.51141552511416	1913.5182648401824	4.0	4.0	2.0	1.0	438.0	416.0	6.0	16.0
5	19	1476.7183513248283	1256.6977428851817	9.0	6.0	7.0	4.0	1019.0	182.0	81.0	756.0
5	20	367.5	1344.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
5	27	1940.5	1579.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
5	33	375.51141552511416	1913.5182648401824	4.0	4.0	2.0	1.0	438.0	416.0	6.0	16.0
6	7	612.5	481.5	4.0	0.0	4.0	0.0	192.0	0.0	192.0	0.0
6	17	1874.6791277258567	878.6791277258567	7.0	4.0	5.0	4.0	642.0	100.0	30.0	512.0
6	18	1627.5213675213674	985.5213675213676	4.0	4.0	0.0	1.0	585.0	560.0	0.0	25.0
6	23	1543.298611111111	1242.451388888889	5.0	0.0	5.0	3.0	288.0	0.0	228.0	60.0
6	27	1735.765306122449	1379.5102040816328	6.0	4.0	4.0	2.0	294.0	216.0	72.0	6.0
6	42	1034.647619047619	2024.647619047619	7.0	4.0	5.0	4.0	420.0	56.0	12.0	352.0
7	14	1647.5037593984962	779.5037593984962	4.0	4.0	0.0	0.0	133.0	132.0	0.0	0.0
