#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	9	1850.6421568627447	476.6421568627451	7.0	4.0	5.0	4.0	408.0	52.0	12.0	344.0
1	9	1850.6421568627447	476.6421568627451	7.0	4.0	5.0	4.0	408.0	52.0	12.0	344.0
2	14	1192.7083333333333	704.7083333333334	9.0	4.0	7.0	4.0	960.0	160.0	80.0	720.0
2	15	50.70217640320733	766.7021764032073	9.0	4.0	7.0	4.0	873.0	144.0	65.0	664.0
2	23	1961.5170603674544	1077.5170603674542	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
3	16	1238.639423076923	954.6394230769232	7.0	4.0	5.0	4.0	416.0	52.0	12.0	352.0
3	27	1796.6958762886595	1318.7036082474226	9.0	4.0	7.0	6.0	776.0	124.0	56.0	596.0
3	36	1746.5	1627.625	4.0	0.0	4.0	2.0	80.0	0.0	60.0	20.0
3	41	1937.6627634660424	1701.6651053864168	7.0	4.0	0.0	5.0	854.0	712.0	0.0	142.0
3	43	1088.5858310626702	1860.5858310626704	6.0	3.0	2.0	4.0	367.0	33.0	5.0	324.0
3	44	652.5	1869.25	4.0	0.0	4.0	2.0	104.0	0.0	52.0	52.0
4	6	1018.5	391.625	4.0	0.0	4.0	2.0	80.0	0.0	60.0	20.0
4	18	592.5	1247.5892857142858	4.0	0.0	4.0	2.0	112.0	0.0	92.0	20.0
4	19	1476.7183513248283	1256.6977428851817	9.0	6.0	7.0	4.0	1019.0	182.0	81.0	756.0
5	6	1018.5	391.625	4.0	0.0	4.0	2.0	80.0	0.0	60.0	20.0
5	18	592.5	1247.5892857142858	4.0	0.0	4.0	2.0	112.0	0.0	92.0	20.0
5	19	1476.7183513248283	1256.6977428851817	9.0	6.0	7.0	4.0	1019.0	182.0	81.0	756.0
6	17	1874.6791277258567	878.6791277258567	7.0	4.0	5.0	4.0	642.0	100.0	30.0	512.0
6	18	1627.5213675213674	985.5213675213676	4.0	4.0	0.0	1.0	585.0	560.0	0.0	25.0
6	42	1034.647619047619	2024.647619047619	7.0	4.0	5.0	4.0	420.0	56.0	12.0	352.0
7	27	1056.508771929825	1120.508771929825	4.0	1.0	0.0	4.0	171.0	3.0	0.0	168.0
7	33	296.50877192982455	1396.508771929825	4.0	1.0	0.0	4.0	171.0	3.0	0.0	168.0
7	42	2270.6918990703853	1646.691899070385	9.0	4.0	7.0	4.0	753.0	120.0	49.0	584.0
7	43	632.6506849315068	1696.648401826484	7.0	4.0	5.0	4.0	438.0	60.0	13.0	364.0
7	62	1352.5074626865671	2014.5074626865671	4.0	1.0	0.0	4.0	134.0	2.0	0.0	132.0
8	21	1114.6700680272108	1404.6700680272108	7.0	4.0	5.0	4.0	588.0	88.0	24.0	476.0
8	24	1664.7081292850146	1492.7081292850146	9.0	4.0	7.0	4.0	1021.0	172.0	81.0	768.0
8	37	1449.5153846153846	1987.517948717949	4.0	4.0	0.0	1.0	390.0	376.0	0.0	13.0
9	21	1114.6700680272108	1404.6700680272108	7.0	4.0	5.0	4.0	588.0	88.0	24.0	476.0
9	24	1664.7081292850146	1492.7081292850146	9.0	4.0	7.0	4.0	1021.0	172.0	81.0	768.0
9	37	1449.5153846153846	1987.517948717949	4.0	4.0	0.0	1.0	390.0	376.0	0.0	13.0
10	18	1384.6933667083854	902.5650813516896	11.0	4.0	10.0	4.0	1598.0	244.0	334.0	1020.0
