Brightness	Occurrences
3.0	20
19.0	14
12.0	12
2.0	10
81.0	8
24.0	7
18.0	6
36.0	6
49.0	6
57.0	6
65.0	5
13.0	5
121.0	4
72.0	4
71.0	4
27.0	4
31.0	4
56.0	4
30.0	3
20.0	3
73.0	3
11.0	3
60.0	3
10.0	3
80.0	3
108.0	2
88.0	2
112.0	2
228.0	2
141.0	2
25.0	2
4.0	2
48.0	2
153.0	2
62.0	2
5.0	2
52.0	2
64.0	2
92.0	2
93.0	2
196.0	1
145.0	1
364.0	1
128.0	1
476.0	1
86.0	1
46.0	1
505.0	1
208.0	1
89.0	1
226.0	1
178.0	1
184.0	1
136.0	1
96.0	1
334.0	1
283.0	1
260.0	1
191.0	1
142.0	1
28.0	1
7.0	1
97.0	1
68.0	1
9.0	1
105.0	1
251.0	1
32.0	1
6.0	1
165.0	1
70.0	1
