Brightness	Occurrences
356.0	4
551.0	4
138.0	4
199.0	4
171.0	4
302.0	4
511.0	3
134.0	3
438.0	3
502.0	3
383.0	3
230.0	3
504.0	3
515.0	3
527.0	3
48.0	3
209.0	3
80.0	3
741.0	3
300.0	2
525.0	2
833.0	2
408.0	2
351.0	2
248.0	2
482.0	2
948.0	2
267.0	2
674.0	2
389.0	2
279.0	2
318.0	2
702.0	2
640.0	2
869.0	2
581.0	2
963.0	2
683.0	2
570.0	2
610.0	2
817.0	2
326.0	2
30.0	2
430.0	2
235.0	2
278.0	2
597.0	2
803.0	2
993.0	2
280.0	2
1133.0	2
888.0	2
1073.0	2
20.0	2
1333.0	2
170.0	2
428.0	2
492.0	2
623.0	2
531.0	2
217.0	2
778.0	2
589.0	2
856.0	2
805.0	2
390.0	2
434.0	2
1021.0	2
588.0	2
753.0	2
642.0	2
1019.0	2
112.0	2
416.0	2
333.0	2
553.0	2
653.0	2
243.0	2
881.0	2
724.0	1
559.0	1
288.0	1
213.0	1
472.0	1
316.0	1
1060.0	1
550.0	1
268.0	1
201.0	1
585.0	1
424.0	1
1800.0	1
420.0	1
228.0	1
456.0	1
539.0	1
584.0	1
976.0	1
801.0	1
457.0	1
547.0	1
578.0	1
1048.0	1
275.0	1
873.0	1
381.0	1
382.0	1
554.0	1
828.0	1
1380.0	1
604.0	1
545.0	1
720.0	1
776.0	1
854.0	1
367.0	1
708.0	1
1032.0	1
104.0	1
431.0	1
1077.0	1
384.0	1
219.0	1
535.0	1
284.0	1
436.0	1
151.0	1
824.0	1
1009.0	1
36.0	1
679.0	1
413.0	1
394.0	1
671.0	1
705.0	1
654.0	1
520.0	1
756.0	1
960.0	1
46.0	1
681.0	1
1329.0	1
1137.0	1
989.0	1
218.0	1
1321.0	1
665.0	1
1598.0	1
350.0	1
594.0	1
442.0	1
432.0	1
163.0	1
908.0	1
562.0	1
494.0	1
236.0	1
749.0	1
1113.0	1
831.0	1
464.0	1
204.0	1
780.0	1
530.0	1
1179.0	1
586.0	1
426.0	1
931.0	1
292.0	1
