Brightness	Occurrences
2.0	10
8.0	9
4.0	9
56.0	9
3.0	9
76.0	8
144.0	7
7.0	7
92.0	7
84.0	7
48.0	6
108.0	6
72.0	6
52.0	6
60.0	5
128.0	5
5.0	5
30.0	5
88.0	5
9.0	5
33.0	5
116.0	5
528.0	4
100.0	4
6.0	4
80.0	4
560.0	3
120.0	3
68.0	3
184.0	3
232.0	3
164.0	3
452.0	2
140.0	2
456.0	2
620.0	2
96.0	2
101.0	2
570.0	2
788.0	2
18.0	2
504.0	2
556.0	2
112.0	2
496.0	2
182.0	2
472.0	2
564.0	2
652.0	2
376.0	2
172.0	2
124.0	2
368.0	2
484.0	2
168.0	1
712.0	1
240.0	1
12.0	1
524.0	1
508.0	1
20.0	1
180.0	1
780.0	1
176.0	1
449.0	1
308.0	1
444.0	1
160.0	1
244.0	1
568.0	1
139.0	1
468.0	1
25.0	1
228.0	1
192.0	1
104.0	1
476.0	1
188.0	1
54.0	1
64.0	1
148.0	1
