Brightness	Occurrences
7.0	22
4.0	21
2.0	18
5.0	13
9.0	13
20.0	11
6.0	10
10.0	9
22.0	8
32.0	7
15.0	7
200.0	6
3.0	6
12.0	6
25.0	6
18.0	6
16.0	6
288.0	6
13.0	6
27.0	5
23.0	5
160.0	5
432.0	5
132.0	5
412.0	5
292.0	5
672.0	4
42.0	4
136.0	4
316.0	4
148.0	4
28.0	4
328.0	4
364.0	4
204.0	4
38.0	4
168.0	4
14.0	4
11.0	4
512.0	4
352.0	4
396.0	3
280.0	3
184.0	3
616.0	3
360.0	3
50.0	3
236.0	3
24.0	3
128.0	3
564.0	3
156.0	3
576.0	3
140.0	3
480.0	3
376.0	3
420.0	3
540.0	3
434.0	3
224.0	3
472.0	3
196.0	3
176.0	2
144.0	2
314.0	2
544.0	2
462.0	2
490.0	2
152.0	2
648.0	2
362.0	2
216.0	2
294.0	2
748.0	2
808.0	2
356.0	2
8.0	2
550.0	2
252.0	2
90.0	2
660.0	2
21.0	2
344.0	2
332.0	2
620.0	2
33.0	2
29.0	2
358.0	2
192.0	2
296.0	2
504.0	2
756.0	2
584.0	2
212.0	2
476.0	2
54.0	2
652.0	2
980.0	2
268.0	2
126.0	2
768.0	2
450.0	2
244.0	2
792.0	1
334.0	1
436.0	1
440.0	1
30.0	1
1020.0	1
580.0	1
208.0	1
142.0	1
720.0	1
664.0	1
596.0	1
452.0	1
1012.0	1
448.0	1
560.0	1
324.0	1
276.0	1
60.0	1
248.0	1
426.0	1
804.0	1
784.0	1
26.0	1
816.0	1
470.0	1
378.0	1
370.0	1
456.0	1
81.0	1
188.0	1
520.0	1
124.0	1
272.0	1
498.0	1
840.0	1
284.0	1
976.0	1
340.0	1
688.0	1
424.0	1
240.0	1
532.0	1
404.0	1
336.0	1
636.0	1
380.0	1
468.0	1
626.0	1
17.0	1
392.0	1
256.0	1
744.0	1
972.0	1
600.0	1
828.0	1
40.0	1
264.0	1
