Brightness	Occurrences
3.0	24
19.0	14
12.0	12
36.0	9
172.0	8
24.0	8
2.0	7
81.0	7
144.0	7
72.0	7
57.0	6
18.0	6
10.0	6
49.0	6
48.0	6
108.0	5
13.0	5
68.0	5
65.0	5
244.0	5
276.0	5
300.0	4
31.0	4
88.0	4
27.0	4
121.0	4
28.0	4
96.0	4
284.0	4
71.0	4
56.0	4
180.0	4
112.0	4
192.0	4
52.0	4
164.0	4
153.0	3
236.0	3
148.0	3
80.0	3
156.0	3
188.0	3
5.0	3
6.0	3
30.0	3
228.0	3
216.0	3
200.0	3
32.0	3
73.0	3
168.0	3
132.0	3
20.0	3
25.0	2
85.0	2
136.0	2
272.0	2
152.0	2
224.0	2
60.0	2
11.0	2
212.0	2
45.0	2
141.0	2
140.0	2
160.0	2
125.0	2
128.0	2
196.0	2
316.0	2
44.0	2
142.0	2
64.0	2
101.0	2
62.0	2
252.0	2
356.0	1
86.0	1
213.0	1
332.0	1
176.0	1
288.0	1
432.0	1
226.0	1
92.0	1
308.0	1
476.0	1
117.0	1
340.0	1
89.0	1
46.0	1
178.0	1
169.0	1
364.0	1
70.0	1
334.0	1
249.0	1
124.0	1
260.0	1
7.0	1
97.0	1
184.0	1
9.0	1
105.0	1
251.0	1
337.0	1
248.0	1
165.0	1
116.0	1
22.0	1
93.0	1
312.0	1
205.0	1
283.0	1
505.0	1
292.0	1
145.0	1
120.0	1
76.0	1
240.0	1
